actor_name,drama_num
Jo Jin Woong,2
Kang  Byul,3
Sun Woo Jae Duk,1
Kwon Hyun Sang,1
Kwon BoA,1
Choi Tae Hwan,1
Shin Suk Chul,1
Kang So Yeon,1
Choi Ji Woo,2
Kim Sun Woong,1
Yoon Ah Jung,1
Kim Hye Ji,1
Lee Min Woo,1
Noh Young Hak,1
Cha In Pyo,1
Choi Min,2
Jung Heon,1
Kim Yun Seo,1
Uhm Tae Woong,1
Lee Hoon,1
Ma Dong Seok,1
Heo Yi Jae,1
Kim Seo Ra,1
Nam Tae Hyun,2
Kim Soo Yeon,1
Park Min Ji,1
Go Woo Ri,1
Kim Jeong Hoon,1
Na Moon Hee,1
Hyun Woo Sung,1
Sung Yoo Ri,1
Kim Min Jong,2
Shin Rin Ah,1
Jung Yi Yeon,2
Ji Eun Sung,1
Kim In Kwon,1
Kim Soo Ro,1
Kang Boo Ja,1
Hong Yo Sub,1
Seo Joon Young,1
Jung Jin Woon,1
Lee Joo Hyung,1
Seo In Young,1
Seo Ha Joon,1
Yang  Jin Sung,2
Park Soon Chun,1
Song Il Gook,1
Jung Yoon Suk,1
Yoo Ji In,1
Kang Min Kyung,1
Jung Chan,1
Cho Hye Jung,2
Choi Phillip,1
Song Won Geun,1
Yoo Ho Rin,1
Lee  Jae Joon,2
Seo Yi Ahn,1
Choi Jong Hoon,1
Park Doo Shik,1
Han Chae Ah,1
Im Seul Ong,2
Kim Suk Hoon,1
Choi Ye Seul,1
Son Chang Min,1
Seo Yoon Ah,1
Rocky,1
MJ,1
Moon Bin,1
Jin Jin,1
Park Jeong Hwa,1
Park Eun Seok,1
Kim Jung Seok,1
Jung Il Hoon,1
Go Hyun,1
Lee Chul Woo,1
Lee Bum Soo,1
Shim Chang Min,1
Kim Seung Woo,1
Son Dam Bi,1
Choo Soo Hyun,1
Kim Hye Ri,1
Hwang Woo Seul Hye,1
Hwang Dong Joo,1
Yun Woon Kyung,1
Jeon Won Joo,1
Heo Jin,1
Nam Neung Mi,1
Baek Soo Ryun,1
Kim Hye Ok,1
Kim Min Kyung,1
Yoon Jong Hwa,1
Jang Ji Eun,1
Kim Min Ji,1
Kim Yoo Suk,1
Ahn Jae Min,1
Baek Seung Hee,1
Wang Ji Won,1
Yoo Byung Jae,1
Kim Chang Hwan,1
Jung Yoon Hak,1
Jung Joon Young,1
Terada Takuya,1
Park Yoo Chun,1
Yoo Ho Jung,1
Jang Shin Young,1
Min Hyo Rin,1
Yoon Hee Seok,1
Yoon Son Ha,1
Park Tam Hee,1
Oh  Gwang Rok,1
Kim Bo Yun,1
Shin Min Soo,1
Oh  Sang Jin,1
