actor_name,drama_num
Lee Jun Young,8
Ok Ja Yeon,2
Kim Hye Soo,4
Kim Hae Sook,5
Choi Won Young,8
Moon Sang Min,1
Shin Ha Kyun,5
Han Ji Min,6
Jang Seo Hee,3
Oh Chang Seok,4
Kim Gyu Seon,1
Han Ji Wan,1
Ban Hyo Jung,1
Lee Hyun Seok,1
Park Ha Na,6
Kang Ji Sub,3
Park  Yoon Jae,4
Oh Seung Ah,3
Jeon Yeo Been,3
Doh Kyung Soo,2
Lee Se Hee,2
Han Ji Hyun,1
Bae In Hyuk,4
Kim Hyun Jin,1
Jang Gyu Ri,1
Kwak Dong Yeon,5
Go Sung Hee,7
Bae Hyun Sung,2
Kang  Min Ah,3
Kim Seung Soo,2
Lee  Ha Na,7
Im Joo Hwan,9
Lee Tae Sung,4
Kim So Eun,6
Lee Yoo Jin,1
Ahn Jae Wook,2
Lee Mi Sook,2
Song Young Chang,1
Shin Goo,1
Oh Hyun Kyung,2
Kim Ji Eun,3
Namkoong Min,11
Choi Dae Hoon,3
Park Jin Woo,4
Yook Sung Jae,5
Lee Jong Won,4
Jung Chae Yeon,4
Park Min Young,7
Go Kyung Pyo,7
Kim Jae Young,6
Jung Ryeo Won,5
Lee Kyu Hyung,4
Chun Ho Jin,3
Oh Dae Hwan,2
Cha Hwa Yun,2
Lee Min Jung,3
Lee Sang Yeob,10
Jung Woo,3
Lee You Mi,1
Kwon Yool,7
Park Se Young,5
Moon You Kang,1
Ha Jung Woo,1
Hwang Jung Min,2
Jo  Woo Jin,2
Lee Seung Gi,4
Lee Se Young,9
Kim Go Eun,6
Nam Ji Hyun,6
Park Ji Hu,2
Wi Ha Joon,4
Jung Il Woo,6
Kwon Yu Ri,9
Han Ji Eun,5
Jang Gwang,2
Kim Sun Young,1
Yoon Jin Seo,4
Park Ji Yeon,5
Choi Soo Young,6
Sung Dong Il,5
Ji Chang Wook,7
Choi Daniel,4
Son Hyun Joo,6
Kim Hyo Jin,3
Kim Se Jeong,5
Nam Yoon Su,3
Lee Jong Suk,5
Ji Sung,7
Lee Soo Kyung,6
Yoo Young Jae,2
Jo Yu Ri,1
Kim Yoon Woo,1
Kim Min Ho,1
Jeon Seung Hun,1
Nam Tae Woo,1
Lee Sang Jin,1
Lee Jung Hyun,2
Lee Choong Goo,1
Jung Eugene,5
Kim Hee Sun,6
Lee Hyun Wook,3
Cha Ji Yeon,1
Kwon Ah Reum,1
Han Ji Hyo,1
Kim Do Young,1
Park Eun Bin,9
Kang Tae Oh,8
Kang Ki Young,2
Park Hye Soo,3
Jeong Jae Hyun,1
Roh Jeong Eui,4
Lee Jin Hyuk,2
Kang Mi Na,5
Seo In Guk,6
Oh Yeon Seo,7
Kwak Shi Yang,9
Kwon Soo Hyun,1
Lee Yoo Ri,7
Lee Min Young,2
Yoon So Yi,5
Chani,1
Hwiyoung,1
Jung So Min,7
Yoon  Ji Hye,1
Seo Hyun,4
Na In Woo,5
Jeon Kwang Ryul,3
Park Jin Young,5
Lee Yoo Young,5
Yeo Jin Goo,9
Son Woo Hyun,2
Kim Kang Min,4
Kim Jae Hwa,1
Yeom Jung Ah,2
Jeon So Min,6
Lee Moo Saeng,1
So Ji Sub,3
Shin Sung Rok,8
Seo Hyun Jin,8
Hwang In Youp,3
Seo Yea Ji,5
Park Byung Eun,6
Yoon Kye Sang,5
Kim Ji Suk,7
Lee Hyun Jin,1
Lee Hwi Hyang,1
Na Young Hee,1
Lee Jin Wook,8
Han Hyun Jun,1
Kim Tae Hwan,1
Yoon Kyun Sang,8
Sung Hoon,10
Shin Dong Wook,2
Choi Sung Eun,2
Yoon Doo Joon,4
Kwak Do Won,1
Han Go Eun,2
Park Won Sook,3
Jung Dong Won,1
Lee Joon,7
Kang Han Na,6
Kim Ji Young,4
Lee Kwang Soo,3
Jin Hee Kyung,3
Jung Joon Ho,4
Park Hae Jin,6
Yoon Jong Hoon,3
Kim Yoon Hye,2
Lee Jung Shin,5
Park Ji Hyun,3
Kim Moo Joon,2
Lee Byung Hun,2
Shin Min Ah,6
Cha Seung Won,4
Lee Min Ki,5
Kim Ji Won,7
Lee Kyung Young,3
Jung Sang Hoon,7
Lee Joon Gi,6
Choo Ja Hyun,3
Lee Yo Won,6
Kim Gyu Ri,1
Jang Hye Jin,2
Joo Min Kyung,1
Shin Dong Mi,1
Oh Min Suk,5
Yoon Shi Yoon,8
Bae Da Bin,1
Seo Bum June,1
Choi Ye Bin,1
Rowoon,4
Lee Soo Hyuk,7
Yun Ji On,2
Jo Hyuk Joon,1
Kang Eun Bin,1
Kim Sung Gyu,4
Jeon Yu Bin,1
Yoo Young Mo,1
Lee Jung Min,3
Min In Gi,1
Ha Do Gwon,1
Lee Won Keun,6
Kim Sung Ryung,4
Lee Hye Young,3
Kim Ha Neul,4
Kim Jae Wook,4
Krystal Jung,5
Jo Bo Ah,9
Oh Yeon Soo,1
Kim Young Min,4
Park Joo Mi,3
Kang Shin Hyo,1
Lee Ga Ryeong,4
Jeon Soo Kyung,3
Ji Young San,1
Ok Jin Uk,1
Kang Hui,1
Lee Ji Hoon,9
Han Chae Young,2
Ji Yi Soo,1
Koo Ja Sung,3
Im Sung Kyun,1
Shin Yong Seok,1
Go Ah Sung,6
Park Yong Woo,3
Cha Hun,1
Yoon Chae Kyung,2
Joo Jong Hyuk,1
Park So Eun,1
Park Jung Yeon,1
Kim Gab Soo,3
Park Hae Joon,4
Kim Ji Hyun,1
Son Ye Jin,3
Jeon Mi Do,3
Lee Si Young,6
Seo Kang Joon,8
Kim Ah Joong,3
Choi Hyun Wook,2
Nam Joo Hyuk,7
Lee Joo Myung,1
Song Kang,6
Yura,4
Park Jung Chul,1
Wang Bit Na,3
Jung Ae Ri,1
Go In Beom,1
Ji Seung Hyun,4
Ok Go Woon,1
Seo Eun Ah,2
Cho Yi Hyun,2
Kang Daniel,1
Yoo Jun,2
Hyuk,1
Kim So Jin,1
Rain,4
Uee,8
Choi  Tae Joon,4
Song Ji Eun,3
Sung Ji Ru,1
Bae Doo Na,6
Gong Yoo,2
Jun,1
Yoo Hyun Woo,1
Yoo Seung Ho,7
Byeon Woo Seok,3
Joy,3
Kim Kyung Nam,4
Kang Ye Won,2
Kwon Na Ra,6
Kim Ji Soo,8
Yoon Se Ah,6
Kim Hye Yoon,3
Go Eun Ah,1
Heo Young Ji,2
Lee Mi So,1
Son Soo Ah,1
Ham Eun Jung,4
Kim Jin Yeop,2
Hwang Shin Hye,2
Yoon Da Hoon,2
Shim Hye Jin,1
Son Sung Yoon,2
Kim Yeong Cheol,4
Park Jin Hee,6
Park Sun Young,2
Lee Kyung Hoon,1
Lee Shi Won,2
Ha Seok Jin,8
Im Hyun Joo,1
Park Soo Ae,3
Kim Kang Woo,7
Kim Mi Sook,2
Lee Yi Dam,1
Choi  Woo Shik,2
Kim Da Mi,2
Kim Sung Cheol,4
Song Yoon Ah,5
Kim Soo Hyun,3
Kim Yo Han,2
Hwang Bo Reum Byeol,1
Seo Hee Seon,1
Shim Dal Gi,1
Choi Bo Min,1
Lee Na Gyung,1
Heo Jung Hee,1
Won Jin Ah,5
Yoo Ah In,3
Yang Ik Jun,2
Park Jung Min,2
Hyung Won,2
Joo Se Bin,1
Park Eun Hye,4
Tony Ahn,1
Jo Yoo Jung,1
Ryu Eui Hyun,1
Cho Mi Yeon,1
Kim Min Ki,1
Kwon Young Eun,1
Jang Ki Yong,6
Choi Hee Seo,3
Jin Kyung,2
Im Soo Jung,3
Ahn Sol Bin,2
Han So Eun,3
EXY,1
I.L,1
Ok Taec Yeon,5
Jung In Sun,5
Han Hyo Joo,2
Baek Sung Chul,2
Lee Young Ae,2
Kim Hye Joon,2
Jo Hyun Chul,1
