actor_eng,actor_kor,gender,birth
Choi Yong Jun,최용준,0.0," Name: Yong Jun
Family Name: Choi
Native name: 최용준
Nationality: South Korean"
Min Chan Ki,민찬기,0.0,"December 27, 1989"
Go Hyun Jung,고현정,1.0,"March 2, 1971"
Park Chae Rin,박채린,1.0,"March 13, 2002"
Bae Yoon Kyung,배윤경,1.0,"January 22, 1993"
Choi Byung Chan,최병찬,0.0,"November 12, 1997"
Yoon So Hee,윤소희,1.0,"May 7, 1993"
Choi Won Myung,최원명,0.0,"January 6, 1994"
Joo Woo Jae,주우재,0.0,"November 28, 1986"
Lee Seung Il,이승일,0.0,"June 17, 1994"
Eunseo,"은서
",1.0,"May 27, 1998"
Park Young Jae,박,0.0," Name: Young Jae
Family Name: Park
Native name: 박용제
Nationality: South Korean"
Park Min Sun,박민선,1.0," Name: Min Sun
Family Name: Park
Native name: 박민선
Nationality: South Korean"
Han Da Gam,한은정,1.0,"July 10, 1980"
Han Sang Jin,한상진,0.0,"December 9, 1977"
Shim Ji Ho,심지호,0.0,"May 2, 1981"
Park Yeon Ah,박연아,1.0,"April 9, 1998"
Lee So E,이소이,1.0,"October 10, 2000"
Ma Hyun Ji,마현지,1.0,"January 27, 1998"
Oh Jae Woong,오재웅,0.0,"July 23, 1999"
Choi Ji Su,최지수,1.0,"August 25, 1997"
Ji Hyun Woo,지현우,0.0,"November 29, 1984"
Kang Eun Tak,강은탁,0.0,"August 16, 1982"
Cha Woo Min,차우민,0.0,"October 24, 2000"
Yoo Hwan,"유환
",0.0,"July 29, 1991"
Yoo Jae Myung,유재명,0.0,"June 3, 1973"
Han Ye Ri,한예리,1.0,"December 23, 1984"
Uhm Tae Goo,엄태구,0.0,"November 9, 1983"
Hwang Hee,"황희
",0.0,"October 18, 1988"
Lee Ha Nee,이하늬,1.0,"March 2, 1983"
Lee Jung Jae,이정재,0.0,"December 15, 1972"
Jung Ho Yeon,정호연,1.0,"June 23, 1994"
Jung Yoo Hyeon,정,1.0,1998
Lee Gun chang,이건창,0.0," Name: Geon Chang
Family Name: Lee
Native name: 이건창
Also Known as: Lee geon chang
Nationality: South Korean"
Min Se Woong,민세웅,0.0,"April 25, 1993"
Lee Han Gyul,이한결,0.0,"December 7, 1999"
Seola,김현정,1.0,"December 24, 1994"
Lee Jae Yoon,이재윤,0.0,"December 5, 1984"
Doha,나규민,0.0,"March 7, 2004"
Ki Hui Hyun,기희현,1.0,"June 16, 1995"
Hong Eun Ki,홍은기,0.0,"September 29, 1997"
Anne,"앤
A",1.0,"October 17, 2000"
Choi Hye Jin,최혜진,1.0,"October 22, 1993"
Park Yong Je,박용제,0.0,"November 17, 1993"
Lee Gyu Hyung,이규형,0.0,1995
Nam Kyu Hee,남,1.0,"October 6, 1999"
Cho Yeo Jung,조여정,1.0,"February 10, 1981"
Kim Jee Soo,김지수,1.0,"October 24, 1972"
Park Se Jin,박세진,1.0,"September 6, 1996"
Gong Hyun Joo,공현주,1.0,"January 7, 1984"
Ryu Joon Yeol,류준열,0.0,"September 25, 1986"
Jung Soo Han,정수한,0.0,"June 30, 1993"
Kim Jung Ah,김정아,1.0," Name: Jung Ah
Family Name: Kim
Native name: 김정아
Also Known as: Kim Jeong Ah, Kim Jeong A
Nationality: South Korean"
Son Dong Woon,손동운,0.0,"June 6, 1991"
Niel,"니엘
",0.0,"August 16, 1994"
Jung Woo Seok,정우석,0.0,"January 31, 1998"
Choi Jae Hyun,최재현,0.0,"July 25, 1995"
Jimmy Karn Kritsanaphan,차민수,0.0,"January 15, 1951"
Tommy Sittichok Pueakpoolpol,"토미
",0.0," Name: Tae Mok
Family Name: Im
Native name: 토미
Also Known as: 임태묵
Nationality: South Korean"
Kim Yoo Jung,김유정,1.0,"September 22, 1999"
Gong Myung,"공명
",0.0,"May 26, 1994"
Kim Seon Ho,김선호,0.0,"May 8, 1986"
Seo Eun Sol,서은솔,1.0,"November 16, 2009"
Dylan,박연재,0.0,"July 26, 2002"
Ji Jin Hee,지진희,0.0,"June 24, 1971"
Kim Hye Eun,김혜은,1.0,"March 1, 1973"
Kim Hong Pa,김홍파,0.0,"January 5, 1962"
Kim Sae Ron,김새론,1.0,"July 31, 2000"
Nam Da Reum,남다름,0.0,"June 13, 2002"
Kim Kyoung Seok,김경석,0.0,"August 2, 1994"
Yang Hong Seok,양홍석,0.0,"April 17, 1994"
Song Ji Hyo,송지효,1.0,"August 15, 1981"
Kwon Tae Eun,권태은,0.0,"July 16, 1999"
Nam Hye Ri,남혜리,1.0,"March 3, 1999"
Jung Yoo Min,정유민,1.0,"July 10, 1991"
Choi Myung Gil,최명길,1.0,"November 11, 1962"
So Yi Hyun,소이현,1.0,"August 28, 1984"
Shin Jung Yoon,신정윤,0.0,"February 13, 1985"
Nam Gyu Ri,남규리,1.0,"April 26, 1985"
Kim Min Jung,김민정,1.0,"July 30, 1982"
Kim Na Hee,김나희,1.0,"April 16, 1988"
Bae Geu Rin,배그린,1.0,"January 1, 1989"
Lee Soo Yong,이수용,0.0,"August 29, 1979"
Go Woo Jin,고우진,0.0,"September 17, 1996"
Choe Chan Yi,최찬이,0.0,"June 14, 1995"
Kim Ga Eun,김가은,1.0,"January 8, 1989"
Jung Jae Young,정재영,0.0,"November 21, 1970"
Yang Hye Ji,양혜지,1.0,"January 20, 1996"
Lee Shi Ah,이시아,1.0,"July 10, 1990"
Han Hyun Min,한현민,0.0,"May 19, 2001"
Minnie,김승민,0.0,"September 22, 2000"
Terris Brown,강기영,0.0,"October 14, 1983"
Choi Si Hun,최시훈,0.0,"October 27, 1992"
Kim Ye Eun,김예은,1.0,"October 16, 1996"
Kwak Ye Heon,곽,1.0,"January 22, 1996"
Jo Jung Suk,조정석,0.0,"December 26, 1980"
Kim Dae Myung,김대명,0.0,"February 16, 1981"
Lee Tae Gon,이태곤,0.0,"November 27, 1977"
Jeon Noh Min,전노민,0.0,"August 28, 1966"
Oh Ha Young,오하영,1.0,"July 19, 1996"
Kang In Soo,강인수,0.0,"March 10, 1988"
Kim Ye Ji,김예지,1.0,"April 6, 1997"
Jung Jin,"정진
",0.0,"August 4, 1976"
Seo Ye Ri,서예리,1.0,"August 30, 1998"
Kim Young Shik,김영식,0.0,"June 18, 1994"
Jung Young Won,정영원,1.0," Name: Young Won
Family Name: Jung
Native name: 정영원
Also Known as: Jeong Yeong Won
Nationality: South Korean"
Jung Do Myung,장도명,0.0," Name: Do Myung
Family Name: Jung
Native name: 장도명
Also Known as: Jeong Do Myeong
Nationality: South Korean"
Oh Jung Woo,오정우,0.0," Name: Jung Woo
Family Name: Oh
Native name: 오정우
Also Known as: Oh Jeong Woo, O Jeong U
Nationality: South Korean"
Moon Seo Yool,문서율,1.0,1997
Eugene,"유진
",1.0,"March 3, 1981"
Go Sung Min,고성민,1.0,"April 21, 1998"
Lee Il Hwa,이일화,1.0,"January 3, 1971"
Han Seung Yeon,한승연,1.0,"July 24, 1988"
Tang Jun Sang,탕준상,0.0,"August 13, 2003"
Son Sang Yeon,손상연,0.0,"April 2, 2002"
Kim Kang Hoon,김강훈,0.0,"June 7, 2009"
Kim Do Wan,김도완,0.0,"March 8, 1995"
Hong Seung Hee,홍승희,1.0,"August 19, 1997"
Choi Eun Ji,최은지,1.0,"October 25, 1995"
So A Rin,소아린,1.0,"November 5, 2004"
Lee Ji Woo,이지우,1.0,"October 24, 2005"
Park Si Woo,박시우,0.0,2011
Yoo Su Yeon,유수연,1.0," Name: Su Yeon
Family Name: Yoo
Native name: 유수연
Also Known as: Soo Yeon
Nationality: South Korean"
Kim Byeong Kwan,김병관,0.0,"August 13, 1996"
Jeon Seon Ah,전선아,1.0," Name: Seon Ah
Family Name: Jeon
Native name: 전선아
Also Known as: Jeon Sun Ah
Nationality: South Korean"
Wooju,"우주
",0.0,"January 21, 2004"
Hwang Sung Bin,황성빈,0.0,"October 1, 1996"
Taeryoung,"태령
",1.0,"December 27, 2000"
Park Bo Young,박보영,1.0,"February 12, 1990"
Jung Ji So,정지소,1.0,"September 17, 1999"
Jeong Yun Ho,정윤호,0.0,"March 23, 1999"
Go Min Si,고민시,1.0,"February 15, 1995"
Choi Ji Hye,최ᄌ,1.0,"March 20, 1999"
Kim Yoon,김,0.0," Name: Yoon
Family Name: Kim
Native name: 김윤
Also Known as: Kim Suk Joo, Kim Seok Joo, 석주
Nationality: South Korean"
Lee Joon Hyuk,이준혁,0.0,"March 13, 1984"
Chae Soo Ah,채수아,1.0,"May 5, 2001"
Shin Hye Jung,신혜정,1.0,"August 10, 1993"
Han Seung Woo,한승우,0.0,"December 24, 1994"
Jong Ha,"종하
",0.0," Name: Jong Ha
Native name: 종하
Nationality: South Korean"
Kim Yeo Ryeong,김여령,1.0," Name: Yeo Ryeong
Family Name: Kim
Native name: 김여령
Nationality: South Korean"
Yeon Woo Jin,연우진,0.0,"July 5, 1984"
Lee Il Joon,이일준,0.0,"May 9, 1996"
Kim Myung Min,김명민,0.0,"October 8, 1972"
Choi Jung Yoon,최정윤,1.0,"May 9, 1977"
Ahn Jae Mo,안재모,0.0,"September 20, 1979"
Bae Seul Gi,배슬기,1.0,"September 27, 1986"
Park Hyung Joon,박형준,0.0,"August 31, 1970"
Ahn Da Bi,안다비,1.0,"August 17, 1994"
Ji Ho Sung,지호성,0.0,"April 6, 1995"
Shin Woo Chul,신우철,0.0,"October 2, 2002"
Choe Ri Ra,최ᄅ,1.0," Name: Ri Ra
Family Name: Choe
Native name: 최리라
Also Known as: Choi RiRa, Choi Ri Ra, Choi LiLa
Nationality: South Korean"
Chu Yi Hwa,추이화,1.0," Name: Yi Hwa
Family Name: Chu
Native name: 추이화
Also Known as: Choo Yi Hwa, Chu I Hwa
Nationality: South Korean"
Sean Richard,리차드,0.0,"June 9, 1984"
Liv Hewson,,,
Justin Chon,전지태,0.0,"May 29, 1981"
Henry Lau,김헨리,0.0,"September 22, 1988"
