actor_eng,actor_kor,gender,birth
Choi Tae Joon,최태준,0.0,"July 7, 1991"
Song Ji Eun,송지은,1.0,"May 5, 1990"
Sung Ji Ru,성지루,0.0,"October 16, 1968"
Bum Jun,박범준,0.0,"February 3, 1999"
Eom Se Ung,엄세웅,0.0,"September 28, 1994"
Lee Sung Yeol,이성열,0.0,"August 27, 1991"
Yoo Bin,"유빈
",1.0,"September 9, 1997"
Lee Eun Jae,이은재,1.0,"June 17, 1997"
Kang Yul,"강율
",0.0,"July 9, 1993"
Kim Won Pil,김원필,0.0,"April 28, 1994"
Choi Young Jae,최영재,0.0,"September 17, 1996"
Yoo Jae Sang,유재상,0.0,"December 17, 2003"
Bae Doo Na,배두나,1.0,"October 11, 1979"
Gong Yoo,"공유
",0.0,"July 10, 1979"
Jun,박준희,0.0,"June 2, 1994"
Yoo Hyun Woo,유ᄒ,0.0,"July 11, 1996"
Yoo Seung Ho,유승호,0.0,"August 17, 1993"
Byeon Woo Seok,변우석,0.0,"October 31, 1991"
Kim Kyung Nam,김경남,0.0,"December 21, 1989"
Kang Ye Won,강예원,1.0,"March 15, 1979"
Seo Hye Lin,서혜린,1.0,"August 23, 1993"
Kim Dong Woo,김동우,0.0,"August 16, 1993"
Kwon Na Ra,권나라,1.0,"March 13, 1991"
Kim Ji Soo,김지수,0.0,"March 30, 1993"
Yoon Se Ah,윤세아,1.0,"January 2, 1978"
Kim Hye Yoon,김혜윤,1.0,"November 10, 1996"
Lee So Hee,이소희,1.0,"July 29, 1996"
Cha Yoo Jin,차유진,0.0,"April 5, 2001"
Go Eun Ah,고은아,1.0,"October 28, 1988"
Heo Young Ji,허영지,1.0,"August 30, 1994"
Lee Mi So,이미소,1.0,"October 29, 1988"
Son Soo Ah,손수아,1.0,"March 25, 1994"
Shin Hyun Seung,신현승,0.0,"July 15, 1998"
Lee Won Jung,이원정,0.0,"February 14, 2001"
Choi Ye Na,최예나,1.0,"September 29, 1999"
Yoo Sun Ho,유선호,0.0,"January 28, 2002"
Jihan,한지효,1.0,"July 12, 2004"
Han Chae Kyung,한채경,1.0,"February 19, 1994"
Ham Eun Jung,함은정,1.0,"December 12, 1988"
Kim Jin Yeop,김진엽,0.0,"November 27, 1988"
Hwang Shin Hye,황정만,1.0,"December 15, 1963"
Yoon Da Hoon,윤다훈,0.0,"December 30, 1964"
Shim Hye Jin,심혜진,1.0,"January 16, 1967"
Son Sung Yoon,손성윤,1.0,"August 24, 1984"
Kim Yeong Cheol,김영철,0.0,"February 25, 1953"
Park Jin Hee,박진희,1.0,"January 8, 1978"
Park Sun Young,박선영,1.0,"August 21, 1976"
Lee Kyung Hoon,이경훈,0.0,"September 29, 2010"
Lee Shi Won,이시원,1.0,"August 29, 1987"
Ha Seok Jin,하석진,0.0,"March 5, 1982"
Im Hyun Joo,임현주,1.0,"October 21, 1992"
Baek Sung Hyun,백성현,0.0,"January 30, 1989"
Park Soo Ae,박수애,1.0,"September 16, 1979"
Kim Kang Woo,김강우,0.0,"July 11, 1978"
Kim Mi Sook,김미숙,1.0,"March 26, 1959"
Lee Yi Dam,이이담,1.0,1996
Choi Woo Shik,최교식,0.0," Name: Gyo Shik
Family Name: Choi
Native name: 최교식
Also Known as: Choi Kyo Shik, Choe Gyo Sik
Nationality: South Korean"
Kim Da Mi,김다미,1.0,"April 9, 1995"
Kim Sung Cheol,김성철,0.0,"December 31, 1991"
Bae Jin Young,배진영,0.0,"May 10, 2000"
Shin So Hyun,신소현,1.0,"September 30, 2003"
Han Ye Ji,한예지,1.0,"June 17, 2000"
Choi Hui Seung,최희승,0.0,"October 5, 1990"
Jin So Yeon,진소연,1.0,"June 2, 1991"
Lee Jung Joon,이정준,0.0,"March 22, 1999"
Jung Min Gyu,정민규,0.0,"December 10, 1999"
Park Geon Il,박건일,0.0,"November 5, 1987"
Song Yoon Ah,송윤아,1.0,"June 7, 1973"
Kim Soo Hyun,김수현,0.0,"February 16, 1988"
Kim Yo Han,김요한,0.0,"September 22, 1999"
Hwang Bo Reum Byeol,황보름,1.0,"December 21, 1999"
Seo Hee Seon,서희선,1.0,"December 28, 1999"
Shim Dal Gi,심달기,1.0,"June 12, 1999"
Choi Bo Min,최보민,0.0,"August 24, 2000"
Lee Na Gyung,이나경,1.0,"June 1, 2000"
Heo Jung Hee,허정희,1.0,"August 22, 1995"
Yoo Ah In,유아인,0.0,"October 6, 1986"
Yang Ik Jun,양익준,0.0,"October 19, 1975"
Park Jung Min,박정민,0.0,"March 24, 1987"
Dawon,"다원
",0.0,"July 24, 1995"
Han Soo A,한수아,1.0,"December 12, 1998"
Lee Eun Sang,이은상,0.0,"October 26, 2002"
Min Soo Hwa,민수화,1.0,"March 8, 2000"
Se Young,"세용
",1.0," Name: Se Young
Native name: 세용
Also Known as: Se Yeong
Nationality: South Korean"
Oh Yu Bin,오유빈,1.0,"November 26, 1998"
Su Hwan,"수환
",0.0,"November 23, 2001"
Moon Kyu,이문규,0.0,"January 11, 1995"
Hyung Won,"형원
",0.0,"January 15, 1994"
Joo Se Bin,주세빈,1.0,"October 9, 1997"
Park Eun Hye,박은혜,1.0,"February 21, 1977"
Tony Ahn,토니안,0.0,"June 7, 1978"
Choi Hyun Suk,최현석,0.0,"April 21, 1999"
Yoshi,よしの,0.0,"May 15, 2000"
Kim Jun Kyu,김준규,0.0,"September 9, 2000"
Mashiho,방예담,0.0,"May 7, 2002"
Yoon Jae Hyuk,윤재혁,0.0,"July 23, 2001"
Cho Mi Yeon,조미연,1.0,"January 31, 1997"
Lee Tae Vin,이세웅,0.0,"January 22, 1996"
Kim Jae Woon,김재운,0.0,"May 14, 1999"
Jo Yoo Jung,조유정,1.0,"September 17, 1999"
Kim Min Ki,김민기,0.0,"November 22, 2002"
Kwon Young Eun,권영은,1.0,"December 1, 1997"
Baek Hyun Jin,백현진,0.0,"June 29, 1972"
Bae Hae Seon,배해선,1.0,"May 8, 1974"
Jang Ki Yong,장기용,0.0,"August 7, 1992"
Choi Hee Seo,최희서,1.0,"December 24, 1986"
Jin Kyung,"진경
",1.0,"March 27, 1972"
Im Soo Jung,임수정,1.0,"July 11, 1979"
Park Bo Yeon,박,1.0,"April 15, 1994"
MJ,김명준,0.0,"March 5, 1994"
Shim Sae Byeok,심재영,1.0,"November 9, 1996"
Ahn Sol Bin,안솔빈,1.0,"August 19, 1997"
Han So Eun,한소은,1.0,"July 8, 1993"
EXY,"엑시
",1.0,"November 6, 1995"
I.L,"그린
",1.0,"January 7, 1997"
Ok Taec Yeon,옥택연,0.0,"December 27, 1988"
Jung In Sun,정인선,1.0,"April 25, 1991"
Yoo Hye In,유혜인,1.0,"June 15, 1994"
Im Hwi Jin,임휘진,0.0,"December 13, 1988"
Han Hyo Joo,한효주,1.0,"February 22, 1987"
Jeong Ji Soo,정지수,1.0,"November 22, 2003"
Lee Sae On,이세온,0.0,"November 27, 1995"
Moon So Hee,문소희,1.0,2009
Lee Jae Won,이재원,0.0,"June 21, 1986"
Lee Young Ae,이영애,1.0,"January 31, 1971"
Kim Hye Joon,김혜준,1.0,"May 8, 1995"
Jo Hyun Chul,조현철,0.0,"December 24, 1986"
Cha Joo Young,차주영,1.0,"June 5, 1990"
Kim Su Hyun,김수현,1.0,"January 25, 1985"
Lee Hee Joon,이희준,0.0,"June 29, 1979"
Park Ho San,박호산,0.0,"October 18, 1972"
Ong Seong Wu,옹성우,0.0,"August 25, 1995"
Jun Ji Hyun,전지현,1.0,"October 30, 1981"
Joo Ji Hoon,주지훈,0.0,"May 16, 1982"
Lee Chan Hyung,이찬형,0.0,"November 3, 1997"
Kim Young Ah,김영아,1.0,"May 15, 1975"
Lee Shin Young,이신영,0.0,"January 24, 1998"
Choi Yoo Hwa,최유화,1.0,"October 10, 1985"
Yoon San Ha,윤산하,0.0,"March 21, 2000"
Park Su Min,박수민,1.0,"September 9, 2001"
Han So Hee,한소희,1.0,"November 18, 1994"
Han Ji Woo,한지우,1.0,"March 26, 1987"
Yang Kyung Hyeon,양경현,1.0," Name: Kyung Hyeon
Family Name: Yang
Native name: 양경현
Also Known as: Yang Gyeong Hyeon
Nationality: South Korean"
Kim Ha Song,김하송,0.0," Name: Ha Song
Family Name: Kim
Native name: 김하송
Nationality: South Korean"
