actor_eng,actor_kor,gender,birth
Lee Joon Gi,이준기,0.0,"April 17, 1982"
Choo Ja Hyun,추자현,1.0,"January 20, 1979"
Lee Yo Won,이요원,1.0,"April 9, 1980"
Kim Gyu Ri,김규리,1.0,"October 6, 1979"
Jang Hye Jin,장혜진,1.0,"September 5, 1975"
Joo Min Kyung,주민경,1.0,"July 6, 1989"
Kim So Hee,김소희,1.0,"December 31, 1999"
Kim Young Bin,김영빈,0.0,"November 23, 1993"
Shin Dong Mi,신동미,1.0,"September 13, 1977"
Oh Min Suk,오민석,0.0,"April 22, 1980"
Yoon Shi Yoon,윤시윤,0.0,"September 26, 1986"
Bae Da Bin,배다빈,1.0,"December 24, 1993"
Seo Bum June,서ᄇ,0.0,"June 27, 1997"
Choi Ye Bin,최예빈,1.0,"September 2, 1998"
Rowoon,"로운
",0.0,"August 7, 1996"
Lee Soo Hyuk,이수혁,0.0,"May 31, 1988"
Yun Ji On,윤지온,0.0,"May 19, 1990"
Jo Hyuk Joon,조혁준,0.0,"May 4, 1990"
Kang Eun Bin,강은빈,0.0,"August 29, 1995"
Kim Min Ha,김민하,1.0,"September 1, 1995"
Youn Yuh Jung,윤여정,1.0,"June 19, 1947"
Jin Ha,"진하
",0.0,"June 19, 1994"
Lee Min Ho,이민호,0.0,"June 22, 1987"
Kim Sung Gyu,김성규,0.0,"January 6, 1986"
Kim In Seong,김인성,0.0,"July 12, 1993"
Ryu Eui Hyun,류의현,0.0,"April 15, 1999"
Jeon Yu Bin,전유빈,0.0,"April 22, 1997"
Yoo Young Mo,유영모,0.0,"March 24, 1998"
Lee Jung Min,이정민,0.0,"June 18, 1995"
Min In Gi,민인기,0.0,"October 22, 1998"
Ha Do Gwon,김용구,0.0,"March 3, 1977"
Lee Won Keun,이원근,0.0,"June 27, 1991"
Kim Sung Ryung,김성령,1.0,"February 8, 1967"
Lee Hye Young,이혜영,1.0,"November 25, 1962"
Kim Ha Neul,김하늘,1.0,"February 21, 1978"
Kim Jae Wook,김재욱,0.0,"April 2, 1983"
Krystal Jung,크리스,1.0,"October 24, 1994"
Jo Bo Ah,조보아,1.0,"August 22, 1991"
Oh Yeon Soo,오연수,1.0,"October 27, 1971"
Kim Young Min,김영민,0.0,"November 5, 1971"
Park Joo Mi,박주미,1.0,"October 5, 1972"
Kang Shin Hyo,강신효,0.0,"August 13, 1989"
Lee Ga Ryeong,이가령,1.0,"October 2, 1980"
Jeon Soo Kyung,전수경,1.0,"July 12, 1966"
Ji Young San,지영산,0.0,"April 1, 1975"
Ok Jin Uk,옥진욱,0.0,"January 6, 1997"
