actor_eng,actor_kor,gender,birth
Kim Seol Hyun,김설현,1.0,"January 3, 1995"
Yim Si Wan,임시완,0.0,"December 1, 1988"
Shin Eun Soo,신은수,1.0,"October 23, 2002"
a.mond,방재민,0.0,"March 26, 1999"
Oh Yu Jin,오유진,1.0,"July 23, 1999"
Bae Hyeon Jun,배현준,0.0,"January 6, 2003"
Kim Sun Bin,김선빈,0.0,"May 7, 2001"
Yoon Ye Joo,윤예주,1.0,"April 23, 1995"
Lee Ha Min,이하민,0.0,"November 18, 1996"
Kim Su Gyeom,김수겸,0.0,"December 3, 2001"
Park Ji Hoon,박지훈,0.0,"May 29, 1999"
Choi Hyun Wook,최현욱,0.0,"January 30, 2002"
Song Joong Ki,송중기,0.0,"September 19, 1985"
Shin Hyun Bin,신현빈,1.0,"April 10, 1986"
Kim Yong Ji,김용지,1.0,"April 14, 1991"
Kang Hae Lim,강해림,1.0,"April 1, 1996"
Kim Su Yeon,김수연,1.0,"March 14, 1995"
NC.A,임소은,1.0,"October 7, 1996"
Choi Seok Won,최석원,0.0,"August 25, 1996"
Kim Rae Won,김래원,0.0,"March 19, 1981"
Son Ho Jun,손호준,0.0,"June 27, 1984"
Gong Seung Yeon,공승연,1.0,"February 27, 1993"
Lomon,"로몬
",0.0,"November 11, 1999"
Seo Ji Hoon,서지훈,0.0,"April 25, 1997"
Chae Sang Woo,채상우,0.0,"March 31, 1999"
Lee Soo Min,이수민,1.0,"July 1, 2001"
New Sun,"뉴썬
",1.0,"June 19, 1997"
Seo Byuk Joon,서벽준,0.0,"January 14, 1994"
Jung Ye Rin,정예린,1.0,"August 19, 1996"
Kim Yong Hee,김용희,0.0,"February 17, 2000"
Seo Hyun Woo,서현우,0.0,"November 20, 1983"
Lee Seo Jin,이서진,0.0,"January 30, 1971"
Joo Hyun Young,주현영,1.0,"January 14, 1996"
Go Doo Shim,고두심,1.0,"May 22, 1951"
Kang Ha Neul,강하늘,0.0,"February 21, 1990"
Ha Ji Won,하지원,1.0,"June 28, 1978"
Yeo One,"여원
",0.0,"March 27, 1996"
Kang Ji Hu,강지후,1.0," Name: Ji Hu
Family Name: Kang
Native name: 강지후
Also Known as: Kang Ji Hoo
Nationality: South Korean"
Jin Seon Kyu,진선규,0.0,"September 13, 1977"
Chang Ryul,"장률
",0.0,"February 14, 1989"
Jung Da Eun,정다은,1.0,"June 3, 1994"
Kang Mi Na,강미나,1.0,"December 4, 1999"
Kwon Han Sol,권한솔,1.0,"November 27, 1996"
Jang Sung Yoon,장성윤,1.0,"February 17, 1998"
Sakuraba Nanami,,,
Ko Ho Jung,고호정,0.0,"October 20, 1994"
Lee Jae Bin,이재빈,0.0,"May 12, 1997"
Kim Seong Hyuk,김성혁,0.0,"November 1, 2000"
Park Seung Bin,박승빈,0.0,1994
Byun Ji Hyun,변지현,1.0," Name: Ji Hyun
Family Name: Byun
Native name: 변지현
Also Known as: Byeon Ji Hyun, Byeon Ji Hyeon, Byun Ji Hyeon
Nationality: South Korean"
Park So Mi,박소미,1.0," Name: So Mi
Family Name: Park
Native name: 박소미
Nationality: South Korean"
Nana,"나나
",1.0,"September 14, 1991"
Yoon Hyun Suk,윤현석,0.0,"September 8, 2001"
Keum Dong Hyun,금동현,0.0,"May 14, 2003"
Ha Sun Ho,하선호,1.0,"August 25, 2000"
Won Young Wook,원영욱,0.0,"August 5, 2002"
Lee Hye Ri,이혜리,1.0,"June 9, 1994"
Lee Jun Young,이준영,0.0,"January 22, 1997"
Ok Ja Yeon,옥자연,1.0,"December 19, 1988"
Kim Hye Soo,김혜수,1.0,"September 5, 1970"
Kim Hae Sook,김해숙,1.0,"December 30, 1955"
Choi Won Young,최원영,0.0,"January 10, 1976"
Moon Sang Min,문상민,0.0,"April 14, 2000"
Shin Ha Kyun,신하균,0.0,"May 30, 1974"
Han Ji Min,한지민,1.0,"November 5, 1982"
Kim Ji Woong,김지웅,0.0,"December 14, 1998"
Yoon Seo Bin,윤서빈,0.0,"December 14, 1999"
Jang Seo Hee,장서희,1.0,"January 5, 1972"
Oh Chang Seok,오창석,0.0,"June 2, 1982"
Kim Gyu Seon,김규선,1.0,"July 26, 1988"
Han Ji Wan,한지완,1.0,"August 14, 1987"
Ban Hyo Jung,반효정,1.0,"November 27, 1942"
Lee Hyun Seok,이현석,0.0,"September 15, 1989"
