actor_eng,actor_kor,gender,birth
Park Ha Na,박하나,1.0,"July 25, 1985"
Kang Ji Sub,강지섭,0.0,"February 6, 1981"
Park Yoon Jae,박윤재,0.0,"January 14, 1981"
Oh Seung Ah,오승아,1.0,"September 13, 1988"
Jeon Yeo Been,전여빈,1.0,"July 26, 1989"
Doh Kyung Soo,도경수,0.0,"January 12, 1993"
Lee Se Hee,이세희,1.0,"December 22, 1991"
Jung Tae Woo,정태우,0.0,"March 23, 1982"
Seo Ji Soo,서지수,1.0,"February 11, 1994"
Kim Tae Han,김태한,0.0,"July 16, 1969"
Han Ji Hyun,한지현,1.0,"March 21, 1996"
Bae In Hyuk,배인혁,0.0,"April 4, 1998"
Kim Hyun Jin,김현진,0.0,"August 24, 1996"
Jang Gyu Ri,장규리,1.0,"December 27, 1997"
Kwak Dong Yeon,곽동연,0.0,"March 19, 1997"
Go Sung Hee,고성희,1.0,"June 21, 1990"
Bae Hyun Sung,배현성,0.0,"May 3, 1999"
Kang Min Ah,강민아,1.0,"March 20, 1997"
Kim Seung Soo,김승수,0.0,"July 25, 1971"
Lee Ha Na,이하나,1.0,"September 23, 1982"
Im Joo Hwan,임주환,0.0,"May 18, 1982"
Lee Tae Sung,이태성,0.0,"April 21, 1985"
Kim So Eun,김소은,1.0,"September 6, 1989"
Lee Yoo Jin,이유진,0.0,"April 6, 1992"
Ahn Jae Wook,안재욱,0.0,"October 30, 1971"
Lee Mi Sook,이미숙,1.0,"April 2, 1960"
Song Young Chang,송영창,0.0,"April 2, 1958"
Shin Goo,"신구
",0.0,"August 13, 1936"
Oh Hyun Kyung,오현경,1.0,"March 25, 1970"
Kim Ji Eun,김지은,1.0,"October 9, 1993"
Namkoong Min,남궁민,0.0,"March 12, 1978"
Choi Dae Hoon,최대훈,0.0,"November 16, 1980"
Park Jin Woo,박진우,0.0,"July 31, 1983"
Yook Sung Jae,육성재,0.0,"May 2, 1995"
Lee Jong Won,이종원,0.0,"December 30, 1994"
Jung Chae Yeon,정채연,1.0,"December 1, 1997"
Park Min Young,박민영,1.0,"March 4, 1986"
Go Kyung Pyo,고경표,0.0,"June 11, 1990"
Kim Jae Young,김재영,0.0,"September 30, 1988"
Jung Ryeo Won,김향기,1.0,"August 9, 2000"
Lee Kyu Hyung,이규형,0.0,"November 29, 1983"
So Ju Yeon,소주연,1.0,"December 31, 1993"
Kim Min Kyu,김민규,0.0,"March 12, 2001"
Kang Hye Won,강혜원,1.0,"July 5, 1999"
Yoon Hyun Soo,윤현수,0.0,"March 17, 1999"
Kim So Won,김소원,1.0,"December 7, 1995"
Jung Chan Woo,정찬우,0.0,"January 26, 1998"
Chun Ho Jin,천호진,0.0,"September 9, 1960"
Oh Dae Hwan,오대환,0.0,"July 5, 1979"
Cha Hwa Yun,차화연,1.0,"February 12, 1961"
Lee Min Jung,이민정,1.0,"February 16, 1982"
Lee Sang Yeob,이상엽,0.0,"May 8, 1983"
Jung Woo,"정우
",0.0,"January 14, 1981"
Lee You Mi,이유미,1.0,"July 18, 1994"
Kwon Yool,"권율
",0.0,"June 29, 1982"
Park Se Young,박세영,1.0,"July 30, 1988"
Moon You Kang,문유강,0.0,"February 22, 1996"
Ha Jung Woo,하정우,0.0,"March 11, 1978"
Hwang Jung Min,황정민,0.0,"September 1, 1970"
Jo Woo Jin,조우진,0.0,"January 16, 1979"
Heo Chan,"허찬
",0.0,"December 14, 1995"
Jang Yoon Jin,장윤진,1.0," Name: Yoon Jin
Family Name: Jang
Native name: 장윤진
Also Known as: Jang Yoonjin
Nationality: South Korean"
Shin Yoon Jae,신,0.0," Name: Yoon Jae
Family Name: Shin
Native name: 신윤제
Also Known as: Yunbok
Nationality: South Korean"
Lee Jea Jea,이ᄌ,1.0," Name: Jea Jea
Family Name: Lee
Native name: 이제제
Also Known as: Lee Je Je
Nationality: South Korean"
Kim Yi Geon,김이건,0.0," Name: Yi Geon
Family Name: Kim
Native name: 김이건
Also Known as: Kim Lee Gun
Nationality: South Korean"
Yoo Si Yeon,유시연,1.0,"February 21, 1999"
Lee Seung Gi,이승기,0.0,"January 13, 1987"
Lee Se Young,이세영,1.0,"December 20, 1992"
Joy,"조이
",1.0,"September 3, 1996"
Baek Sung Chul,백성철,0.0,"March 10, 1999"
Kim Go Eun,김고은,1.0,"July 2, 1991"
Nam Ji Hyun,남지현,1.0,"September 17, 1995"
Park Ji Hu,박지후,1.0,"November 7, 2003"
Wi Ha Joon,위하준,0.0,"August 5, 1991"
Kwon Sang Woo,권상우,0.0,"August 5, 1976"
Sung Dong Il,성동일,0.0,"April 27, 1964"
Im Se Mi,임세미,1.0,"May 29, 1987"
Won Jin Ah,원진아,1.0,"March 29, 1991"
Jung Il Woo,정일우,0.0,"September 9, 1987"
Kwon Yu Ri,권유리,1.0,"December 5, 1989"
Kang Min Woo,강민우,0.0," Name: Min Woo
Family Name: Kang
Native name: 강민우
Also Known as: Kang Min U
Nationality: South Korean"
Kim Dong Hyun,김동현,0.0,"September 17, 1998"
Bae Suzy,배수지,1.0,"October 10, 1994"
Han Ji Eun,한지은,1.0,"June 3, 1987"
Jang Gwang,"장광
",0.0,"January 5, 1952"
Kim Sun Young,김선영,1.0,"April 10, 1976"
Yoon Jin Seo,윤진서,1.0,"August 5, 1983"
Park Ji Yeon,박지연,1.0,"June 7, 1993"
Choi Soo Young,최수영,1.0,"February 10, 1990"
Ji Chang Wook,지창욱,0.0,"July 5, 1987"
Choi Daniel,최다니,0.0,"February 22, 1986"
Son Hyun Joo,손현주,0.0,"June 24, 1965"
Kim Hyo Jin,김효진,1.0,"February 10, 1984"
Kim Se Jeong,김세정,1.0,"August 28, 1996"
Nam Yoon Su,남윤수,0.0,"July 14, 1997"
Lee Jong Suk,이종석,0.0,"September 14, 1989"
Ji Sung,"지성
",0.0,"February 27, 1977"
Lee Soo Kyung,이수경,1.0,"October 24, 1996"
Yoo Young Jae,유영재,0.0,"January 24, 1994"
Jo Yu Ri,조유리,1.0,"October 22, 2001"
Kim Yoon Woo,김윤우,0.0,"December 28, 2000"
Kim Min Ho,김민호,0.0,"January 9, 1990"
Jeon Seung Hun,전승훈,0.0,"December 25, 1997"
Nam Tae Woo,남태우,0.0,"September 5, 1992"
Lee Sang Jin,이상진,0.0,"January 13, 1992"
Lee Jung Hyun,이정현,1.0,"February 7, 1980"
Lee Choong Goo,이충구,0.0,"December 9, 1987"
Jung Eugene,정유진,1.0,"February 19, 1989"
Kim Hee Sun,김희선,1.0,"June 11, 1977"
Lee Hyun Wook,이현욱,0.0,"June 17, 1985"
Cha Ji Yeon,차지연,1.0,"February 22, 1982"
Kwon Ah Reum,권아름,1.0,"July 10, 1996"
Han Ji Hyo,한지효,1.0,"July 5, 2000"
Kim Do Young,"도영
",0.0,"February 1, 1996"
Jo Ah Young,조아영,1.0,"May 15, 1999"
Oh Hye Soo,오혜수,1.0,"May 30, 1995"
Kim Min Kyung,김민경,1.0,"September 27, 1960"
Hwang Jung Ha,황정하,0.0,"January 29, 1993"
Lee Ji Yeon,이지연,1.0,"November 20, 1984"
Byeon Seo Yoon,변서윤,1.0,"December 3, 1996"
Yang Hyuk,"건
A",0.0,"March 15, 2000"
Lee Soo Jung,이ᄉ,1.0,1998
Park Eun Bin,박은빈,1.0,"September 4, 1992"
Kang Tae Oh,강태오,0.0,"June 20, 1994"
Kang Ki Young,강기영,0.0,"October 14, 1983"
Park Hye Soo,박혜수,1.0,"November 24, 1994"
Jeong Jae Hyun,정재현,0.0,"February 14, 1997"
