actor_eng,actor_kor,gender,birth
Kang Min Kyung,강민경,1.0,"August 3, 1990"
Jung Chan,"정찬
",0.0,"February 23, 1971"
Cho Hye Jung,조혜정,1.0,"December 22, 1992"
Choi Phillip,최필립,0.0,"August 18, 1979"
Song Won Geun,송원근,0.0,"December 17, 1982"
Yoo Ho Rin,유호린,1.0,"August 8, 1984"
Lee Jae Joon,이재준,0.0,"October 20, 1990"
Seo Yi Ahn,서이안,1.0,"January 12, 1991"
Choi Jong Hoon,최종훈,0.0,"March 7, 1990"
Park Doo Shik,박두식,0.0,"January 1, 1988"
Han Chae Ah,한채아,1.0,"March 24, 1982"
Im Seul Ong,임슬옹,0.0,"May 11, 1987"
Jung Geun,"정근
",0.0,"November 5, 1980"
Choi Jong Yoon,최종윤,0.0,"March 5, 1980"
Kim Suk Hoon,김석훈,0.0,"April 15, 1972"
Choi Ye Seul,최예슬,1.0,"January 4, 1994"
Son Chang Min,손창민,0.0,"April 24, 1965"
Seo Yoon Ah,서윤아,1.0,"September 26, 1986"
Park Jeong Hwa,박정화,1.0,"May 8, 1995"
Park Eun Seok,박은석,0.0,"February 10, 1984"
Kim Jung Seok,김정석,0.0,"April 6, 1967"
Jung Il Hoon,정일훈,0.0,"October 4, 1994"
Go Hyun,"고현
",0.0,"October 19, 1987"
Lee Chul Woo,이철우,0.0,"April 15, 1992"
Lee Bum Soo,이범수,0.0,"January 3, 1970"
Shim Chang Min,심창민,0.0,"February 18, 1988"
Son Dam Bi,손담비,1.0,"September 25, 1983"
Choo Soo Hyun,추수현,1.0,"March 5, 1988"
Kim Hye Ri,김혜리,1.0,"December 23, 1969"
Hwang Woo Seul Hye,황우슬,1.0,"August 10, 1979"
Hwang Dong Joo,황동주,0.0,"April 15, 1974"
Yun Woon Kyung,연운경,1.0,"August 9, 1953"
Jeon Won Joo,전원주,1.0,"August 8, 1939"
Heo Jin,"허진
",1.0,"August 28, 1949"
Nam Neung Mi,남능미,1.0,"December 10, 1946"
Baek Soo Ryun,백수련,1.0,1944
Kim Hye Ok,김혜옥,1.0,"May 9, 1958"
Yoon Jong Hwa,윤종화,0.0,"October 22, 1979"
Jang Ji Eun,장지은,1.0,"May 31, 1986"
Kim Min Ji,김민지,1.0,"April 11, 1992"
Kim Yoo Suk,김유석,0.0,"September 22, 1966"
Ahn Jae Min,안재민,0.0,"May 4, 1986"
Baek Seung Hee,백승희,1.0,"September 12, 1986"
Luna,"루나
",1.0,"August 12, 1993"
U-kwon,"유권
",0.0,"April 9, 1992"
Hana,정하나,1.0,"February 2, 1990"
B-Bomb,"비범
",0.0,"December 14, 1990"
Wang Ji Won,왕지원,1.0,"November 12, 1988"
Yoo Byung Jae,유병재,0.0,"May 6, 1988"
Kim Chang Hwan,김창환,0.0,"September 1, 1986"
Jung Yoon Hak,정윤학,0.0,"December 2, 1984"
Jung Joon Young,정준영,0.0,"February 21, 1989"
Terada Takuya,,,
Park Yoo Chun,박유천,0.0,"June 4, 1986"
Yoo Ho Jung,유호정,1.0,"January 24, 1969"
Jang Shin Young,장신영,1.0,"January 17, 1984"
Min Hyo Rin,민효린,1.0,"February 28, 1986"
Yoon Hee Seok,윤희석,0.0,"February 19, 1975"
Yoon Son Ha,윤손하,1.0,"October 23, 1975"
Park Tam Hee,박탐희,1.0,"January 2, 1978"
Oh Gwang Rok,오광록,0.0,"August 28, 1962"
Kim Bo Yun,김보윤,1.0,"December 18, 2001"
Shin Min Soo,신민수,0.0,"December 7, 1986"
Oh Sang Jin,오상진,0.0,"February 15, 1980"
