actor_eng,actor_kor,gender,birth
Kang Hye Jung,강혜정,1.0,"January 4, 1982"
Go Na Yeon,고나연,1.0,"May 17, 1990"
Lee Su Hyun,이수현,1.0,"May 4, 1999"
Kim Hee Jung,김희정,1.0,"April 16, 1992"
Kim Min Kyo,김민교,0.0,"April 15, 1974"
Kwon Young Deuk,권영득,0.0,"November 20, 1989"
Dong Ha,"동하
",0.0,"January 14, 1992"
Na Hae Ryung,나해령,1.0,"November 11, 1994"
Kim Hae In,김해인,1.0,"November 8, 1983"
Lee Dong Ha,이동하,0.0,"January 22, 1983"
Han Hye Rin,한혜린,1.0,"November 6, 1988"
Lee Soon Jae,이순재,0.0,"November 16, 1934"
Lee Seo Won,이서원,0.0,"February 17, 1997"
Do Ji Won,도지원,1.0,"February 14, 1966"
Park Sang Min,박상민,0.0,"October 19, 1970"
Cha Jung Won,차정원,1.0,"October 18, 1989"
Baek Seung Hwan,백승환,0.0,"April 17, 1998"
Jo Jae Yoon,조재윤,0.0,"September 15, 1974"
Kim Hye Sung,김혜성,0.0,"January 14, 1988"
Ahn Se Ha,안세하,0.0,"January 29, 1986"
Ryu Hyun Kyung,류현경,1.0,"March 10, 1983"
Kai,"카이
",0.0,"January 14, 1994"
Lee Ye Hyun,이예현,1.0,"June 25, 1995"
Baek Chul Min,백철민,0.0,"July 5, 1992"
Woo Hyeok,"우혁
",0.0,"June 12, 1993"
Park Jung Ah,박정아,1.0,"February 24, 1981"
Kim Da Hyun,김다현,1.0,"May 28, 1998"
Choi Jung Won,최정원,1.0,"April 24, 1981"
Seo Young Joo,서영주,0.0,"February 16, 1998"
Yang Byeong Yeol,양병열,0.0,"November 23, 1993"
Ryu Seung Soo,류승수,0.0,"August 12, 1971"
Nichkhun,메이슨,0.0,"March 21, 2007"
Kim Joo Hyuk,김주혁,0.0,"October 3, 1972"
Ohn Joo Wan,온주완,0.0,"December 11, 1983"
Shim Hyung Tak,심형탁,0.0,"January 12, 1978"
Seo Hyo Rim,서효림,1.0,"January 6, 1985"
Ji Woo,"지우
",1.0,"November 25, 1997"
Choi A Ra,최아라,1.0,"January 14, 1993"
Kim Jong Hun,김종훈,0.0,"February 19, 1992"
Jo Ha Seul,조하슬,1.0,"August 18, 1997"
Jeon Hee Jin,전희진,1.0,"October 19, 2000"
Choi Dae Soo,최대수,0.0,"August 7, 1992"
Kwak Hee Sung,곽희성,0.0,"April 8, 1990"
Yoon Da Young,윤다영,1.0,"January 14, 1992"
Hong Ah Reum,홍아름,1.0,"March 28, 1989"
Kang Da Bin,강다빈,0.0,"February 14, 1992"
Kim Jae Joong,김재중,0.0,"January 26, 1986"
Park Yoo Rim,박유림,1.0,"February 6, 1993"
Lee Jin Ha,이진하,1.0,1994
Choi Seung Yoon,최승윤,0.0,"June 30, 1984"
Oui Ji Won,위지원,1.0,"November 9, 1991"
Bang Eun Jung,방은정,1.0,"August 10, 1992"
Go Yoon,"고윤
",0.0,"September 12, 1988"
Moon Sung Geun,문성근,0.0,"May 28, 1953"
Lee Chae Yoon,이채윤,1.0,"September 19, 2005"
Choi Sung Hwan,최성환,0.0,"March 6, 1994"
Han Joo Wan,한주완,0.0,"January 10, 1984"
Kim Byung Chun,김병춘,0.0,"June 13, 1966"
Han Il Kyu,한일규,0.0,"December 25, 1983"
Yoon So Mi,윤소미,1.0,"March 18, 1992"
