eng_name,drama_num,kor_name,gender,birth,drama_cnt_naver,debut,play_actor,singer,actor_type_real,actor_type,,,child_actor
Chae Jong Hyeop,5,채종협,0,19-May-93,Notfound,,0,0,탤런트,"채종협
탤런트",,,
Seo Eun Soo,5,서은수,1,02-Mar-94,11,,0,0,탤런트,"서은수
탤런트",,,
Kim Seol Hyun,5,김설현,1,03-Jan-95,10,,0,0,영화배우,"김설현
Kim Seol Hyun
영화배우",,,
Yim Si Wan,6,임시완,0,01-Dec-88,20,,0,1,"영화배우,가수","임시완
Yim Si Wan
영화배우, 가수",,,
Shin Eun Soo,3,신은수,1,23-Oct-02,11,,0,0,"영화배우,탤런트","신은수
영화배우, 탤런트",,,
a.mond,1,방재민,0,26-Mar-99,3,,0,1,"가수,탤런트","방재민
Bang Jae Min
가수, 탤런트",,,
Oh Yu Jin,1,오유진,1,23-Jul-99,4,,0,1,가수,"오유진
Oh Yoojin
가수",,,
Bae Hyeon Jun,1,배현준,0,06-Jan-03,Notfound,,0,0,탤런트,"배현준
HYEON JUN BAE
탤런트",,,
Kim Sun Bin,1,김선빈,0,07-May-01,Notfound,,0,0,탤런트,"김선빈NO.3
KIA 타이거즈
내야수 · 우투우타",,,
Yoon Ye Joo,2,윤예주,1,23-Apr-95,Notfound,,0,0,탤런트,"윤예주
탤런트",,,
Lee Ha Min,1,이하민,0,18-Nov-96,Notfound,,0,0,탤런트,"이하민
탤런트",,,
Song Joong Ki,6,송중기,0,19-Sep-85,20,,0,0,"탤런트,영화배우","송중기
탤런트, 영화배우",,,
Shin Hyun Bin,5,신현빈,1,10-Apr-86,13,,0,0,"영화배우,탤런트","신현빈
Hyun Been Shin
영화배우, 탤런트",,,
Kim Yong Ji,1,김용지,1,14-Apr-91,7,,0,0,탤런트,"김용지
탤런트",,,
Kang Hae Lim,1,강해림,1,01-Apr-96,2,,0,0,탤런트,"강해림
탤런트",,,
Kim Su Yeon,1,김수연,1,14-Mar-95,Notfound,,0,0,탤런트,"김수연
Su Yeon Kim
교육인, 쇼핑호스트",,,
NC.A,1,임소은,1,07-Oct-96,8,,0,1,가수,"NC.A
임소은, 앤씨아
가수",,,
Choi Seok Won,1,최석원,0,25-Aug-96,3,,0,1,가수,,,,
Kim Rae Won,4,김래원,0,19-Mar-81,20,,0,0,"영화배우,탤런트","김래원
영화배우, 탤런트",,,
Son Ho Jun,6,손호준,0,27-Jun-84,30,,0,0,"영화배우,탤런트","손호준
영화배우, 탤런트",,,
Gong Seung Yeon,8,공승연,1,27-Feb-93,20,,0,0,탤런트,"공승연
탤런트",,,
Lomon,2,로몬,0,11-Nov-99,Notfound,,0,0,탤런트,"로몬
탤런트",,,
Seo Ji Hoon,7,서지훈,0,25-Apr-97,15,,0,0,탤런트,"서지훈
탤런트",,,
Chae Sang Woo,1,채상우,0,31-Mar-99,19,,0,0,영화배우,"채상우
영화배우",,,
Lee Soo Min,2,이수민,1,01-Jul-01,18,,0,0,"탤런트,모델","이수민
탤런트, 모델",,,
Seo Hyun Woo,2,서현우,0,20-Nov-83,8,,0,0,영화배우,"서현우
Hyunwoo Seo
영화배우",,,
Lee Seo Jin,5,이서진,0,30-Jan-71,35,,0,0,"탤런트,영화배우","이서진
탤런트, 영화배우",,,
Joo Hyun Young,1,주현영,1,14-Jan-96,14,,0,0,영화배우,"주현영
영화배우",,,
Go Doo Shim,5,고두심,1,22-May-51,84,,0,0,"탤런트,영화배우","고두심
탤런트, 영화배우",,,
Kang Ha Neul,4,강하늘,0,21-Feb-90,18,,0,0,영화배우,"강하늘
김하늘
영화배우",,,
Ha Ji Won,5,하지원,1,28-Jun-78,18,,0,0,"영화배우,탤런트","하지원
영화배우, 탤런트",,,
Jin Seon Kyu,2,진선규,0,13-Sep-77,15,,1,0,연극배우,"진선규
연극배우",,,
Chang Ryul,1,장률,0,14-Feb-89,10,,1,0,"영화배우,연극배우","장률
영화배우, 연극배우",,,
Jin Goo,6,진구,0,20-Jul-80,18,,0,0,"탤런트,영화배우","진구
탤런트, 영화배우",,,
Nana,8,나나,1,14-Sep-91,15,,0,1,"가수,영화배우","나나
Nana
가수, 영화배우",,,
Yoon Hyun Suk,1,윤현석,0,08-Sep-01,3,,0,1,윤현석가수,"현석
윤현석
가수",,,
Keum Dong Hyun,1,금동현,0,14-May-03,3,,0,1,가수,"금동현
가수",,,
Ha Sun Ho,1,하선호,1,25-Aug-00,2,,0,1,탤런트,"하선호
Seon Ho Ha, Sandy
가수",,,
Won Young Wook,1,원영욱,0,05-Aug-02,1,,0,0,탤런트,"원영욱
탤런트",,,
Lee Hye Ri,8,이혜리,1,09-Jun-94,15,,0,1,가수,"이혜리
가수",,,
Lee Jun Young,8,이준영,0,22-Jan-97,13,,0,1,"가수,탤런트","이준영
가수, 탤런트",,,
Ok Ja Yeon,2,옥자연,1,19-Dec-88,12,,1,0,연극배우,"옥자연
연극배우",,,
Kim Hye Soo,4,김혜수,1,05-Sep-70,35,,0,0,영화배우,"김혜수
영화배우",,,
Kim Hae Sook,5,김해숙,1,30-Dec-55,97,,0,0,"탤런트,영화배우","김해숙
탤런트, 영화배우",,,
Choi Won Young,8,최원영,0,10-Jan-76,35,,0,0,"영화배우,탤런트","최원영
Wonyoung Choi
영화배우, 탤런트",,,
Moon Sang Min,1,문상민,0,14-Apr-00,6,,0,0,탤런트,"문상민
탤런트",,,
Shin Ha Kyun,5,신하균,0,30-May-74,12,1998,0,0,영화배우,"신하균
Shin Ha Kyun
영화배우",,,0
Han Ji Min,6,한지민,1,05-Nov-82,23,,0,0,"탤런트,영화배우","한지민
탤런트, 영화배우",,,
Jang Seo Hee,3,장서희,1,05-Jan-72,33,,0,0,"탤런트,영화배우","장서희
탤런트, 영화배우",,,
Oh Chang Seok,4,오창석,0,02-Jun-82,16,,0,0,"영화배우,탤런트","오창석
영화배우, 탤런트",,,
Kim Gyu Seon,1,김규선,1,26-Jul-88,13,,0,0,영화배우,"김규선
Kyu Seon Kim
영화배우",,,
Han Ji Wan,1,한지완,1,14-Aug-87,8,,0,0,탤런트,"한지완
탤런트",,,
Ban Hyo Jung,1,반효정,1,27-Nov-42,78,,0,0,"탤런트,영화배우","반효정
탤런트, 영화배우",,,
Lee Hyun Seok,1,이현석,0,15-Sep-89,Notfound,,0,1,,,,,
Park Ha Na,6,박하나,1,25-Jul-85,25,,0,0,탤런트,"박하나
탤런트",,,
Kang Ji Sub,3,강지섭,0,06-Feb-81,28,,0,0,"탤런트,영화배우","강지섭
탤런트, 영화배우",,,
Oh Seung Ah,3,오승아,1,13-Sep-88,16,,0,1,"탤런트,가수","오승아
탤런트, 가수",,,
Jeon Yeo Been,3,전여빈,1,26-Jul-89,5,,0,0,영화배우,"전여빈
영화배우",,,
Doh Kyung Soo,2,도경수,0,12-Jan-93,12,,0,1,"도경수,..가수,영화배우","디오
도경수, D.O.
가수, 영화배우",,,
Lee Se Hee,2,이세희,1,22-Dec-91,9,,0,0,탤런트,"이세희
Se He Lee
탤런트",,,
Han Ji Hyun,1,한지현,1,21-Mar-96,5,,0,0,탤런트,"한지현
탤런트",,,
Bae In Hyuk,4,배인혁,0,04-Apr-98,12,,0,0,탤런트,"배인혁
In Hyuk Bae
탤런트",,,
Kim Hyun Jin,1,김현진,0,24-Aug-96,Notfound,,1,1,,,,,
Jang Gyu Ri,1,장규리,1,27-Dec-97,6,,0,0,탤런트,"장규리
탤런트",,,
Kwak Dong Yeon,5,곽동연,0,19-Mar-97,32,2012,0,0,탤런트,"곽동연
탤런트",,,0
Go Sung Hee,7,고성희,1,21-Jun-90,12,,0,0,영화배우,"고성희
Sung Hee Ko
영화배우",,,
Bae Hyun Sung,2,배현성,0,03-May-99,9,,0,0,탤런트,"배현성
탤런트",,,
Kim Seung Soo,2,김승수,0,25-Jul-71,Notfound,,0,0,"국회의원,전공무원","김승수
국회의원, 전 공무원",,,
Im Joo Hwan,9,임주환,0,18-May-82,23,,0,0,"영화배우,모델","임주환
영화배우, 모델",,,
Lee Tae Sung,4,이태성,0,21-Apr-85,25,,0,0,"李太成,영화배우,화가","이태성
李太成, Lee Tae Sung
영화배우, 화가",,,
Kim So Eun,6,김소은,1,06-Sep-89,29,,0,0,"탤런트,영화배우","김소은
탤런트, 영화배우",,,
Lee Yoo Jin,1,이유진,0,06-Apr-92,10,,0,0,"탤런트,영화배우","이유진
탤런트, 영화배우",,,
Ahn Jae Wook,2,안재욱,0,30-Oct-71,32,,0,1,"탤런트,가수","안재욱
탤런트, 가수",,,
Lee Mi Sook,2,이미숙,1,02-Apr-60,53,,0,0,영화배우,"이미숙
영화배우",,,
Song Young Chang,1,송영창,0,02-Apr-58,19,,1,0,"탤런트,연극배우","송영창
탤런트, 연극배우",,,
Shin Goo,1,신구,0,13-Aug-36,Notfound,,0,0,,,,,
Oh Hyun Kyung,2,오현경,1,25-Mar-70,48,,0,0,"탤런트,미스코리아","오현경
탤런트, 미스코리아",,,
Kim Ji Eun,3,김지은,1,09-Oct-93,13,,0,0,탤런트,"김지은
탤런트",,,
Namkoong Min,11,남궁민,0,12-Mar-78,30,,0,0,"탤런트,영화배우","남궁민
탤런트, 영화배우",,,
Choi Dae Hoon,3,최대훈,0,16-Nov-80,29,,0,0,"영화배우,탤런트","최대훈
Choi Dae Hoon
영화배우, 탤런트",,,
Park Jin Woo,4,박진우,0,31-Jul-83,Notfound,,0,0,,,,,
Yook Sung Jae,5,육성재,0,02-May-95,19,,0,1,"가수,탤런트","육성재
가수, 탤런트",,,
Lee Jong Won,4,이종원,0,30-Dec-94,Notfound,,0,0,"탤런트,영화배우","이종원
탤런트, 영화배우",,,
Jung Chae Yeon,4,정채연,1,01-Dec-97,16,,0,1,"탤런트,가수","정채연
탤런트, 가수",,,
Park Min Young,7,박민영,1,04-Mar-86,24,,0,0,"탤런트,영화배우","박민영
탤런트, 영화배우",,,
Go Kyung Pyo,7,고경표,0,11-Jun-90,23,,0,0,"탤런트,영화배우","고경표
탤런트, 영화배우",,,
Kim Jae Young,6,김재영,0,30-Sep-88,18,,0,0,영화배우,"김재영
영화배우",,,
Jung Ryeo Won,5,김향기,1,09-Aug-00,13,,0,0,"영화배우,탤런트","김향기
영화배우, 탤런트",,,
Lee Kyu Hyung,4,이규형,0,29-Nov-83,9,,0,0,"뮤지컬배우,영화배우","이규형
Lee Kyoo Hyung
뮤지컬배우, 영화배우",,,
Chun Ho Jin,3,천호진,0,09-Sep-60,55,,0,0,"탤런트,영화배우","천호진
탤런트, 영화배우",,,
Oh Dae Hwan,2,오대환,0,05-Jul-79,30,,0,0,"영화배우,뮤지컬배우","오대환
영화배우, 뮤지컬배우",,,
Cha Hwa Yun,2,차화연,1,12-Feb-61,52,,0,0,"탤런트,영화배우","차화연
탤런트, 영화배우",,,
Lee Min Jung,3,이민정,1,16-Feb-82,19,1998,0,0,탤런트,"이민정
탤런트",,,0
Lee Sang Yeob,10,이상엽,0,08-May-83,38,,0,0,"탤런트,영화배우","이상엽
탤런트, 영화배우",,,
Jung Woo,3,정우,0,14-Jan-81,Notfound,,0,0,"김정국영화배우,탤런트","정우
김정국
영화배우, 탤런트",,,
Lee You Mi,1,이유미,1,18-Jul-94,13,,0,0,"영화배우,탤런트","이유미
영화배우, 탤런트",,,
Kwon Yool,7,권율,0,29-Jun-82,Notfound,,0,0,"권세인,영화배우","권율
권세인, Yul Kwon
영화배우",,,
Park Se Young,5,박세영,1,30-Jul-88,17,,0,0,탤런트,"박세영
탤런트",,,
Moon You Kang,1,문유강,0,22-Feb-96,7,,1,0,연극배우,"문유강
You Kang Moon
연극배우",,,
Ha Jung Woo,1,하정우,0,11-Mar-78,6,,0,0,"김성훈영화배우,영화감독","하정우
김성훈
영화배우, 영화감독",,,
Hwang Jung Min,2,황정민,0,01-Sep-70,4,,0,0,"영화배우,탤런트","황정민
영화배우, 탤런트",,,
Lee Seung Gi,4,이승기,0,13-Jan-87,38,,0,1,"가수,탤런트","이승기
가수, 탤런트",,,
Lee Se Young,9,이세영,1,20-Dec-92,29,,0,0,"영화배우,탤런트","이세영
영화배우, 탤런트",,,
Kim Go Eun,6,김고은,1,02-Jul-91,9,,0,0,영화배우,"김고은
영화배우",,,
Nam Ji Hyun,6,남지현,1,17-Sep-95,26,,0,0,"탤런트,영화배우","남지현
탤런트, 영화배우",,,
Park Ji Hu,2,박지후,1,07-Nov-03,4,,0,0,"탤런트,영화배우","박지후
탤런트, 영화배우",,,
Wi Ha Joon,4,위하준,0,05-Aug-91,12,,0,0,"영화배우,탤런트","위하준
영화배우, 탤런트",,,
Jung Il Woo,6,정일우,0,09-Sep-87,19,,0,0,"丁一宇,탤런트,영화배우","정일우
丁一宇, Ilwoo Jung
탤런트, 영화배우",,,
Kwon Yu Ri,9,권유리,1,05-Dec-89,35,2007,0,1,"가수,탤런트","유리
가수, 탤런트",,,0
Han Ji Eun,5,한지은,1,03-Jun-87,9,,0,0,영화배우,"한지은
영화배우",,,
Jang Gwang,2,장광,0,05-Jan-52,Notfound,,0,0,"성우,영화배우","장광
성우, 영화배우",,,
Kim Sun Young,1,김선영,1,10-Apr-76,Notfound,,1,0,,,,,
Yoon Jin Seo,4,윤진서,1,05-Aug-83,13,,0,0,영화배우,"윤진서
Jin Seo Yoon
영화배우",,,
Park Ji Yeon,5,박지연,1,07-Jun-93,9,,0,0,"뮤지컬배우,탤런트","박지연
Ji Yeon Park
뮤지컬배우, 탤런트",,,
Choi Soo Young,6,최수영,1,10-Feb-90,25,,0,1,"최수영가수,탤런트","수영
최수영
가수, 탤런트",,,
Sung Dong Il,5,성동일,0,27-Apr-64,63,,0,0,"탤런트,영화배우","성동일
탤런트, 영화배우",,,
Ji Chang Wook,7,지창욱,0,05-Jul-87,22,,0,0,"영화배우,뮤지컬배우","지창욱
영화배우, 뮤지컬배우",,,
Choi Daniel,4,최다니,0,22-Feb-86,Notfound,,0,0,,,,,
Son Hyun Joo,6,손현주,0,24-Jun-65,54,,0,0,"탤런트,영화배우","손현주
탤런트, 영화배우",,,
Kim Hyo Jin,3,김효진,1,10-Feb-84,17,,0,0,"영화배우,탤런트","김효진
영화배우, 탤런트",,,
Kim Se Jeong,5,김세정,1,28-Aug-96,17,,0,1,가수,"김세정
가수",,,
Nam Yoon Su,3,남윤수,0,14-Jul-97,10,,0,0,"탤런트,모델","남윤수
Yoon Su Nam
탤런트, 모델",,,
Lee Jong Suk,5,이종석,0,14-Sep-89,Notfound,,0,0,,,,,
Ji Sung,7,지성,0,27-Feb-77,Notfound,,0,0,"곽태근,탤런트,영화배우","지성
곽태근, Ji Sung
탤런트, 영화배우",,,
Lee Soo Kyung,6,이수경,1,24-Oct-96,Notfound,,0,0,"영화배우,탤런트","이수경
Lee Soo Kyung
영화배우, 탤런트",,,
Yoo Young Jae,2,유영재,0,24-Jan-94,Notfound,,0,0,탤런트,"유영재
탤런트",,,
Jo Yu Ri,1,조유리,1,22-Oct-01,9,,0,1,가수,"조유리
JO YURI
가수",,,
Kim Yoon Woo,1,김윤우,0,28-Dec-00,4,,0,0,영화배우,"김윤우
영화배우",,,
Kim Min Ho,1,김민호,0,09-Jan-90,12,,0,0,영화배우,"김민호
영화배우",,,
Jeon Seung Hun,1,전승훈,0,25-Dec-97,2,,0,0,영화배우,"전승훈
영화배우",,,
Nam Tae Woo,1,남태우,0,05-Sep-92,6,,0,0,탤런트,"남태우
탤런트",,,
Lee Sang Jin,1,이상진,0,13-Jan-92,8,,1,0,연극배우,"이상진
연극배우",,,
Lee Jung Hyun,2,이정현,1,07-Feb-80,16,,0,0,영화배우,"이정현
Jung Hyun Lee
영화배우",,,
Lee Choong Goo,1,이충구,0,09-Dec-87,5,,0,0,영화배우,"이충구
영화배우",,,
Jung Eugene,5,정유진,1,19-Feb-89,11,,0,0,"탤런트,영화배우","정유진
탤런트, 영화배우",,,
Kim Hee Sun,6,김희선,1,11-Jun-77,33,,0,0,"탤런트,영화배우","김희선
탤런트, 영화배우",,,
Lee Hyun Wook,3,이현욱,0,17-Jun-85,12,,0,0,"영화배우,탤런트","이현욱
영화배우, 탤런트",,,
Cha Ji Yeon,1,차지연,1,22-Feb-82,6,,0,0,,,,,
Kwon Ah Reum,1,권아름,1,10-Jul-96,8,,0,0,탤런트,"권아름
탤런트",,,
Han Ji Hyo,1,한지효,1,05-Jul-00,8,,0,0,"송지효,영화배우,탤런트","한지효
송지효, Han Jihyo
영화배우, 탤런트",,,
Kim Do Young,1,도영,0,01-Feb-96,Notfound,,0,0,정보없음,Notfound,,,
Park Eun Bin,9,박은빈,1,04-Sep-92,38,,0,0,"朴恩斌탤런트,영화배우","박은빈
朴恩斌
탤런트, 영화배우",,,
Kang Tae Oh,8,강태오,0,20-Jun-94,16,,0,0,"탤런트,영화배우","강태오
탤런트, 영화배우",,,
Kang Ki Young,2,강기영,0,14-Oct-83,24,,0,0,"영화배우,탤런트","강기영
Ki Young Kang
영화배우, 탤런트",,,
Park Hye Soo,3,박혜수,1,24-Nov-94,6,,0,0,탤런트,"박혜수
탤런트",,,
Jeong Jae Hyun,1,정재현,0,14-Feb-97,Notfound,,0,1,,,,,
Roh Jeong Eui,4,노정의,1,31-Jul-01,17,,0,0,"탤런트,영화배우","노정의
탤런트, 영화배우",,,
Lee Jin Hyuk,2,웨이,0,08-Jun-96,Notfound,,0,1,"허민선,탤런트,가수","웨이
허민선, WAY
탤런트, 가수",,,
Kang Mi Na,5,강미나,1,04-Dec-99,12,,0,0,탤런트,"강미나
탤런트",,,
Seo In Guk,6,서인국,0,23-Oct-87,20,,0,1,"가수,탤런트","서인국
가수, 탤런트",,,
Oh Yeon Seo,7,오연서,1,22-Jun-87,24,,0,0,"탤런트,영화배우","오연서
탤런트, 영화배우",,,
Kwak Shi Yang,9,곽시양,0,15-Jan-87,16,,0,0,"탤런트,영화배우","곽시양
탤런트, 영화배우",,,
Kwon Soo Hyun,1,권수현,0,18-Aug-86,14,,0,0,"영화배우,탤런트","권수현
영화배우, 탤런트",,,
Lee Yoo Ri,7,이유리,1,28-Jan-80,43,,0,0,탤런트,"이유리
Yuri Lee
탤런트",,,
Lee Min Young,2,이민영,1,06-Feb-76,34,,0,0,탤런트,"이민영
탤런트",,,
Yoon So Yi,5,윤소이,1,05-Jan-85,23,,0,0,"문수희탤런트,영화배우","윤소이
문수희
탤런트, 영화배우",,,
Chani,1,강찬희,0,17-Jan-00,Notfound,,0,1,"가수,탤런트","찬희
가수, 탤런트",,,
Hwiyoung,1,휘영,0,11-May-99,Notfound,,0,1,"가수,탤런트","휘영
가수, 탤런트",,,
Jung So Min,7,정소민,1,16-Mar-89,18,,0,0,탤런트,"정소민
탤런트",,,
Seo Hyun,4,서현,1,28-Jun-91,Notfound,,0,1,"서주현가수,탤런트","서현
서주현
가수, 탤런트",,,
Na In Woo,5,나인우,0,17-Sep-94,18,,0,0,"탤런트,영화배우","나인우
탤런트, 영화배우",,,
Jeon Kwang Ryul,3,전광렬,0,11-Feb-60,51,,0,0,"탤런트,영화배우","전광렬
탤런트, 영화배우",,,
Park Jin Young,5,박진영,0,22-Sep-94,Notfound,,0,1,"가수,탤런트","박진영
가수, 탤런트",,,
Lee Yoo Young,5,이유영,1,08-Dec-89,9,,0,0,영화배우,"이유영
Lee You Young
영화배우",,,
Yeo Jin Goo,9,여진구,0,13-Aug-97,28,,0,0,"영화배우,탤런트","여진구
영화배우, 탤런트",,,
Son Woo Hyun,2,손우현,0,30-Nov-89,11,,0,0,영화배우,"손우현
영화배우",,,
Kim Kang Min,4,김강민,0,02-Dec-98,Notfound,,0,0,,,,,
Kim Jae Hwa,1,김재화,1,01-Sep-80,24,,0,0,영화배우,"김재화
영화배우",,,
Yeom Jung Ah,2,염정아,1,28-Jul-72,31,,0,0,"영화배우,미스코리아","염정아
영화배우, 미스코리아",,,
Jeon So Min,6,전소민,1,07-Apr-86,24,,0,0,"탤런트,영화배우","전소민
So Min Jeon
탤런트, 영화배우",,,
Lee Moo Saeng,1,이무생,0,10-May-80,14,,0,0,영화배우,"이무생
영화배우",,,
So Ji Sub,3,소지섭,0,04-Nov-77,25,,0,0,"탤런트,영화배우","소지섭
탤런트, 영화배우",,,
Shin Sung Rok,8,신성록,0,23-Nov-82,24,,0,0,"뮤지컬배우,탤런트","신성록
뮤지컬배우, 탤런트",,,
Seo Hyun Jin,8,서현진,1,27-Feb-85,21,,0,0,"탤런트,영화배우","서현진
탤런트, 영화배우",,,
Hwang In Youp,3,황인엽,0,19-Jan-91,7,,0,0,탤런트,"황인엽
탤런트",,,
Seo Yea Ji,5,서예지,1,06-Apr-90,13,,0,0,"탤런트,영화배우","서예지
탤런트, 영화배우",,,
Park Byung Eun,6,박병은,0,14-Jul-77,21,,0,0,"탤런트,영화배우","박병은
탤런트, 영화배우",,,
Yoon Kye Sang,5,윤계상,0,20-Dec-78,17,,0,0,"영화배우,탤런트","윤계상
Kyesang Yoon
영화배우, 탤런트",,,
Kim Ji Suk,7,김지석,0,21-Apr-81,37,,0,0,"탤런트,영화배우","김지석
탤런트, 영화배우",,,
Lee Hyun Jin,1,이현진,0,05-Mar-85,14,,0,0,탤런트,"이현진
탤런트",,,
Lee Hwi Hyang,1,이휘향,1,19-Nov-60,51,,0,0,"탤런트,영화배우","이휘향
탤런트, 영화배우",,,
Na Young Hee,1,나영희,1,20-Sep-61,49,,0,0,"탤런트,영화배우","나영희
Na Young Hee
탤런트, 영화배우",,,
Lee Jin Wook,8,이진욱,0,16-Sep-81,21,,0,0,"영화배우,탤런트","이진욱
영화배우, 탤런트",,,
Han Hyun Jun,1,한현준,0,07-Jun-99,Notfound,,0,0,탤런트,"한현준
탤런트",,,
Kim Tae Hwan,1,김태환,0,12-Jul-92,Notfound,,0,0,,,,,
Yoon Kyun Sang,8,윤균상,0,31-Mar-87,16,,0,0,"탤런트,영화배우","윤균상
Kyun Sang Yun
탤런트, 영화배우",,,
Sung Hoon,10,방인규,0,14-Feb-83,24,2011,0,0,,,,,0
Shin Dong Wook,2,신동욱,0,14-Sep-82,Notfound,,0,0,"앵커,방송기자","신동욱
앵커, 방송기자",,,
Choi Sung Eun,2,최성은,1,17-Jun-96,3,,0,0,영화배우,"최성은
Choi Sung Eun
영화배우",,,
Yoon Doo Joon,4,윤두준,0,04-Jul-89,30,,0,1,"가수,탤런트","윤두준
가수, 탤런트",,,
Kwak Do Won,1,곽도원,0,17-May-73,4,,0,0,영화배우,"곽도원
영화배우",,,
Han Go Eun,2,한고은,1,10-Mar-75,40,,0,0,"탤런트,영화배우","한고은
탤런트, 영화배우",,,
Park Won Sook,3,박원숙,1,19-Jan-49,68,,0,0,"탤런트,영화배우","박원숙
탤런트, 영화배우",,,
Jung Dong Won,1,정동원,0,19-Mar-07,12,,0,1,가수,"정동원
Jeong Dong Won
가수",,,
Lee Joon,7,이준,0,07-Feb-88,Notfound,,0,1,"이창선영화배우,가수","이준
이창선
영화배우, 가수",,,
Kang Han Na,6,강한나,1,30-Jan-89,19,,0,0,"영화배우,탤런트","강한나
영화배우, 탤런트",,,
Kim Ji Young,4,김지영,1,08-Jul-05,Notfound,,0,0,"영화배우,탤런트","김지영
영화배우, 탤런트",,,
Lee Kwang Soo,3,이광수,0,14-Jul-85,25,,0,0,"탤런트,영화배우","이광수
탤런트, 영화배우",,,
Jin Hee Kyung,3,진희경,1,07-Sep-68,17,,0,0,"영화배우,탤런트","진희경
영화배우, 탤런트",,,
Jung Joon Ho,4,정준호,0,01-Oct-69,35,,0,0,"영화배우,탤런트","정준호
영화배우, 탤런트",,,
Park Hae Jin,6,박해진,0,01-May-83,26,,0,0,탤런트,"박해진
탤런트",,,
Yoon Jong Hoon,3,윤종훈,0,15-Feb-84,28,,0,0,"탤런트,영화배우","윤종훈
탤런트, 영화배우",,,
Kim Yoon Hye,2,김윤혜,1,24-May-91,13,,0,0,"탤런트,영화배우","김윤혜
탤런트, 영화배우",,,
Lee Jung Shin,5,이정신,0,15-Sep-91,16,,0,1,"가수,탤런트","이정신
가수, 탤런트",,,
Park Ji Hyun,3,박지현,1,26-Nov-94,Notfound,,0,0,관련도순최신순모바일메인언론사,"뉴스
관련도순 최신순 모바일 메인 언론사",,,
Kim Moo Joon,2,김무준,0,24-May-98,Notfound,,0,0,탤런트,"김무준
탤런트",,,
Lee Byung Hun,2,이병헌,0,12-Jul-70,28,,0,0,"영화배우,탤런트","이병헌
영화배우, 탤런트",,,
Shin Min Ah,6,신민아,1,05-Apr-84,13,,0,0,"양민아영화배우,탤런트","신민아
양민아
영화배우, 탤런트",,,
Cha Seung Won,4,차승원,0,07-Jun-70,21,,0,0,"영화배우,모델","차승원
영화배우, 모델",,,
Lee Min Ki,5,이민기,0,16-Jan-85,14,,0,0,"탤런트,영화배우","이민기
탤런트, 영화배우",,,
Kim Ji Won,7,김지원,1,19-Oct-92,14,,0,0,"탤런트,영화배우","김지원
탤런트, 영화배우",,,
Lee Kyung Young,3,이경영,0,12-Dec-60,35,,0,0,영화배우,"이경영
영화배우",,,
Jung Sang Hoon,7,정상훈,0,09-Sep-76,37,,0,0,"방송연예인,뮤지컬배우","정상훈
방송연예인, 뮤지컬배우",,,
Lee Joon Gi,6,이준기,0,17-Apr-82,17,,0,0,"영화배우,탤런트","이준기
영화배우, 탤런트",,,
Choo Ja Hyun,3,추자현,1,20-Jan-79,29,,0,0,"추은주탤런트,영화배우","추자현
추은주
탤런트, 영화배우",,,
Lee Yo Won,6,이요원,1,09-Apr-80,18,,0,0,"영화배우,탤런트","이요원
영화배우, 탤런트",,,
Kim Gyu Ri,1,김규리,1,06-Oct-79,32,,0,0,"탤런트,영화배우","김규리
탤런트, 영화배우",,,
Jang Hye Jin,2,장혜진,1,05-Sep-75,12,,1,0,연극배우,"장혜진
연극배우",,,
Joo Min Kyung,1,주민경,1,06-Jul-89,8,,0,0,"탤런트,영화배우","주민경
탤런트, 영화배우",,,
Shin Dong Mi,1,신동미,1,13-Sep-77,25,,0,0,영화배우,"신동미
영화배우",,,
Oh Min Suk,5,오민석,0,22-Apr-80,24,,0,0,"탤런트,영화배우","오민석
탤런트, 영화배우",,,
Yoon Shi Yoon,8,윤시윤,0,26-Sep-86,24,,0,0,"탤런트,영화배우","윤시윤
탤런트, 영화배우",,,
Bae Da Bin,1,배다빈,1,24-Dec-93,8,,0,0,탤런트,"배다빈
탤런트",,,
Seo Bum June,1,서범준,0,27-Jun-97,Notfound,,0,0,영화배우,"서범준
Bum June Seo
영화배우",,,
Choi Ye Bin,1,최예빈,1,02-Sep-98,7,,0,0,탤런트,"최예빈
탤런트",,,
Rowoon,4,로운,0,07-Aug-96,Notfound,,0,1,"가수,탤런트","로운
가수, 탤런트",,,
Lee Soo Hyuk,7,이수혁,0,31-May-88,21,,0,0,"이혁수영화배우,모델","이수혁
이혁수
영화배우, 모델",,,
Yun Ji On,2,윤지온,0,19-May-90,10,,0,0,"탤런트,영화배우","윤지온
탤런트, 영화배우",,,
Jo Hyuk Joon,1,조혁준,0,04-May-90,Notfound,,0,0,탤런트,"조혁준
Hyuk Jun Cho
탤런트",,,
Kang Eun Bin,1,강은빈,0,29-Aug-95,3,,0,0,탤런트,"강은빈
탤런트",,,
Kim Sung Gyu,4,김성규,0,06-Jan-86,Notfound,,0,0,영화배우,"김성규
Sungkyu Kim
영화배우",,,
Jeon Yu Bin,1,전유빈,0,22-Apr-97,Notfound,,0,1,가수,"전유빈
가수",,,
Yoo Young Mo,1,유영모,0,24-Mar-98,Notfound,,0,0,,,,,
Lee Jung Min,3,이정민,0,18-Jun-95,Notfound,,0,0,,,,,
Min In Gi,1,민인기,0,22-Oct-98,Notfound,,1,0,"연극배우,뮤지컬배우","민인기
연극배우, 뮤지컬배우",,,
Ha Do Gwon,1,김용구,0,03-Mar-77,Notfound,,0,0,,,,,
