eng_name,drama_num,kor_name,gender,birth,drama_cnt_naver,debut,play_actor,singer,actor_type_real,actor_type,,,child_actor
Kim Dong Wook,9,김동욱,0,29-Jul-83,19,,0,0,"영화배우,탤런트","김동욱
영화배우, 탤런트",,,
Yoon Park,11,윤박,0,18-Nov-87,34,,0,0,정보없음,Notfound,,,
Park So Jin,3,박소진,1,21-May-86,30,,0,1,"가수,영화배우","박소진
So Jin Park
가수, 영화배우",,,
Lee Dong Hae,1,이동해,0,15-Oct-86,20,,0,1,"이동해가수,탤런트","동해
이동해
가수, 탤런트",,,
Lee Min Jae,1,이민재,0,21-Jan-00,13,,0,0,"탤런트,영화배우","이민재
탤런트, 영화배우",,,
Jung Woo Yeon,2,정우연,1,22-Apr-93,10,,0,0,탤런트,"정우연
탤런트",,,
Kim Woo Bin,2,김우빈,0,16-Jul-89,14,,0,0,영화배우,"김우빈
영화배우",,,
Song Seung Heon,7,송승헌,0,05-Oct-76,22,,0,0,"탤런트,영화배우","송승헌
탤런트, 영화배우",,,
Kang Yoo Seok,3,강유석,0,10-Jun-94,9,,0,0,탤런트,"강유석
탤런트",,,
Esom,5,이솜,1,30-Jan-90,10,,0,0,영화배우,"이솜
Esom
영화배우",,,
Lee Yun Hee,6,이연희,1,09-Jan-88,18,,0,0,"탤런트,영화배우","이연희
탤런트, 영화배우",,,
Hong Jong Hyun,5,홍종현,0,02-Feb-90,33,,0,0,"모델,탤런트","홍종현
모델, 탤런트",,,
Moon So Ri,4,문소리,1,02-Jul-74,14,,0,0,영화배우,"문소리
영화배우",,,
U-Know,3,유노윤호,0,06-Feb-86,13,,0,1,"정윤호가수,탤런트","유노윤호
정윤호
가수, 탤런트",,,0
Lee Hyun Joo,2,이현주,1,05-Feb-98,7,2015,0,0,축구선수,"이현주
축구선수",,,0
Lee Dong Wook,8,이동욱,0,06-Nov-81,36,,0,0,"탤런트,영화배우","이동욱
탤런트, 영화배우",,,
Kim So Yeon,8,김소연,1,02-Nov-80,34,,0,0,"탤런트,영화배우","김소연
탤런트, 영화배우",,,
Kim Bum,6,김범,0,07-Jul-89,19,2006,0,0,"김상범,탤런트,영화배우","김범
김상범, Kim Bum
탤런트, 영화배우",,,1
Ryu Kyung Soo,2,류경수,0,12-Oct-92,7,,0,0,영화배우,"류경수
영화배우",,,
Oh Se Hun,2,오세훈,0,12-Apr-94,13,,0,1,가수,,,,
Jang Yeo Bin,1,장여빈,1,10-Mar-00,3,2017,0,0,영화배우,"장여빈
영화배우",,,0
Jo Joon Young,1,조준영,0,26-Dec-02,4,,0,0,탤런트,"조준영
탤런트",,,
Jin Ki Joo,5,진기주,1,26-Jan-89,11,,0,0,"탤런트,영화배우","진기주
탤런트, 영화배우",,,
Han Seok Kyu,4,한석규,0,03-Nov-64,14,,0,0,"영화배우,탤런트","한석규
영화배우, 탤런트",,,
Lee Sung Kyung,9,이성경,1,10-Aug-90,11,,0,0,"모델,탤런트","이성경
모델, 탤런트",,,
Ahn Hyo Seop,6,한소희,1,18-Nov-94,11,,0,0,탤런트,"한소희
탤런트",,,
Kim Joo Heon,5,김주헌,0,01-Mar-80,14,,1,0,연극배우,"김주헌
Ju Hun Kim
연극배우",,,
Ra Mi Ran,6,라미란,1,06-Mar-75,32,,0,0,"영화배우,탤런트","라미란
영화배우, 탤런트",,,
Lee Do Hyun,7,이도현,0,11-Apr-95,12,,0,0,임동현탤런트,"이도현
임동현
탤런트",,,
Ahn Eun Jin,3,안은진,1,06-May-91,14,,0,0,영화배우,"안은진
영화배우",,,
Yoo In Soo,1,유인수,0,25-Mar-98,13,,0,0,탤런트,"유인수
Yoo In Soo
탤런트",,,
Kim Sun Ah,7,김선아,1,26-Oct-73,21,,0,0,"영화배우,탤런트","김선아
영화배우, 탤런트",,,
Oh Yoon Ah,6,오윤아,1,14-Oct-80,41,,0,0,"영화배우,탤런트","오윤아
영화배우, 탤런트",,,
Shin Eun Jung,1,신은정,1,03-Jan-74,35,,0,0,"탤런트,영화배우","신은정
탤런트, 영화배우",,,
