actor_eng,actor_kor,gender,birth
Ra Mi Ran,라미란,1.0,"March 6, 1975"
Lee Do Hyun,이도현,0.0,"April 11, 1995"
Ahn Eun Jin,안은진,1.0,"May 6, 1991"
Yoo In Soo,유인수,0.0,"March 25, 1998"
Kim Sun Ah,김선아,1.0,"October 26, 1973"
Oh Yoon Ah,오윤아,1.0,"October 14, 1980"
Shin Eun Jung,신은정,1.0,"January 3, 1974"
Yoo Sun,"유선
",1.0,"February 11, 1976"
Jung Su Bin,정수빈,0.0,"April 5, 1999"
Choi Yu Ju,최유주,1.0,"March 5, 1997"
Kim Do Yeon,김도연,1.0,"December 4, 1999"
Lee Dae Hwi,이대휘,0.0,"January 29, 2001"
Jang Hyuk,"장혁
",0.0,"December 20, 1976"
Jang Na Ra,장나라,1.0,"March 18, 1981"
Chae Jung An,채정안,1.0,"October 21, 1977"
Kim Nam Hee,김남희,0.0,"May 25, 1986"
Uhm Jung Hwa,엄정화,1.0,"August 17, 1969"
Kim Byung Chul,김병철,0.0,"July 5, 1974"
Myung Se Bin,명세빈,1.0,"April 10, 1975"
Min Woo Hyuk,민우혁,0.0,"September 18, 1983"
Kim Hee Ae,김희애,1.0,"April 23, 1967"
Kim Jae Won,김재원,0.0,"February 18, 1981"
Jo Han Chul,조한철,0.0,"June 13, 1973"
Joo Won,"주원
",0.0,"September 30, 1987"
Lee Joo Woo,이주우,1.0,"September 3, 1990"
Choi Hwa Jung,최화정,1.0,"February 10, 1961"
Lee Deok Hwa,이덕화,0.0,"May 8, 1952"
Yoo In Na,유인나,1.0,"June 5, 1982"
Yoon Hyun Min,윤현민,0.0,"April 15, 1985"
Joo Sang Wook,주상욱,0.0,"July 18, 1978"
Hwang Chan Sung,황찬성,0.0,"February 11, 1990"
Kim Seo Hyung,김서형,1.0,"October 28, 1973"
Seo Young Hee,서영희,1.0,"June 13, 1979"
Lee Shi Woo,이시우,0.0,"December 19, 1999"
Jang Geun Suk,장근석,0.0,"August 4, 1987"
Heo Sung Tae,허성태,0.0,"October 20, 1977"
Lee Elijah,이엘리,1.0,"February 19, 1990"
Bona,"보나
",1.0,"August 19, 1995"
Cha Hak Yeon,차학연,0.0,"June 30, 1990"
Shin Hyun Soo,신현수,0.0,"July 8, 1989"
Lee Soon Won,이순원,0.0,"February 19, 1983"
Im Ji Sub,임지섭,0.0,"November 12, 1998"
Oh Jun Taek,오준택,0.0,"January 27, 2001"
Shin Ye Eun,신예은,1.0,"January 18, 1998"
Ryeoun,"려운
",0.0,"August 26, 1998"
Kang Hoon,"강훈
",0.0,"May 23, 1991"
Jung Gun Joo,정건주,0.0,"May 26, 1995"
Lee Si Young,이은래,1.0,"April 17, 1982"
Cha Seo Won,차서원,0.0,"April 15, 1991"
Gongchan,"공찬
",0.0,"August 14, 1993"
Kim Jae Han,김재한,0.0,"July 1, 1995"
Shin Ye Chan,신예찬,0.0,"May 14, 2001"
Shin Go Eun,신고은,1.0,"April 7, 1986"
Choi Yoon Young,최윤영,1.0,"September 25, 1986"
Lee Chae Young,이채영,1.0,"April 29, 1986"
Lee Sun Ho,이선호,0.0,"December 14, 1981"
Han Ki Woong,한기웅,0.0,"December 30, 1987"
Lee Eun Hyung,이은형,0.0,"March 9, 1983"
Lee Ji Ah,이지아,1.0,"August 6, 1978"
Lee Sang Yoon,이상윤,0.0,"August 15, 1981"
Jang Hee Jin,장희진,1.0,"May 9, 1983"
Park Ki Woong,박기웅,0.0,"February 13, 1985"
Bong Tae Kyu,봉태규,0.0,"May 19, 1981"
Song Hye Kyo,송혜교,1.0,"November 22, 1981"
Yeom Hye Ran,염혜란,1.0,"October 30, 1976"
Park Sung Hoon,박성훈,0.0,"February 18, 1985"
Jung Sung Il,정성일,0.0,"February 3, 1980"
Lee Seung Gyu,이ᄉ,0.0,"July 10, 1999"
Jang Dong Yoon,장동윤,0.0,"July 12, 1992"
Seol In Ah,설인아,1.0,"January 3, 1996"
Choo Young Woo,추ᄋ,0.0,"June 5, 1999"
Cho Seung Woo,조승우,0.0,"March 28, 1980"
Han Hye Jin,한혜진,1.0,"October 27, 1981"
Jung Moon Sung,정문성,0.0,"January 13, 1981"
Kim Jun Hyung,김준형,0.0,"October 18, 2002"
Won Do Hyun,원도현,0.0,"June 12, 1996"
Yoon Chan Young,윤찬영,0.0,"April 25, 2001"
Bang Min Ah,방민아,1.0,"May 13, 1993"
Kim Min Seok,김민석,0.0,"January 24, 1990"
Kim Nam Gil,김남길,0.0,"March 13, 1980"
Lee Da Hee,이다희,1.0,"March 15, 1985"
Cha Eun Woo,차은우,0.0,"March 30, 1997"
Sung Joon,"성준
",0.0,"July 10, 1990"
Kim Young Kwang,김영광,0.0,"January 11, 1987"
Ahn Hee Yeon,안희연,1.0,"May 1, 1992"
Kim Ye Won,김예원,1.0,"December 11, 1987"
Kim Eui Sung,김의성,0.0,"December 17, 1965"
Lee Je Hoon,이제훈,0.0,"July 4, 1984"
Pyo Ye Jin,표예진,1.0,"February 3, 1992"
Choi Min Shik,최민식,0.0,"May 30, 1962"
Lee Dong Hwi,이동휘,0.0,"July 22, 1985"
Kim Min Gue,김민규,0.0,"December 25, 1994"
Go Bo Gyeol,고보결,1.0,"May 2, 1988"
Lee Jang Woo,이장우,0.0,"June 1, 1986"
Go Won Hee,고원희,1.0,"September 12, 1994"
Kim Ok Bin,김옥빈,1.0,"January 3, 1987"
Yoo Teo,유태오,0.0,"April 11, 1981"
Kim Ji Hoon,김지훈,0.0,"May 9, 1981"
Park Hyung Sik,박형식,0.0,"November 16, 1991"
Jeon So Nee,전소니,1.0,"March 20, 1991"
Yoon Jong Seok,윤종석,0.0,"May 28, 1992"
Lee Tae Sun,이태선,0.0,"July 16, 1993"
Heo Won Seo,허원서,0.0,"November 16, 2001"
Kim Jung Hyun,김정현,0.0,"April 5, 1990"
Im Soo Hyang,임수향,1.0,"April 19, 1990"
Kim Da Som,김다솜,1.0,"May 6, 1993"
Ahn Woo Yeon,안우연,0.0,"January 7, 1991"
Shon Min Ho,손민호,0.0,"September 9, 1989"
Shin Yeon Suh,신연서,1.0,"April 30, 1993"
Jung Jun Hwan,정준환,0.0,"July 7, 1990"
Yun Ha Bin,윤하빈,0.0," Name: Ha Bin
Family Name: Yun
Native name: 윤하빈
Also Known as: Yoon Ha Bin
Nationality: South Korean"
Jun.Q,"준Q
",0.0,"August 9, 1993"
Han Jung Wan,한정완,0.0,"June 5, 1997"
Kang So Ra,강소라,1.0,"February 18, 1990"
Jang Seung Jo,장승조,0.0,"December 13, 1981"
Kim Dae Kyung,김대경,0.0," Name: Dae Kyung
Family Name: Kim
Native name: 김대경
Also Known as: Kim Dae Kyeong
Nationality: South Korean"
Kim Bong Bang,김,1.0," Name: Bong Bang
Family Name: Kim
Native name: 김봉방
Nationality: South Korean"
Jeon Do Yeon,전도연,1.0,"February 11, 1973"
Jung Kyung Ho,정경호,0.0,"August 31, 1983"
Kim Min Jae,김민재,0.0,"November 1, 1996"
Kim Hyang Gi,김향기,1.0,"August 9, 2000"
Kim Sang Kyung,김상경,0.0,"June 1, 1972"
Kang Young Seok,강영석,0.0,"August 12, 1991"
Woo Da Vi,우다비,1.0,"October 13, 1999"
Lee Bo Young,이보영,1.0,"January 12, 1979"
Jo Sung Ha,조성하,0.0,"August 8, 1966"
Son Na Eun,손나은,1.0,"February 10, 1994"
Han Joon Woo,한준우,0.0,"March 28, 1984"
Jeon Hye Jin,전혜진,1.0,"August 10, 1976"
Lee Sun Kyun,이선균,0.0,"March 2, 1975"
Moon Chae Won,문채원,1.0,"November 13, 1986"
Park Hoon,"박훈
",0.0,"April 27, 1981"
Ye Ji Won,예지원,1.0,"February 1, 1973"
Jung Yong Hwa,정용화,0.0,"June 22, 1989"
Cha Tae Hyun,차태현,0.0,"March 25, 1976"
Kwak Sun Young,곽선영,1.0,"May 11, 1983"
Bae Woo Hee,배우희,1.0,"November 21, 1991"
Park Sun Ho,박선호,0.0,"May 9, 1993"
Choi Kwang Rok,최광록,0.0,"July 1, 1991"
Chae Soo Bin,채수빈,1.0,"July 10, 1994"
Choi Min Ho,최민호,0.0,"December 9, 1991"
Lee Sang Woon,이상운,0.0,"January 1, 1992"
Park Hee Jung,박희정,1.0,"December 9, 1991"
Yoo Yeon Seok,유연석,0.0,"April 11, 1984"
Mun Ka Young,문가영,1.0,"July 10, 1996"
Geum Sae Rok,금새록,1.0,"September 6, 1992"
Jung Ga Ram,정가람,0.0,"February 23, 1993"
Kwon Hyuk,"권혁
",0.0,"February 19, 1989"
Moon Ji Yong,문지용,0.0,"June 4, 1993"
Kim Hyun Joo,김현주,1.0,"April 24, 1977"
Park Hee Soon,박희순,0.0,"February 13, 1970"
Kim Mu Yeol,김무열,0.0,"May 22, 1982"
Jung Soo Bin,정수빈,1.0,"August 17, 1998"
Go Soo,"고수
",0.0,"October 4, 1978"
Ahn So Hee,안소희,1.0,"June 27, 1992"
Ha Joon,"하준
",0.0,"April 3, 1987"
Lee Jung Eun,이정은,1.0,"January 23, 1970"
Kim Dong Hwi,김동휘,0.0,"December 26, 1995"
Seo Ji Hye,서지혜,1.0,"August 24, 1984"
Hong Soo Hyun,홍수현,1.0,"February 15, 1981"
Lee Sang Woo,이상우,0.0,"February 13, 1980"
Lee Sung Jae,이성재,0.0,"August 23, 1970"
