actor_eng,actor_kor,gender,birth
Jin Goo,"진구
",0.0,"July 20, 1980"
Yang Dong Geun,양동근,0.0,"June 1, 1979"
Jung Yi Seo,정이서,1.0,"August 13, 1993"
Jo Chan Hyun,조ᄎ,0.0,"April 7, 2000"
Park Sun Woo,박선우,0.0,"e name: 박선우
Also Known as: Park Seon Woo
Nationality: South Korean"
Song Ye Bin,송예빈,1.0,"September 9, 2000"
Kim Soo Min,김수민,1.0,1999
Park Young Woon,박영운,0.0,"January 18, 1990"
Park Jeong Woo,박,0.0,"December 10, 1995"
Jang You Sung,장유성,0.0,"March 17, 1995"
Park Jung Yeon,박정연,1.0,"May 13, 1997"
Jung Woo Jin,정우진,0.0,"November 1, 1996"
Lee Jae Wook,이재욱,0.0,"May 10, 1998"
Go Youn Jung,고윤정,1.0,"April 22, 1996"
Hwang Min Hyun,황민현,0.0,"August 9, 1995"
Shin Seung Ho,신승호,0.0,"November 11, 1995"
Yoo Joon Sang,유준상,0.0,"November 28, 1969"
Oh Na Ra,오나라,1.0,"October 26, 1974"
Yoo Ji Tae,유지태,0.0,"April 13, 1976"
Park Hae Soo,박해수,0.0,"November 21, 1981"
Jeon Jong Seo,전종서,1.0,"July 5, 1994"
Lee Won Jong,이원종,0.0,"January 1, 1966"
Jang Yoon Ju,장윤주,1.0,"November 7, 1980"
Kim Young Dae,김영대,0.0,"March 2, 1996"
Park Ju Hyun,박주현,1.0,"October 5, 1994"
Lee Sun Bin,이선빈,1.0,"January 7, 1994"
Han Sun Hwa,한선화,1.0,"October 6, 1990"
Jung Eun Ji,정은지,1.0,"August 18, 1993"
Choi Si Won,최시원,0.0,"April 7, 1986"
Chae Jong Hyeop,채종협,0.0,"May 19, 1993"
Seo Eun Soo,서은수,1.0,"March 2, 1994"
Kim Da Ye,김다예,1.0,"September 24, 1990"
Jo Ki Sung,조기성,0.0,"May 31, 1991"
Song Seung Hyun,송승현,0.0,"August 21, 1992"
Ko Chan Bin,고찬빈,0.0,"June 2, 2001"
Leo,"레오
",0.0,"November 10, 1990"
Ha Jong Woo,하종우,0.0,"October 23, 2000"
Karam,"가람
",0.0,"June 28, 1991"
