eng_name,drama_num,kor_name,gender,birth,drama_cnt_naver,debut,play_actor,singer,child_actor
Park Jin Young,5,박진영,0.0,1986-12-07,Notfound,,,,
Lee Yoo Young,5,이유영,1.0,1986-12-07,9,,,,
Yeo Jin Goo,9,여진구,0.0,1986-12-07,28,,,,
Son Woo Hyun,2,손우현,0.0,1986-12-07,11,,,,
Kim Kang Min,4,김강민,0.0,1986-12-07,Notfound,,,,
Kim Jae Hwa,1,김재화,1.0,1986-12-07,24,,,,
Yeom Jung Ah,2,염정아,1.0,1986-12-07,31,,,,
Jeon So Min,6,전소민,1.0,1986-12-07,24,,,,
Lee Moo Saeng,1,이무생,0.0,1986-12-07,14,,,,
So Ji Sub,3,소지섭,0.0,1986-12-07,25,,,,
Shin Sung Rok,8,신성록,0.0,1986-12-07,24,,,,
Seo Hyun Jin,8,서현진,1.0,1986-12-07,21,,,,
Hwang In Youp,3,황인엽,0.0,1986-12-07,7,,,,
Seo Yea Ji,5,서예지,1.0,1986-12-07,13,,,,
Park Byung Eun,6,박병은,0.0,1986-12-07,21,,,,
Yoon Kye Sang,5,윤계상,0.0,1986-12-07,17,,,,
Kim Ji Suk,7,김지석,0.0,1986-12-07,37,,,,
Lee Hyun Jin,1,이현진,0.0,1986-12-07,14,,,,
Lee Hwi Hyang,1,이휘향,1.0,1986-12-07,51,,,,
Na Young Hee,1,나영희,1.0,1986-12-07,49,,,,
Lee Jin Wook,8,이진욱,0.0,1986-12-07,21,,,,
Han Hyun Jun,1,한현준,0.0,1986-12-07,Notfound,,,,
Kim Tae Hwan,1,김태환,0.0,1986-12-07,Notfound,,,,
Yoon Kyun Sang,8,윤균상,0.0,1986-12-07,16,,,,
Sung Hoon,10,방인규,0.0,1986-12-07,24,2011.0,,0.0,0.0
Shin Dong Wook,2,신동욱,0.0,1986-12-07,Notfound,,,,
Choi Sung Eun,2,최성은,1.0,1986-12-07,3,,,,
Yoon Doo Joon,4,윤두준,0.0,1986-12-07,30,,,,
Kwak Do Won,1,곽도원,0.0,1986-12-07,4,,,,
Han Go Eun,2,한고은,1.0,1986-12-07,40,,,,
Park Won Sook,3,박원숙,1.0,1986-12-07,68,,,,
Jung Dong Won,1,정동원,0.0,1986-12-07,12,,,,
Lee Joon,7,이준,0.0,1986-12-07,Notfound,,,,
Kang Han Na,6,강한나,1.0,1986-12-07,19,,,,
Kim Ji Young,4,김지영,1.0,1986-12-07,Notfound,,,,
Lee Kwang Soo,3,이광수,0.0,1986-12-07,25,,,,
Jin Hee Kyung,3,진희경,1.0,1986-12-07,17,,,,
Jung Joon Ho,4,정준호,0.0,1986-12-07,35,,,,
Park Hae Jin,6,박해진,0.0,1986-12-07,26,,,,
Yoon Jong Hoon,3,윤종훈,0.0,1986-12-07,28,,,,
Kim Yoon Hye,2,김윤혜,1.0,1986-12-07,13,,,,
Lee Jung Shin,5,이정신,0.0,1986-12-07,16,,,,
Park Ji Hyun,3,박지현,1.0,1986-12-07,Notfound,,,,
Kim Moo Joon,2,김무준,0.0,1986-12-07,Notfound,,,,
Lee Byung Hun,2,이병헌,0.0,1986-12-07,28,,,,
Shin Min Ah,6,신민아,1.0,1986-12-07,13,,,,
Cha Seung Won,4,차승원,0.0,1986-12-07,21,,,,
Lee Min Ki,5,이민기,0.0,1986-12-07,14,,,,
Kim Ji Won,7,김지원,1.0,1986-12-07,14,,,,
Lee Kyung Young,3,이경영,0.0,1986-12-07,35,,,,
Jung Sang Hoon,7,정상훈,0.0,1986-12-07,37,,,,
Lee Joon Gi,6,이준기,0.0,1986-12-07,17,,,,
Choo Ja Hyun,3,추자현,1.0,1986-12-07,29,,,,
Lee Yo Won,6,이요원,1.0,1986-12-07,18,,,,
Kim Gyu Ri,1,김규리,1.0,1986-12-07,32,,,,
Jang Hye Jin,2,장혜진,1.0,1986-12-07,12,,,,
Joo Min Kyung,1,주민경,1.0,1986-12-07,8,,,,
Shin Dong Mi,1,신동미,1.0,1986-12-07,25,,,,
Oh Min Suk,5,오민석,0.0,1986-12-07,24,,,,
Yoon Shi Yoon,8,윤시윤,0.0,1986-12-07,24,,,,
Bae Da Bin,1,배다빈,1.0,1986-12-07,8,,,,
Seo Bum June,1,서범준,0.0,1986-12-07,Notfound,,,,
Choi Ye Bin,1,최예빈,1.0,1986-12-07,7,,,,
Rowoon,4,로운,0.0,1986-12-07,Notfound,,,,
Lee Soo Hyuk,7,이수혁,0.0,1986-12-07,21,,,,
Yun Ji On,2,윤지온,0.0,1986-12-07,10,,,,
Jo Hyuk Joon,1,조혁준,0.0,1986-12-07,Notfound,,,,
Kang Eun Bin,1,강은빈,0.0,1986-12-07,3,,,,
Kim Sung Gyu,4,김성규,0.0,1986-12-07,Notfound,,,,
Jeon Yu Bin,1,전유빈,0.0,1986-12-07,Notfound,,,,
Yoo Young Mo,1,유영모,0.0,1986-12-07,Notfound,,,,
Lee Jung Min,3,이정민,0.0,1986-12-07,Notfound,,,,
Min In Gi,1,민인기,0.0,1986-12-07,Notfound,,,,
Ha Do Gwon,1,김용구,0.0,1986-12-07,Notfound,,,,
Lee Won Keun,6,이원근,0.0,1986-12-07,17,,,,
Kim Sung Ryung,4,김성령,1.0,1986-12-07,43,,,,
Lee Hye Young,3,이혜영,1.0,1986-12-07,Notfound,,,,
Kim Ha Neul,4,김하늘,1.0,1986-12-07,16,,,,
Kim Jae Wook,4,김재욱,0.0,1986-12-07,16,,,,
Krystal Jung,5,크리스,1.0,1986-12-07,Notfound,,,,
Jo Bo Ah,9,조보아,1.0,1986-12-07,22,2012.0,,0.0,0.0
Oh Yeon Soo,1,오연수,1.0,1986-12-07,31,,,,
Kim Young Min,4,김영민,0.0,1986-12-07,9,,,,
Park Joo Mi,3,박주미,1.0,1986-12-07,20,,,,
Kang Shin Hyo,1,강신효,0.0,1986-12-07,11,,,,
Lee Ga Ryeong,4,이가령,1.0,1986-12-07,7,,,,
Jeon Soo Kyung,3,전수경,1.0,1986-12-07,Notfound,,,,
Ji Young San,1,지영산,0.0,1986-12-07,6,,,,
Ok Jin Uk,1,옥진욱,0.0,1986-12-07,5,,,,
Kang Hui,1,강희,0.0,1986-12-07,Notfound,,,,
Lee Ji Hoon,9,이지훈,0.0,1986-12-07,Notfound,,,,
Han Chae Young,2,한채영,1.0,1986-12-07,29,,,,
Ji Yi Soo,1,지이수,1.0,1986-12-07,9,,,,
Koo Ja Sung,3,구자성,0.0,1986-12-07,Notfound,,,,
Im Sung Kyun,1,임성균,0.0,1986-12-07,Notfound,,,,
Shin Yong Seok,1,신용석,0.0,1986-12-07,Notfound,,,,
Go Ah Sung,6,고아성,1.0,1986-12-07,13,,,,
Park Yong Woo,3,박용우,0.0,1986-12-07,Notfound,,,,
Cha Hun,1,차훈,0.0,1986-12-07,1,2015.0,0.0,1.0,
Yoon Chae Kyung,2,윤채경,1.0,1986-12-07,14,,,,
Joo Jong Hyuk,1,주종혁,0.0,1986-12-07,Notfound,,,,
Park So Eun,1,박소은,1.0,1986-12-07,Notfound,,,,
Park Jung Yeon,1,박정연,1.0,1986-12-07,3,,,,
Kim Gab Soo,3,김갑수,0.0,1986-12-07,77,,,,
Park Hae Joon,4,박상우,0.0,1986-12-07,Notfound,,,,
Kim Ji Hyun,1,김지현,1.0,1986-12-07,7,,,,
Son Ye Jin,3,손예진,1.0,1986-12-07,11,,,,
Jeon Mi Do,3,전미도,1.0,1986-12-07,4,,,,
Lee Si Young,6,이시영,1.0,1986-12-07,39,,,,
Seo Kang Joon,8,서강준,0.0,1986-12-07,16,,,,
Kim Ah Joong,3,김아중,1.0,1986-12-07,11,,,,
Choi Hyun Wook,2,최현욱,0.0,1986-12-07,12,,,,
Nam Joo Hyuk,7,남주혁,0.0,1986-12-07,15,,,,
Lee Joo Myung,1,이주명,1.0,1986-12-07,8,,,,
Song Kang,6,송강,0.0,1986-12-07,Notfound,,,,
Yura,4,유라,1.0,1986-12-07,Notfound,,,,
Park Jung Chul,1,박정철,0.0,1986-12-07,33,,,,
Wang Bit Na,3,왕빛나,1.0,1986-12-07,32,,,,
Jung Ae Ri,1,정애리,1.0,1986-12-07,84,,,,
Go In Beom,1,고인범,0.0,1986-12-07,44,,,,
Ji Seung Hyun,4,지승현,0.0,1986-12-07,22,,,,
Ok Go Woon,1,옥고운,1.0,1986-12-07,13,,,,
Seo Eun Ah,2,서은아,1.0,1986-12-07,9,,,,
Cho Yi Hyun,2,조이현,1.0,1986-12-07,9,,,,
Kang Daniel,1,강다니,0.0,1986-12-07,Notfound,,,,
Yoo Jun,2,유준,0.0,1986-12-07,Notfound,,,,
Hyuk,1,혁,0.0,1986-12-07,Notfound,,,,
Kim So Jin,1,김소진,1.0,1986-12-07,3,,,,
Rain,4,비,0.0,1986-12-07,Notfound,,,,
Uee,8,유이,1.0,1986-12-07,Notfound,,,,
Song Ji Eun,3,송지은,1.0,1986-12-07,14,,,,
Sung Ji Ru,1,성지루,0.0,1986-12-07,34,,,,
Bae Doo Na,6,배두나,1.0,1986-12-07,29,,,,
Gong Yoo,2,공유,0.0,1986-12-07,Notfound,,,,
Jun,1,박준희,0.0,1986-12-07,3,,,,
Yoo Hyun Woo,1,유현우,0.0,1986-12-07,Notfound,,,,
Yoo Seung Ho,7,유승호,0.0,1986-12-07,27,2000.0,,0.0,1.0
Byeon Woo Seok,3,변우석,0.0,1986-12-07,15,,,,
Joy,3,조이,1.0,1986-12-07,Notfound,,,,
Kim Kyung Nam,4,김경남,0.0,1986-12-07,12,,,,
Kang Ye Won,2,강예원,1.0,1986-12-07,9,,,,
Kwon Na Ra,6,권나라,1.0,1986-12-07,14,,,,
Kim Ji Soo,8,김지수,0.0,1986-12-07,Notfound,,,,
Yoon Se Ah,6,윤세아,1.0,1986-12-07,33,,,,
Kim Hye Yoon,3,김혜윤,1.0,1986-12-07,11,,,,
Go Eun Ah,1,고은아,1.0,1986-12-07,19,,,,
Heo Young Ji,2,허영지,1.0,1986-12-07,38,,,,
Lee Mi So,1,이미소,1.0,1986-12-07,8,,,,
Son Soo Ah,1,손수아,1.0,1986-12-07,5,,,,
Ham Eun Jung,4,함은정,1.0,1986-12-07,25,,,,
Kim Jin Yeop,2,김진엽,0.0,1986-12-07,Notfound,,,,
Hwang Shin Hye,2,황정만,1.0,1986-12-07,38,,,,
Yoon Da Hoon,2,윤다훈,0.0,1986-12-07,46,,,,
Shim Hye Jin,1,심혜진,1.0,1986-12-07,Notfound,,,,
Son Sung Yoon,2,손성윤,1.0,1986-12-07,17,,,,
Kim Yeong Cheol,4,김영철,0.0,1986-12-07,Notfound,,,,
Park Jin Hee,6,박진희,1.0,1986-12-07,29,,,,
Park Sun Young,2,박선영,1.0,1986-12-07,Notfound,,,,
Lee Kyung Hoon,1,이경훈,0.0,1986-12-07,Notfound,,,,
Lee Shi Won,2,이시원,1.0,1986-12-07,24,,,,
Ha Seok Jin,8,하석진,0.0,1986-12-07,36,,,,
Im Hyun Joo,1,임현주,1.0,1986-12-07,7,,,,
Park Soo Ae,3,박수애,1.0,1986-12-07,Notfound,,,,
Kim Kang Woo,7,김강우,0.0,1986-12-07,19,,,,
Kim Mi Sook,2,김미숙,1.0,1986-12-07,65,,,,
Lee Yi Dam,1,이이담,1.0,1986-12-07,3,,,,
Kim Da Mi,2,김다미,1.0,1986-12-07,3,,,,
Kim Sung Cheol,4,김성철,0.0,1986-12-07,9,,,,
Song Yoon Ah,5,송윤아,1.0,1986-12-07,27,,,,
Kim Soo Hyun,3,김수현,0.0,1986-12-07,16,,,,
Kim Yo Han,2,김요한,0.0,1986-12-07,15,,,,
Hwang Bo Reum Byeol,1,황보름,1.0,1986-12-07,Notfound,,,,
Seo Hee Seon,1,서희선,1.0,1986-12-07,Notfound,,,,
Shim Dal Gi,1,심달기,1.0,1986-12-07,8,,,,
Choi Bo Min,1,최보민,0.0,1986-12-07,10,,,,
Lee Na Gyung,1,이나경,1.0,1986-12-07,8,,,,
Heo Jung Hee,1,허정희,1.0,1986-12-07,2,,,,
Won Jin Ah,5,원진아,1.0,1986-12-07,6,,,,
Yoo Ah In,3,유아인,0.0,1986-12-07,13,,,,
Yang Ik Jun,2,양익준,0.0,1986-12-07,12,,,,
Park Jung Min,2,박정민,0.0,1986-12-07,10,,,,
Hyung Won,2,형원,0.0,1986-12-07,Notfound,,,,
Joo Se Bin,1,주세빈,1.0,1986-12-07,3,,,,
Park Eun Hye,4,박은혜,1.0,1986-12-07,39,,,,
Tony Ahn,1,토니안,0.0,1986-12-07,48,,,,
Jo Yoo Jung,1,조유정,1.0,1986-12-07,Notfound,,,,
Ryu Eui Hyun,1,류의현,0.0,1986-12-07,11,,,,
Cho Mi Yeon,1,조미연,1.0,1986-12-07,Notfound,,,,
Kim Min Ki,1,김민기,0.0,1986-12-07,Notfound,,,,
Kwon Young Eun,1,권영은,1.0,1986-12-07,1,,,,
Jang Ki Yong,6,장기용,0.0,1986-12-07,19,,,,
Choi Hee Seo,3,최희서,1.0,1986-12-07,7,,,,
Jin Kyung,2,진경,1.0,1986-12-07,Notfound,,,,
Im Soo Jung,3,임수정,1.0,1986-12-07,5,,,,
Ahn Sol Bin,2,안솔빈,1.0,1986-12-07,20,,,,
Han So Eun,3,한소은,1.0,1986-12-07,12,,,,
EXY,1,엑시,1.0,1986-12-07,Notfound,,,,
I.L,1,그린,1.0,1986-12-07,Notfound,,,,
Ok Taec Yeon,5,옥택연,0.0,1986-12-07,28,,,,
Jung In Sun,5,정인선,1.0,1986-12-07,17,,,,
Han Hyo Joo,2,한효주,1.0,1986-12-07,15,,,,
Baek Sung Chul,2,백성철,0.0,1986-12-07,Notfound,,,,
Lee Young Ae,2,이영애,1.0,1986-12-07,21,,,,
Kim Hye Joon,2,김혜준,1.0,1986-12-07,13,,,,
Jo Hyun Chul,1,조현철,0.0,1986-12-07,8,,,,
Cha Joo Young,1,차주영,1.0,1986-12-07,11,,,,
Kim Su Hyun,2,김수현,1.0,1986-12-07,16,,,,
Lee Hee Joon,2,이희준,0.0,1986-12-07,20,,,,
Park Ho San,2,박호산,0.0,1986-12-07,24,1997.0,,0.0,0.0
Ong Seong Wu,3,옹성우,0.0,1986-12-07,10,,,,
Jun Ji Hyun,2,전지현,1.0,1986-12-07,6,,,,
Joo Ji Hoon,6,주지훈,0.0,1986-12-07,14,,,,
Jang Eui Soo,3,장의수,0.0,1986-12-07,10,,,,
Lee Chan Hyung,1,이찬형,0.0,1986-12-07,Notfound,,,,
Han So Hee,4,한소희,1.0,1986-12-07,11,,,,
Go Hyun Jung,4,고현정,1.0,1986-12-07,21,,,,
Bae Yoon Kyung,1,배윤경,1.0,1986-12-07,16,,,,
Choi Byung Chan,2,최병찬,0.0,1986-12-07,7,,,,
Han Da Gam,2,한은정,1.0,1986-12-07,38,,,,
Han Sang Jin,2,한상진,0.0,1986-12-07,Notfound,,,,
Shim Ji Ho,3,심지호,0.0,1986-12-07,19,,,,
Park Yeon Ah,1,박연아,1.0,1986-12-07,4,,,,
Lee So E,1,이소이,1.0,1986-12-07,Notfound,,,,
Ma Hyun Ji,1,마현지,1.0,1986-12-07,7,,,,
Jung Su Bin,1,정수빈,0.0,1986-12-07,8,,,,
Oh Jae Woong,1,오재웅,0.0,1986-12-07,4,,,,
Shin So Hyun,1,신소현,1.0,1986-12-07,Notfound,,,,
Choi Ji Su,2,최지수,1.0,1986-12-07,8,,,,
Ji Hyun Woo,8,지현우,0.0,1986-12-07,28,,,,
Kang Eun Tak,5,강은탁,0.0,1986-12-07,10,,,,
Yoo Jae Myung,5,유재명,0.0,1986-12-07,23,,,,
Han Ye Ri,7,한예리,1.0,1986-12-07,13,,,,
Uhm Tae Goo,2,엄태구,0.0,1986-12-07,9,,,,
Hwang Hee,2,황희,0.0,1986-12-07,Notfound,,,,
Lee Ha Nee,5,이하늬,1.0,1986-12-07,19,,,,
Park Ha Sun,4,박하선,1.0,1986-12-07,31,,,,
Lee Jung Jae,3,이정재,0.0,1986-12-07,14,,,,
Jung Ho Yeon,1,정호연,1.0,1986-12-07,Notfound,,,,
Cho Yeo Jung,6,조여정,1.0,1986-12-07,26,,,,
Kim Jee Soo,4,김지수,1.0,1986-12-07,Notfound,,,,
Park Se Jin,1,박세진,1.0,1986-12-07,Notfound,,,,
Gong Hyun Joo,2,공현주,1.0,1986-12-07,28,,,,
Ryu Joon Yeol,3,류준열,0.0,1986-12-07,7,,,,
Kim Yoo Jung,6,김유정,1.0,1986-12-07,33,,,,
Gong Myung,5,공명,0.0,1986-12-07,Notfound,,,,
Kim Seon Ho,7,김선호,0.0,1986-12-07,10,,,,
Ji Jin Hee,7,지진희,0.0,1986-12-07,28,,,,
Kim Hye Eun,2,김혜은,1.0,1986-12-07,36,,,,
Kim Bo Ra,3,김보라,1.0,1986-12-07,28,,,,
Kim Hong Pa,1,김홍파,0.0,1986-12-07,20,,,,
Kim Sae Ron,4,김새론,1.0,1986-12-07,16,,,,
Yang Hong Seok,1,양홍석,0.0,1986-12-07,Notfound,,,,
Song Ji Hyo,5,송지효,1.0,1986-12-07,18,,,,
Jung Yoo Min,1,정유민,1.0,1986-12-07,23,,,,
Choi Myung Gil,4,최명길,1.0,1986-12-07,43,,,,
So Yi Hyun,3,소이현,1.0,1986-12-07,34,2001.0,,0.0,0.0
Shin Jung Yoon,1,신정윤,0.0,1986-12-07,4,,,,
Nam Gyu Ri,4,남규리,1.0,1986-12-07,17,,,,
Kim Min Jung,5,김민정,1.0,1986-12-07,32,,,,
Go Woo Jin,1,고우진,0.0,1986-12-07,4,,,,
Lee Sae On,1,이세온,0.0,1986-12-07,4,,,,
Choe Chan Yi,1,최찬이,0.0,1986-12-07,7,,,,
Kim Ga Eun,5,김가은,1.0,1986-12-07,29,,,,
Jung Jae Young,5,정재영,0.0,1986-12-07,5,,,,
Yang Hye Ji,2,양혜지,1.0,1986-12-07,Notfound,,,,
Lee Yeol Eum,4,이열음,1.0,1986-12-07,15,,,,
Lee Shi Ah,1,이시아,1.0,1986-12-07,8,,,,
Han Hyun Min,2,한현민,0.0,1986-12-07,12,,,,
Park Se Wan,4,박세완,1.0,1986-12-07,13,2016.0,,0.0,0.0
Choi Young Jae,1,최영재,0.0,1986-12-07,11,,,,
Shin Hyun Seung,1,신현승,0.0,1986-12-07,Notfound,,,,
Minnie,1,김승민,0.0,1986-12-07,Notfound,,,,
Terris Brown,1,강기영,0.0,1986-12-07,24,,,,
Jo Jung Suk,6,조정석,0.0,1986-12-07,11,,,,
Kim Dae Myung,2,김대명,0.0,1986-12-07,7,,,,
Park Ji Hoon,3,박지훈,0.0,1986-12-07,6,,,,
Lee Tae Gon,2,이태곤,0.0,1986-12-07,29,,,,
Jeon Noh Min,2,전노민,0.0,1986-12-07,49,,,,
Eugene,4,유진,1.0,1986-12-07,Notfound,,,,
Go Sung Min,1,고성민,1.0,1986-12-07,3,,,,
Min Chan Ki,2,민찬기,0.0,1986-12-07,9,,,,
Lee Il Hwa,3,이일화,1.0,1986-12-07,66,,,,
Han Seung Yeon,5,한승연,1.0,1986-12-07,29,,,,
Tang Jun Sang,2,탕준상,0.0,1986-12-07,5,,,,
Son Sang Yeon,1,손상연,0.0,1986-12-07,6,,,,
Kim Kang Hoon,1,김강훈,0.0,1986-12-07,13,,,,
Kim Do Wan,1,김도완,0.0,1986-12-07,11,,,,
Hong Seung Hee,1,홍승희,1.0,1986-12-07,10,,,,
Shin Do Hyun,2,신도현,1.0,1986-12-07,11,2017.0,0.0,0.0,
Park Bo Young,4,박보영,1.0,1986-12-07,15,,,,
Jung Ji So,2,정지소,1.0,1986-12-07,18,,,,
Jeong Yun Ho,1,정윤호,0.0,1986-12-07,Notfound,,,,
Go Min Si,3,고민시,1.0,1986-12-07,13,,,,
Lee Joon Hyuk,9,이준혁,0.0,1986-12-07,27,,,,
Yeon Woo Jin,7,연우진,0.0,1986-12-07,17,,,,
Ryu Hye Young,2,류혜영,1.0,1986-12-07,5,2007.0,0.0,0.0,
Kim Myung Min,3,김명민,0.0,1986-12-07,16,,,,
Choi Jung Yoon,1,최정윤,1.0,1986-12-07,Notfound,,,,
Ahn Jae Mo,3,안재모,0.0,1986-12-07,37,,,,
Bae Seul Gi,1,배슬기,1.0,1986-12-07,15,,,,
Park Hyung Joon,1,박형준,0.0,1986-12-07,4,,,,
Sean Richard,2,리차드,0.0,1986-12-07,Notfound,,,,
Liv Hewson,2,,,1986-12-07,Notfound,,,,
Justin Chon,2,전지태,0.0,1986-12-07,Notfound,,,,
Henry Lau,1,김헨리,0.0,1986-12-07,Notfound,,,,
Brett Gray,1,,,1986-12-07,Notfound,,,,
Im Na Young,1,임나영,1.0,1986-12-07,13,,,,
Kwon Hyun Bin,2,권현빈,0.0,1986-12-07,18,,,,
Lee Jung Sic,1,이정식,0.0,1986-12-07,Notfound,,,,
Jang Dong Joo,1,장동주,0.0,1986-12-07,10,,,,
Choi Hye Jin,1,최혜진,1.0,1986-12-07,Notfound,,,,
Dylan,1,박연재,0.0,1986-12-07,Notfound,,,,
Lee Hyun Ho,1,이현호,0.0,1986-12-07,Notfound,,,,
Kim Na Yun,1,김나윤,1.0,1986-12-07,Notfound,,,,
Ki Do Hoon,2,기도훈,0.0,1986-12-07,11,,,,
Park In Hwan,1,박인환,0.0,1986-12-07,73,,,,
Kim Kwang Gyu,2,김광규,0.0,1986-12-07,57,,,,
Lee Bo Hee,2,이보희,1.0,1986-12-07,47,,,,
Hong Eun Hee,1,홍은희,1.0,1986-12-07,27,,,,
Yoon Joo Sang,1,윤주상,0.0,1986-12-07,67,,,,
Jeon Hye Bin,6,전혜빈,1.0,1986-12-07,38,,,,
Kim So Hyun,8,김소현,1.0,1986-12-07,Notfound,,,,
Won Tae Min,1,원,0.0,1986-12-07,6,,,,
Song Jae Rim,7,송재림,0.0,1986-12-07,20,,,,
Cha Min Ji,1,차민지,1.0,1986-12-07,17,,,,
Hyun Woo,4,"현우
",0.0,1986-12-07,Notfound,,,,
Lee Joo Young,2,이주영,1.0,1986-12-07,Notfound,,,,
Moon Jung Hee,3,문정희,1.0,1986-12-07,24,,,,
Eum Moon Suk,1,음문석,0.0,1986-12-07,10,,,,
Lee Re,2,"이레
",1.0,1986-12-07,Notfound,,,,
Choi Kang Hee,6,최강희,1.0,1986-12-07,34,,,,
Park Shin Hye,3,박신혜,1.0,1986-12-07,28,2003.0,,0.0,1.0
Lee So Yeon,4,이소연,1.0,1986-12-07,24,,,,
Choi Yeo Jin,5,최여진,1.0,1986-12-07,47,,,,
Kyung Sung Hwan,1,경성환,0.0,1986-12-07,3,,,,
Lee Sang Bo,1,이상보,0.0,1986-12-07,10,,,,
Choi Yoo Hwa,3,최유화,1.0,1986-12-07,13,,,,
Kim Young Ah,1,김영아,1.0,1986-12-07,2,,,,
Shim Eun Woo,1,심은우,1.0,1986-12-07,9,,,,
Ryu Hwa Young,6,류화영,1.0,1986-12-07,12,,,,
Ahn Jung Hun,1,안정훈,0.0,1986-12-07,51,,,,
Lee Joo Bin,1,이주빈,1.0,1986-12-07,15,,,,
Lee Kyu Han,3,이규한,0.0,1986-12-07,45,,,,
Hur Hyun Jun,1,허현준,0.0,1986-12-07,Notfound,,,,
So Ju Yeon,4,소주연,1.0,1986-12-07,11,,,,
Yeo Hoe Hyun,3,여회현,0.0,1986-12-07,14,,,,
Han Se Jin,2,이세진,0.0,1986-12-07,10,,,,
Ko Jae Hyun,1,고재현,0.0,1986-12-07,Notfound,,,,
Steve Noh,1,스티브,0.0,1986-12-07,Notfound,,,,
Lee Yi Kyung,7,이이경,0.0,1986-12-07,48,,,,
Shin Se Kyung,6,신세경,1.0,1986-12-07,16,,,,
Park You Na,1,박유나,1.0,1986-12-07,12,,,,
Lee Sang,1,이상,0.0,1986-12-07,Notfound,,,,
Kang In Soo,1,강인수,0.0,1986-12-07,5,,,,
Kim Noh Jin,1,김노진,1.0,1986-12-07,8,,,,
Han Sung Yun,1,한성연,1.0,1986-12-07,6,,,,
Lee Han Ik,1,이한익,0.0,1986-12-07,8,,,,
Go Jun,3,"고준
",0.0,1986-12-07,Notfound,,,,
Yoon Sun Woo,1,윤선우,0.0,1986-12-07,13,,,,
Cho Byeong Kyu,3,조병규,0.0,1986-12-07,20,,,,
Ahn Suk Hwan,1,안석환,0.0,1986-12-07,74,,,,
Kim Sa Rang,2,김사랑,1.0,1986-12-07,11,,,,
Jung Man Shik,2,정만식,0.0,1986-12-07,28,,,,
Jung Da Bin,2,정다빈,1.0,1986-12-07,Notfound,,,,
Noh Jong Hyun,2,노종현,0.0,1986-12-07,Notfound,,,,
Yoon Bo Mi,1,윤보미,1.0,1986-12-07,28,,,,
Gong Min Jung,1,김민정,1.0,1986-12-07,32,,,,
Uhm Ji Won,4,엄지원,1.0,1986-12-07,17,,,,
Choi Ri,3,"최리
",1.0,1986-12-07,Notfound,,,,
Jung Woong In,6,정웅인,0.0,1986-12-07,43,,,,
Kwon Sang Woo,3,권상우,0.0,1986-12-07,21,,,,
Bae Sung Woo,2,배성우,0.0,1986-12-07,5,,,,
Jung Woo Sung,1,정우성,0.0,1986-12-07,7,,,,
Kim Joo Hyun,3,김주현,1.0,1986-12-07,Notfound,,,,
Lee Jin Sol,1,이진솔,1.0,1986-12-07,9,,,,
Kim Joon Kyung,1,김준경,0.0,1986-12-07,6,,,,
Lee Seo Bin,1,이서빈,1.0,1986-12-07,Notfound,,,,
Jung Jay,1,정재호,0.0,1986-12-07,Notfound,,,,
Eric Mun,3,"에릭
",0.0,1986-12-07,Notfound,,,,
Bae Suzy,4,배수지,1.0,1986-12-07,14,,,,
Tae Won Seok,2,태원석,0.0,1986-12-07,9,,,,
Go Ah Ra,5,고아라,1.0,1986-12-07,12,,,,
Kim Jung Eun,3,김정은,1.0,1986-12-07,Notfound,,,,
Kim Dong Jun,4,김동준,0.0,1986-12-07,27,,,,
Choi Chan Ho,1,최찬호,0.0,1986-12-07,4,,,,
Baek Soo Min,1,백수민,1.0,1986-12-07,2,,,,
Jung Yu Mi,2,정유미,1.0,1986-12-07,12,,,,
Yoon Sang Hyun,5,윤상현,0.0,1986-12-07,Notfound,,,,
Jeong Bo Seok,1,정보석,0.0,1986-12-07,65,,,,
Jeon In Hwa,2,전인화,1.0,1986-12-07,27,,,,
Cheon Seung Ho,1,천승호,0.0,1986-12-07,4,,,,
Yeon Je Hyung,1,연제형,0.0,1986-12-07,12,,,,
Oh Dong Min,1,오동민,0.0,1986-12-07,17,,,,
Shin Se Hwi,1,신세휘,1.0,1986-12-07,5,,,,
Park Seung Ji,1,박승지,0.0,1986-12-07,1,,,,
Lee Shi Kang,3,이시강,0.0,1986-12-07,9,,,,
Uhm Hyun Kyung,6,엄현경,1.0,1986-12-07,29,,,,
Park Bo Gum,5,박보검,0.0,1986-12-07,16,,,,
Park So Dam,4,박소담,1.0,1986-12-07,8,,,,
Kwon Hwa Woon,1,권화운,0.0,1986-12-07,12,,,,
Yeon Jung Hoon,5,연정훈,0.0,1986-12-07,27,,,,
Im Ju Eun,3,임주은,1.0,1986-12-07,11,,,,
Go Na Hee,1,고나희,1.0,1986-12-07,8,,,,
Lee Ruby,1,이루비,1.0,1986-12-07,Notfound,,,,
Kim Young Hoon,2,김영훈,0.0,1986-12-07,3,,,,
Song Geon Hee,1,송건희,0.0,1986-12-07,9,,,,
Lee Da In,1,이다인,1.0,1986-12-07,9,,,,
Seola,1,김현정,1.0,1986-12-07,Notfound,,,,
Song Chae Yun,1,송채윤,1.0,1986-12-07,6,,,,
An So Jin,1,한가림,1.0,1986-12-07,14,,,,
Jung Young Ki,1,정영기,0.0,1986-12-07,15,,,,
Joo Bo Bi,1,주보비,1.0,1986-12-07,4,,,,
Hwang Seung Eon,4,황승언,1.0,1986-12-07,26,,,,
