eng_name,drama_num,kor_name,gender,birth,drama_cnt_naver,debut,play_actor,singer,child_actor
Lee Do Hyun,7,이도현,0.0,1986-12-07,12,,,,
Ahn Eun Jin,3,안은진,1.0,1986-12-07,14,,,,
Yoo In Soo,1,유인수,0.0,1986-12-07,13,,,,
Kim Sun Ah,7,김선아,1.0,1986-12-07,21,,,,
Oh Yoon Ah,6,오윤아,1.0,1986-12-07,41,,,,
Shin Eun Jung,1,신은정,1.0,1986-12-07,35,,,,
Jang Hyuk,10,장혁,0.0,1986-12-07,42,,,,
Jang Na Ra,8,장나라,1.0,1986-12-07,25,,,,
Chae Jung An,7,채정안,1.0,1986-12-07,33,,,,
Kim Nam Hee,2,김남희,0.0,1986-12-07,12,,,,
Uhm Jung Hwa,3,엄정화,1.0,1986-12-07,19,,,,
Kim Byung Chul,4,김병철,0.0,1986-12-07,14,,,,
Myung Se Bin,3,명세빈,1.0,1986-12-07,22,,,,
Min Woo Hyuk,2,민우혁,0.0,1986-12-07,11,,,,
Kim Hee Ae,4,김희애,1.0,1986-12-07,35,,,,
Kim Jae Won,5,김재원,0.0,1986-12-07,24,2001.0,,,
Jo Han Chul,1,조한철,0.0,1986-12-07,36,,,,
Joo Won,4,주원,0.0,1986-12-07,14,2006.0,0.0,0.0,0.0
Lee Joo Woo,2,이주우,1.0,1986-12-07,11,,,,
Choi Hwa Jung,1,최화정,1.0,1986-12-07,38,,,,
Lee Deok Hwa,3,이덕화,0.0,1986-12-07,79,,,,
Yoo In Na,6,유인나,1.0,1986-12-07,33,,,,
Yoon Hyun Min,10,윤현민,0.0,1986-12-07,19,,,,
Joo Sang Wook,8,주상욱,0.0,1986-12-07,35,1998.0,,0.0,0.0
Hwang Chan Sung,2,황찬성,0.0,1986-12-07,24,,,,
Kim Seo Hyung,4,김서형,1.0,1986-12-07,21,,,,
Seo Young Hee,1,서영희,1.0,1986-12-07,21,,,,
Lee Shi Woo,1,이시우,0.0,1986-12-07,6,2007.0,0.0,0.0,0.0
Bona,4,보나,1.0,1986-12-07,7,,,1.0,
Cha Hak Yeon,4,차학연,0.0,1986-12-07,23,,,1.0,
Shin Hyun Soo,4,신현수,0.0,1986-12-07,14,,,,
