kdrama_id,title,year,director,screenwriter,country,type,tot_eps,duration,start_dt,end_dt,aired_on,org_net,content_rt,synopsis,rank,pop,korean_title
24ecf5e1ed6b4d60a6e2e179fc845666,King the Land,2023,"['Im Hyun Wook', 'Choi Sun Min']",['Choi Rom'],South Korea,Drama,16,4800.0,2023-06-17,2023-08-06,"Saturday, Sunday",jTBC Netflix TVING,15+ - Teens 15 or older,"Heir Goo Won cannot stand fake smiles. When he meets Cheon Sa Rang, her sincere smile is at the ready. The pair seek to create happy moments where they can smile brightly at each other. King of the Land is a VVIP business lounge, a paradise catering to wealthy hoteliers. It is owned by The King Group, with hotels, distribution companies, and an airline in its portfolio. Now Goo Won has been thrown into an inheritance tug-of-war. With his brilliant mind,innate grace, and captivating charm, he has everything but lacks common sense when dating.Cheon Sa Rang makes the world brighter with just her smile. She is thrilled to land a job at the King Hotel, where she had some of her happiest times as a child. She must now put those sweet memories away and mature quickly to face the frequent workplace prejudices and misunderstandings that come her way. ",605,237,킹더랜드
46b4058342e44e53aa218ac1dd40c77c,See You in My 19th Life,2023,['Lee Na Jung'],"['Han Ah Reum', 'Choi Young Rim']",South Korea,Drama,12,4200.0,2023-06-17,2023-07-23,"Saturday, Sunday",Netflix TVING tvN,15+ - Teens 15 or older,"Ban Ji Eum has an extraordinary ability: she can remember the memories of all her past lives. Repeating her reincarnation for nearly a thousand years, Ban Ji Eum has been living all her lives diligently. After her previous life is cut short by a tragic accident, she sets out to reconnect with the people of her past life in her current one, and decides to find a man named Moon Seo Ha, whom she met in her 18th life. Will memories of her 18th life sabotage romance in her 19th? Or will love endure across different lives?On the other side, there is also Yoon Cho Won, a landscape architect and the younger sister of Yoon Joo Won, whose life collapsed after her older sister's death. She is courageous and kind, even after facing the death of her beloved sister, but she struggles to maintain her brightness. When Yoon Cho Won meets Ban Ji Eum by chance and sees her older sister in her, she wonders about Ban Ji Eum’s identity.Then there's Ha Do Yoon, Moon Seo Ha’s secretary and best friend since childhood. Although they come from completely different backgrounds, Ha Do Yoon feels some kind of affinity for him. (Source: Soompi; Webtoon.com)~~ Adapted from the webtoon ""See You in My 19th Life"" (이번 생도 잘 부탁해) by Lee Hye (이혜).",467,297,이번 생도 잘 부탁해
6dca9e88afdb445bbe008289540f56f0,Bloodhounds,2023,,,South Korea,Drama,8,3600.0,"Jun  9, 2023","Jun  9, 2023",Friday,Netflix,18+ Restricted (violence & profanity),"When reserved rookie boxer Kim Geon Woo squares off against loquacious southpaw Hong Woo Jin, Geon Woo narrowly prevails — but the two former marines become fast friends. As their friendship grows, so do the financial woes that plague Geon Woo’s mother. To save her quaint café from going under, she signs off on a hefty loan. But when it turns out she’s been targeted by Smile Capital — a ruthless loan shark business — Geon Woo and Woo Jin do everything in their power to make it right. Fate intervenes as the pair end up working for a generous money lender whose foster daughter is dead set on taking down the loan sharks.(Source: Netflix)~~ Adapted from the webtoon ""Bloodhounds"" (사냥개들) by Jeong Chan (정찬).",261,444,사냥개들
9213b6aa40cc454d8155d68322c73fbd,Love Tractor,2023,['Yang Kyung Hee'],,South Korea,Drama,8,1500.0,2023-06-07,2023-06-21,Wednesday,,13+ - Teens 13 or older,"Seon Yul, a temporarily relocated city man, meets Ye Chan, a rural man who adores the countryside. Seon Yul comes to the countryside to experience life knowing nothing about farming and Ye Chan appears before him. As Seon Yul learns to adapt to rural living and engage in farming activities, he becomes increasingly attracted to Ye Chan's sincerity and enthusiasm. Together, the two embark on a chaotic and romantic countryside journey of healing and love. (Source: iQIYI)~~ Adapted from the webtoon ""Love Tractor"" (트랙터는 사랑을 싣고) written by Hmm Yong Yong (흠념뇸) and illustrated by AngryMonster (앵몬).",2342,1099,트랙터는 사랑을 싣고
e16e394bd66847fa87501e8bbf4062e8,Romance by Romance,2023,,,South Korea,Drama,10,900.0,2023-06-07,2023-06-28,Wednesday,,15+ - Teens 15 or older,"Having never been involved in a long-term relationship, Ha Yoon was hoping that her current boyfriend, Nam Tae Ryun, would be the one to change all of that. But when he announces he wants to break up with her before they even reach their 100th day, Ha Yoon refuses to accept her fate without a fight.Determined to make this relationship last, Ha Yoon suggests a month-long “break-up grace period” in which she and Tae Ryun are allowed to spend as much time apart as they want, without calling things off completely. Agreeing to her terms, Tae Ryun and Ha Yoon draw up a contract in which the terms of their grace period are clearly stated. While Tae Ryuun goes about his life, Ha Yoon somehow finds herself signing an entirely different contract with her best friend and college colleague, Kang Jin.Though certain his month away from Ha Yoon would be easy, Tae Ryun begins to have second doubts when he realizes she’s been spending time with Kang Jin. With unexpected feelings of jealousy stirring, will Tae Ryun be willing to let Ha Yoon go without a fight?(Source: Viki)",6232,7118,로맨스 바이 로맨스
b5b3c87821834977b4a94c0b74fa9be1,The Villain of Romance,2023,,,South Korea,Drama,10,2700.0,2023-06-05,2023-06-27,"Monday, Tuesday",MBC Dramanet,15+ - Teens 15 or older,"A coming-of-age story and realistic romance about young college “villains” who are still learning about love. Kang Hee Jae desperately wants to appear cool to others, but secretly feels smaller than plankton on the inside. While struggling to forgive his girlfriend, Yoo Jin, for her “savage” behavior, he winds up gradually transforming into an obsessive monster.Meanwhile, Ban Yoo Jin is a highly intelligent older student at Kang Hee Jae’s college. Because Yoo Jin can never seem to keep a relationship going for longer than 100 days, she starts to worry that she’ll wind up living a lonely life alone. So when younger student Hee Jae boldly shoots his shot, she decides to put him through some intense “training” as they date.",56335,7766,로맨스빌런
e40375435aa7440e8303aaaea4cc8648,Sound Candy,2023,['Kang Hee Ju'],,South Korea,Drama,10,900.0,2023-06-03,2023-07-01,Saturday,TVING,G - All Ages,"A group of young individuals with different backgrounds come together at a pension located in Jeju. They rediscover their love and friendship through the mystery of""SoundCandy.""(Source: MyDramaList) ",54892,8575,소리사탕
ede6d42db893475c8b8383e6d680ab0f,Bitch X Rich,2023,,,South Korea,Drama,10,2100.0,2023-05-31,2023-06-28,Wednesday,Netflix,15+ - Teens 15 or older,Baek Je Na is a third-generation conglomerate and a gold spoon of the highest class at Cheongdam International High School. Kim Hye In grew up in poverty and is offered a chance to study at the Cheongdam International High School in exchange for her silence on a murder she witnessed. Cheongdam International High School is a homicide mystery that follows Je Na’s rivalry with Kim Hye In as they are pitted against each other in mental warfare. (Sources: pinkvilla.com; nme.com),5659,1731,청담국제고등학교
a4b48d65e0704101bc0f77b36bb6b5ee,Battle for Happiness,2023,['Kim Yoon Cheol'],['Joo Young Ha'],South Korea,Drama,16,4200.0,2023-05-31,2023-07-20,"Wednesday, Thursday",Amazon Prime ENA TVING,Not Yet Rated,"A suspense drama depicting mothers engaged in a fierce social media battle to destroy each others' happiness for their own, to free themselves from oppression, hurt, and secrets, and regain their true selves.(Source: HanCinema)~~ Adapted from the novel ""Haengbokbaeteul"" (행복배틀) by Joo Young Ha (주영하). ",2952,3767,행복배틀
147ea55381da4886aead4a4329c6eabc,Delightfully Deceitful,2023,['Lee Soo Hyun'],['Han Woo Joo'],South Korea,Drama,16,4200.0,2023-05-29,2023-07-18,"Monday, Tuesday",tvN,15+ - Teens 15 or older,"Clever con artist Lee Ro Um suffers from a distinct lack of empathy. One day, she is falsely implicated on charges of killing her estranged parents. She is exonerated after 10 years with the help of a passionate, highly empathetic lawyer, Han Moo Young.The two come to form an unlikely alliance to fight against wrongdoers and exact revenge on them.(Source: The Korea Times) ",3486,1302,이로운 사기
