,year,month,rank,song,singer,info
60,2021,01,61,내 맘을 볼 수 있나요,헤이즈 (Heize),호텔 델루나 OST Part.5 (tvN 토일드라마)
61,2021,01,62,See You Again (Feat. Charlie Puth),Wiz Khalifa,분노의 질주: 더 세븐 (Fast & Furious 7) OST
62,2021,01,63,조금 더 외로워지겠지,김나영,검색어를 입력하세요 WWW OST Part 7 (tvN 수목드라마)
63,2021,01,64,잊지 말아요,백지영,잊지 말아요 - 아이리스 (Iris) OST Part.1
64,2021,01,65,노을,다비치,사랑의 불시착 OST Part 3 (tvN 토일 드라마)
65,2021,01,66,잊었니,소향,오! 삼광빌라! OST Part.9 (KBS2 주말드라마)
66,2021,01,67,Sorry,2F (신용재 & 김원주),Sorry (런 온 OST Part.6) (JTBC 수목드라마)
67,2021,01,68,Another Day,먼데이 키즈 (Monday Kiz) & 펀치 (Punch),호텔 델루나 OST Part.1 (tvN 토일드라마)
68,2021,01,69,만약에,태연 (TAEYEON),쾌도 홍길동 OST (KBS 수목드라마)
69,2021,01,70,꿈처럼,벤,또 오해영 OST Part 2 (tvN 월화드라마)
70,2021,01,71,"묘해, 너와",어쿠스틱 콜라보,연애의 발견 OST Part 4 (KBS 월화드라마)
71,2021,01,72,시간을 거슬러,린 (LYn),해를 품은 달 OST Part.2 시간을 거슬러 (MBC 수목드라마)
72,2021,01,73,You Are My Everything,거미 (Gummy),태양의 후예 OST Part.4 (KBS2 수목드라마)
73,2021,01,74,우연히 봄,로꼬 & 유주 (YUJU),냄새를 보는 소녀 OST Part.2 (SBS 수목드라마)
74,2021,01,75,Someday,아이유 (IU),드림하이 OST Part.1 (KBS 월화드라마)
75,2021,01,76,너는 나의 시작이자 마지막이다,임한별 & 김재환,더 킹 : 영원의 군주 OST Part 13 (SBS 금토드라마)
76,2021,01,77,바라보기,엠씨더맥스 (M.C the MAX),미녀의 탄생 OST PART4 (SBS 주말드라마)
77,2021,01,78,그런 사람 또 없습니다,이승철,슬픔보다 더 슬픈이야기 OST 2nd
78,2021,01,79,첫 눈,정준일,도깨비 OST Part 8 (tvN 금토드라마)
79,2021,01,80,위로,권진아,멜로가 체질 OST Part 1 (JTBC 금토 드라마)
80,2021,01,81,너에게,성시경,응답하라 1994 OST Part 2 (tvN 드라마)
81,2021,01,82,결혼,문문 (MoonMoon),이번 생은 처음이라 OST Part 4 (tvN 월화드라마)
82,2021,01,83,My Light,백지영,My Light (런 온 OST Part.4) (JTBC 수목드라마)
83,2021,01,84,"기다린 만큼, 더",검정치마,또 오해영 OST Part 7 (tvN 월화드라마)
84,2021,01,85,사랑의 시작은 고백에서부터,김범수,프로듀사 OST (KBS 금토드라마)
85,2021,01,86,나의 시간은,백현 (BAEKHYUN),청춘기록 OST - Part.3 (tvN 월화드라마)
86,2021,01,87,밤이 깊었네 (Drama Ver.),미도와 파라솔,슬기로운 의사생활 OST Part 10 (tvN 목요드라마)
87,2021,01,88,Flower,윤미래,사랑의 불시착 OST Part 2 (tvN 토일 드라마)
88,2021,01,89,I Miss You,소유 (SOYOU),도깨비 OST Part 7 (tvN 금토드라마)
89,2021,01,90,A Whole New World,Mena Massoud & Naomi Scott,Aladdin (Original Motion Picture Soundtrack)
