,frequency_findinginfo,search_volume_findinginfo,Anxiety,change_plan,effect_change_plan,selfdefence_item_search,selfdefence_item_type,selfdefence_item_purchase,selfdefence_item_purchase_period,selfdefence_item_purchase_present,selfdefence_item_purchase_present_period,selfdefence_item_friend,selfdefence_item_security,selfdefence_item_permission,selfdefence_item_self_defence,sex,age,residence,job,have_children,household
231,2,2,2,0,,0,(검색해보지 않았다),0,,0,,0,1,2,2,0,41,서울시 양천구,2,0,0
232,3,4,3,0,,0,(검색해보지 않았다),0,,0,,0,4,2,2,1,24,경기도 시흥시 장곡동,4,0,1
233,3,4,5,0,,0,호신용 스프레이,0,,0,,0,1,0,2,1,42,경상남도 고성군,2,1,1
234,2,2,4,0,3.0,0,(검색해보지 않았다),0,,0,,0,3,2,2,0,40,인천시 부평구,2,0,0
235,3,4,3,0,,0,(검색해보지 않았다),0,,0,,0,4,0,2,0,22,대전 대덕구,1,0,1
236,2,3,4,1,3.0,1,"가스총, 경보기",1,21.0,1,7.0,2,4,2,2,0,29,경북 포항시,2,1,0
237,3,4,4,1,4.0,1,"호신용 스프레이, 방검복",0,,0,,0,5,1,1,0,40,부산광역시 부산진구 엄광로,2,1,1
238,3,4,5,1,4.0,1,"호신용 스프레이, 가스총",0,,0,,1,4,0,0,1,39,경기도 광명시,2,0,1
239,3,4,3,0,2.0,1,"호신용 스프레이, 삼단봉",0,,0,,0,4,2,2,0,46,서울 마포구,2,1,1
240,1,3,4,0,3.0,0,(검색해보지 않았다),0,,0,,0,3,0,0,0,30,인천 미추홀구,2,0,1
241,2,2,4,0,,0,(검색해보지 않았다),0,,0,,0,3,0,0,1,23,인천시 연수구,1,0,1
242,3,1,4,0,2.0,0,"호신용 스프레이, 방범용 CCTV",1,30.0,0,,0,4,1,2,1,38,경기도 성남시 분당구,2,1,1
243,3,5,5,1,5.0,1,삼단봉,0,,0,,3,3,0,0,1,27,창원시 의창구,2,0,1
244,3,5,5,1,5.0,1,"호신용 스프레이, 삼단봉",0,,0,,0,1,0,2,1,22,경기도 용인시 수지구,1,0,1
245,3,4,3,0,3.0,1,호신용 스프레이,0,,0,,0,2,0,1,0,24,서울시 중구,1,0,0
246,3,4,3,0,1.0,0,(검색해보지 않았다),1,30.0,0,,0,2,2,2,0,23,김해시 어방동,1,0,1
247,2,2,3,0,,0,(검색해보지 않았다),0,,0,,1,2,0,0,1,23,충청북도 충주시,1,0,0
248,1,4,4,0,,0,(검색해보지 않았다),0,,0,,0,4,1,1,1,58,부산시 사상구,3,1,1
249,2,3,4,0,,1,"호신용 스프레이, 삼단봉, 가스총",0,,0,,0,3,1,2,0,45,대구광역시 동구,2,1,1
250,2,3,4,0,,1,호신용 스프레이,0,,0,,0,3,0,2,1,22,전북 군산시,1,0,1
251,3,4,4,1,4.0,0,"호신용 스프레이, 삼단봉",0,,0,,0,3,0,2,0,26,서울시 마포구,1,0,1
252,2,2,4,0,,1,호신용 스프레이,0,,0,,0,2,2,2,1,50,부산 사하구,2,1,1
253,1,1,4,0,,0,(검색해보지 않았다),0,,0,,0,4,2,2,1,60,경기도 시흥시,3,1,1
254,3,4,4,1,3.0,1,호신용 스프레이,0,,0,,1,2,0,0,1,22,충남 천안시 동남구,1,0,0
255,3,3,5,1,2.0,1,"호신용 스프레이, 삼단봉",0,,0,,0,3,0,0,1,23,경북 구미시,1,0,1
256,3,5,5,1,5.0,1,"호신용 스프레이, 삼단봉, 가스총",0,,0,,3,3,0,1,1,21,서울시 송파구,1,0,1
257,2,2,3,0,,0,(검색해보지 않았다),0,,0,,0,2,2,2,1,19,서울특별시 서대문구 북아현동,1,0,1
258,1,2,4,0,,0,(검색해보지 않았다),0,,0,,0,3,0,0,1,23,경기도 남양주시,1,0,1
259,3,5,4,0,,0,(검색해보지 않았다),0,,0,,0,1,0,0,0,23,경기도 의정부시 낙양동,1,0,1
260,2,3,3,0,3.0,1,"호신용 스프레이, 가스총",0,,0,,1,2,0,0,1,24,서울시 강남구,1,0,1
261,3,4,4,1,4.0,0,(검색해보지 않았다),0,,0,,0,3,1,1,0,23,인천시 부평구,1,0,1
262,3,3,2,0,,0,(검색해보지 않았다),0,,0,,0,3,2,2,1,21,경기도 광주시 장지동,1,0,1
263,3,4,4,1,3.0,1,(검색해보지 않았다),0,,0,,0,2,1,2,1,26,서울시 성동구,2,0,1
264,3,3,2,1,1.0,0,(검색해보지 않았다),0,,0,,2,3,0,1,1,22,경기도 일산서구,1,0,1
265,3,3,2,1,1.0,0,(검색해보지 않았다),0,,0,,2,2,1,1,1,22,경기도 일산서구,1,0,1
266,3,3,5,1,3.0,0,(검색해보지 않았다),0,,0,,0,2,0,2,1,20,서울특별시 노원구,1,0,1
267,2,3,4,1,4.0,1,호신용 스프레이,0,,0,,0,4,0,0,1,23,인천광역시 미추홀구,1,0,0
268,3,3,4,1,4.0,1,"호신용 스프레이, 방검복",0,,0,,0,3,2,2,1,22,경기도 성남시 분당구,1,0,1
269,1,1,5,0,,0,(검색해보지 않았다),0,,0,,0,2,0,0,0,21,경기도 남양주시 별내동,1,0,1
270,3,3,3,0,,0,(검색해보지 않았다),0,,0,,0,2,0,2,1,20,충남 천안시 동남구,1,0,1
271,2,3,2,0,,0,(검색해보지 않았다),0,,0,,1,4,2,2,1,20,서울특별시 강북구,1,0,1
272,3,4,3,1,3.0,1,호신용 스프레이,0,,0,,1,2,0,0,1,21,성남시 서현동,1,0,1
273,3,3,5,1,4.0,0,(검색해보지 않았다),0,,0,,0,3,0,0,1,22,서울 구로구,1,0,1
274,2,3,4,1,4.0,0,(검색해보지 않았다),0,,0,,0,2,2,2,1,24,인천,1,0,1
275,3,3,4,0,,0,(검색해보지 않았다),0,,0,,0,3,0,0,1,20,경기도 고양시 덕양구,1,0,1
276,1,1,3,0,2.0,0,(검색해보지 않았다),0,,0,,2,4,0,0,1,23,경기도 화성시,1,0,1
277,3,4,4,1,3.0,0,(검색해보지 않았다),0,,0,,1,2,0,0,0,26,대전시 서구,1,0,1
278,2,2,4,0,3.0,0,(검색해보지 않았다),0,,0,,0,4,0,0,1,22,서울시 관악구,1,0,1
279,2,2,4,0,3.0,0,(검색해보지 않았다),0,,0,,0,3,1,1,1,23,서울시 양천구,1,0,1
280,2,2,2,1,1.0,0,(검색해보지 않았다),0,,0,,0,2,0,2,1,21,경기도 성남시 분당구,1,0,1
281,3,4,5,0,,1,"호신용 스프레이, 경보기, 방범용 CCTV",0,,0,,0,3,1,1,1,25,인천 미추홀구,4,0,0
282,2,2,3,0,1.0,1,"호신용 스프레이, 삼단봉, 가스총, 방검복, 방범용 CCTV",0,,0,,0,4,2,2,0,33,경기도 남양주시,2,1,1
283,2,2,4,0,2.0,0,(검색해보지 않았다),0,,0,,0,1,0,0,1,25,경기도 성남시 분당구,2,0,1
284,3,3,4,0,,0,(검색해보지 않았다),1,30.0,0,,1,2,0,0,1,23,서울 관악구,1,0,1
285,1,2,2,0,,0,(검색해보지 않았다),0,,0,,0,3,0,2,1,24,서울시 마포구,1,0,1
286,3,5,4,1,4.0,1,호신용 스프레이,0,,0,,0,4,1,1,0,20,경기도 성남시 수정구,1,0,0
287,3,2,4,0,,0,(검색해보지 않았다),0,,0,,1,4,2,2,1,25,경기도 용인시 수지구,2,0,1
288,3,4,3,1,2.0,1,"호신용 스프레이, 삼단봉, 경보기",0,,0,,0,4,1,1,1,22,경기도 수원시 영통구,1,0,1
289,2,3,4,0,,1,"호신용 스프레이, 삼단봉, 경보기",0,,0,,0,2,0,0,1,25,서울시 노원구,1,0,1
290,1,1,1,0,1.0,0,(검색해보지 않았다),0,,0,,0,2,2,2,0,25,경남 보령 대천해수욕장,1,0,0
291,3,4,4,0,,0,(검색해보지 않았다),0,,0,,0,2,0,2,1,21,경기도 부천시 원미구,1,0,1
292,2,3,5,1,5.0,0,(검색해보지 않았다),0,,0,,0,3,0,0,1,21,전라북도 전주시 덕진구,1,0,1
293,2,4,4,1,3.0,1,호신용 스프레이,0,,0,,3,4,0,0,1,20,경기도 안산시 상록구,1,0,0
294,2,4,4,0,,1,"호신용 스프레이, 삼단봉",0,,0,,0,4,0,0,1,20,경기도 고양시 일산서구,1,0,1
295,3,5,4,1,1.0,0,(검색해보지 않았다),0,,0,,0,1,2,2,0,25,경기도 고양시 향동동,1,0,1
296,2,4,2,0,2.0,0,(검색해보지 않았다),1,30.0,0,,0,2,0,0,1,22,인천시 미추홀구,1,0,1
297,2,3,3,0,,0,(검색해보지 않았다),0,,0,,0,2,0,1,1,20,서초구,1,0,1
298,1,2,4,0,1.0,0,(검색해보지 않았다),0,,0,,0,3,0,2,0,20 (만 18),서울시 구로구,1,0,1
299,2,3,4,1,5.0,0,(검색해보지 않았다),0,,0,,1,2,0,0,1,25,서울 강동구,1,0,1
