Unnamed: 0,drama_name,org_net,director,screenwriter,start_dt,end_dt,aired_on,year,tot_eps,time_per_ep,synopsis,actor_list,kor_title
86,The King of the Desert,,,,"Dec 16, 2022","Dec 16, 2022",Friday,2022,6,260.0,Tells the story of people who believe that money is everything and people who believe that money is not everything.(Source: Korean = Naver || Translation = MyDramaList) ,"['Jang Dong Yoon', 'Jin Goo', 'Yang Dong Geun', 'Jung Yi Seo']",사막의 왕
87,Turned on by You Season 2,,,,2022-12-15,2023-02-02,,2022,7,86.0,,"['Jo Chan Hyun', 'Park Sun Woo']",밝히는 ㄴ 시즌2
88,BReal Bro&Sis,,,,2022-12-15,2023-02-05,Thursday,2022,8,75.0,My brother and I switched souls?! The unreal survival story of real siblings.(Source: Korean = official.breal || Translation = MyDramaList) ,['Song Ye Bin'],B현실 남매
89,Anonymous High School Girl,,,,2022-12-15,2023-01-03,Saturday,2022,5,96.0,"Someone is sending anonymous love messages to Kang Yoon Ah, and she wants to discover which one of her three classmates is behind the texts.(Source: Portuguese = girlslovenews Twitter || Translation = MyDramaList) ",['Kim Soo Min'],익명의 여고생
90,The Director Who Buys Me Dinner,iQiyi,['Yang Kyung Hee'],['Son Yi Seul'],2022-12-15,2023-01-12,Thursday,2022,10,90.0,"Hundreds of years ago, a child was named after god and was cursed. After 4 reincarnations he finds his love in the form of an employee of his company, a man! If they don't date, they die!""We have to date. If we don't, we die.""Dong Baek is one of the newest employees at Min Entertainment. His director, Yu Dam, is absolutely perfect in every way. Yet, Dong Baek thinks his director has lost his mind... What do you mean the director has lived three lives and because of that he wants to date? What's going on?(Source: Boylovetv on Instagram, Goodreads)~~ Adapted from the webtoon ""The Director Who Buys Me Dinner"" (밥만 잘 사주는 이상한 이사님) written by Toesa (퇴사) and illustrated by Yang Eun Ji (양은지).","['Park Young Woon', 'Park Jeong Woo', 'Jang You Sung']",밥만 잘 사주는 이상한 이사님
91,We're Not Trash,,,,2022-12-12,2023-01-04,"Monday, Wednesday",2022,8,90.0,"""We're Not Trash"" is a web drama about a man and a woman who consider themselves trash, experiencing rehabilitation and healing their pain.Shin Jo Hee grew up without being loved by her mother. She is easily excited about trivial things, sometimes aggressive and spontaneous. People around her worry about her because of her bipolar disorder, but Shin Jo Hee does not intend to treat her disorder and thinks that it was caused by her mother.Jin Woo Hyuk  is suffering from depression. He keeps feeling that he is trash. On the day he is diagnosed with depression, he meets Shin Jo Hee at the hospital and faces an unexpected change in his life.(Source: Sports.khan.co.kr, ethleia at MyDramaList)","['Park Jung Yeon', 'Jung Woo Jin']",우린 쓰레기가 아닙니다
92,Alchemy of Souls Season 2: Light and Shadow,Netflix tvN,"['Park Joon Hwa', 'Bae Hyun Jin']","['Hong Jung Eun', 'Hong Mi Ran']",2022-12-10,2023-01-08,"Saturday, Sunday",2022,10,486.0,"Jang Uk returns from death, and three years later, the story of the mages unfolds anew. Jang Uk becomes a hunter of the soul-shifters when a young woman, a prisoner in her own home, seeks his help to reclaim her freedom.(Source: Netflix) ","['Lee Jae Wook', 'Go Youn Jung', 'Hwang Min Hyun', 'Shin Seung Ho', 'Yoo  Joon Sang', 'Oh Na Ra']",환혼 : 빛과 그림자
93,Money Heist: Korea - Joint Economic Area - Part 2,Netflix,['Kim Hong Seon'],"['Ryu Yong Jae', 'Kim Hwan Chae', 'Choi Sung Joon']","Dec  9, 2022","Dec  9, 2022",Friday,2022,6,600.0,"Thieves overtake the mint of a unified Korea. With hostages trapped inside, the police must stop them — as well as the shadowy mastermind behind it all. (Source: Netflix) ~~ Remake of the Spanish TV series ""Money Heist"" (La Casa de Papel) [2017]. ","['Kim Ji Hoon', 'Yoo Ji Tae', 'Park Hae Soo', 'Jeon Jong Seo', 'Lee Won Jong', 'Jang Yoon Ju']",종이의 집: 공동경제구역 파트 2
94,The Forbidden Marriage,MBC,"['Jung Hoon', 'Park Sang Woo']",['Cheon Ji Hye'],2022-12-09,2023-01-21,"Friday, Saturday",2022,12,350.0,"Lee Heon is the king of Joseon. 7 years ago, when he was a crown prince, his beloved wife died. To this day, he has not been able to get over her death. For the past 7 years, the royal family and government members have tried to get King Lee Heon remarried without success. The nation has also implemented a geumhonryung edict, which is a ban on all single women marrying during this time when the king has not married. People are furious over the marriage ban. One day, King Lee Heon hears of a woman named Ye So Rang, who claims the spirit of the king's late wife exists within the royal palace.Meanwhile, Ye So Rang is a swindler and claims to interpret marital harmony signs. She is arrested and jailed where Officer Lee Shin Won works. To get out of her predicament, she pretends to be possessed by a spirit in front of Lee Shin Won. During her ruse, she mentions that the spirit of King Lee Heon's late wife exists within the royal palace. She is then brought in front of the king and he asks her if she can really see his late wife's spirit. To survive, Ye So Rang acts like her body is possessed by the king's late wife. Ye So Rang's lies get bigger and more audacious.(Source: AsianWiki)~~ Adapted from the webtoon ""Geumhonryeong: Joseon Honin Geumjiryeong"" (금혼령-조선혼인금지령) by Chun Ji Hye (천지혜).","['Kim Woo Seok', 'Kim Young Dae', 'Park Ju Hyun']","금혼령, 조선 혼인 금지령"
95,"Work Later, Drink Now Season 2",TVING,['Park Soo Won'],['Wi So Young'],2022-12-09,2023-01-13,Friday,2022,12,190.0,"The three girls, whose philosophy revolves around having a drink after getting off work, are back! The story of An So Hee, a television scriptwriter, Han Ji Yeon, a yoga instructor, and Kang Ji Goo, a YouTuber who does origami, continues into their thirties. However, An So Hee disappears with her two best friends, and Director Kang, who needs his writer back, embarks on a mission to find her. Where will it lead him, and will he ever find her? (Source: Viu)~~ Adapted from the webtoon ""Sooldo Girl"" (술꾼도시처녀들) by Mi Kkang (미깡).","['Lee Sun Bin', 'Han Sun Hwa', 'Jung Eun Ji', 'Choi Si Won']",술꾼도시여자들 시즌2
