Unnamed: 0,drama_name,org_net,director,screenwriter,start_dt,end_dt,aired_on,year,tot_eps,time_per_ep,synopsis,actor_list,kor_title
1121,Mask,SBS,['Boo Sung Chul'],['Choi Ho Chul'],2015-05-27,2015-07-30,"Wednesday, Thursday",2015,20,180.0,"Byun Ji Sook has always had a hard life with her father constantly going into debt and being chased by loan sharks. She desperately wants to know what life is like if she was born into a better family and didn’t have to worry about money all the time.When a series of circumstances brings Ji Sook to Eun Ha, a woman from a wealthy family who strongly resembles Ji Sook, she grabs hold of the chance for a better life and assumes Eun Ha’s identity and begins to live her elite life. She meets Min Woo, a chaebol heir who is mistrusting of the people around him. But when he realizes that Ji Sook is not like the other women he has met, he is drawn to her. How long can Ji Sook keep up the charade and hide her true identity?(Source: Amazon)","['Yoo In Young', 'Park Soo Ae', 'Joo Ji Hoon', 'Yeon Jung Hoon']",가면
1256,Welcome to My Lab,Tooniverse,,,2015-12-22,2016-02-09,Tuesday,2015,8,375.0,"We follow the journey of students in a science club at Saebyeok School. ~~ Adapted from the comic ""Welcome to My Lab"" (내일은 실험왕) written by Gumdori Co (곰돌이Co) and illustrated by Hong Jung Hyeon (홍종현). ","['Lee Soo Min', 'Yoo Jun', 'Jung Sung Young', 'Jung Taek Hyun']",내일은 실험왕
1257,Witch's Castle,SBS,['Jung Hyo'],['Park Ye Kyung'],2015-12-14,2016-06-10,"Monday, Tuesday, Wednesday, Thursday, Friday",2015,122,20.0,"Oh Dan-Byul lost her parents due to her own mistake. She marries Joon-Young, but her husband passes away. Meanwhile, her mother-in-law, Ho-Duk, divorces because of her husband's infidelity and her sister-in-law, Se-Sil, returns to South Korea after divorcing her Italian husband. Now, these three women live together while overcoming their own personal problems and becoming important to each other. ","['Choi Jung Won', 'Seo Ji Suk', 'Yoo Ji In']",마녀의 성
1258,Cheers to Me,O'live,,,2015-12-10,2016-01-07,Thursday,2015,10,150.0,"An ordinary single woman who enjoys cooking and dining alone in the evenings, Ra Yeo Joo is an editor at a publishing house where she’s worked for the past ten years, while Lee Jae Yoon works in marketing at the same company. Their relationship is sometimes friendly, sometimes flirty, and sometimes competitive. They have different approaches to food: while she finds healing in food and drink, his goal in life is to live lean and long, until he discovers new pleasures and changes because of her.","['Yoon Jin Seo', 'Lee Jae Yoon']",나에게 건배
1259,Remember: War of the Son,SBS,['Lee Chang Min'],['Yoon Hyun Ho'],2015-12-09,2016-02-18,"Wednesday, Thursday",2015,20,180.0,"Seo Jin Woo has hyperthymesia, a condition that makes him remember life experiences in vivid detail. His father, wrongfully accused of murder, was tied and put on death row. Determined to prove his father's innocence, Jin Woo uses his ability to save him.(Source: MyDramaList) ","['Park Sung Woong', 'Namkoong Min', 'Park Min Young', 'Jung Hye Sung', 'Yoo Seung Ho']",리멤버 – 아들의 전쟁
1260,The Dearest Lady,MBC,"['Choi Chang Wook', 'Choi Joon Bae']",['Seo Hyun Joo'],2015-12-07,2016-05-20,"Monday, Tuesday, Wednesday, Thursday, Friday",2015,116,18.0,An upbeat family-oriented TV miniseries with a mishmash of different generations and different attitudes towards relationships. The difficulties that arise between mother and daughter mostly due to the men they are having a relationship with becomes the central plot that illustrates the challenges that single moms and divorcees face in today’s society. Their lives and the lives of the people they are connected to are depicted in a way that viewers can relate to through a fuzzy warm feeling called love.(Source: MBC),"['Kang Tae Oh', 'Ha Hee Ra', 'Jo An', 'Kwak Hee Sung', 'Kang Min Kyung', 'Jung Chan']",최고의 연인
1261,Imaginary Cat,MBC every1,['Lee Hyun Joo'],['Kim Sun Young'],2015-11-24,2016-01-12,Tuesday,2015,8,262.0,"Hyun Jong Hyun is a webtoon writer and works part-time at a bookstore. He always dreamed of working as a webtoon writer, but he has difficulties due to his stubborn and self-centered personality. He also has a cat named Boggil. He first met his cat on the street on a rainy day. Since then, they have lived together, and Hyun Jong Hyun only opens his mind to Boggil.~~ Adapted from the webtoon ""Imaginary Cat"" (상상고양이).","['Yoo Seung Ho', 'Han Ye Ri', 'Cho Hye Jung']",상상고양이
1262,"Sweet, Savage Family",MBC,['Kang Dae Sun'],['Son Geun Joo'],2015-11-18,2016-01-14,"Wednesday, Thursday",2015,16,236.0,"At home, Tae Soo is a nurturing dad and devoted husband but, at work, he is a cold-blooded mobster who metes out punishment and engages in bloody turf battles. While he is a dutiful son to his mother and takes care of all of her needs, he is a middle-aged married man, who cannot depend on his own kids to do the same for him in his old age. He is also in an awkward situation in the gang where he takes orders from the former gang boss and kingmaker while his young gang lieutenants are angling for his job. Tae Soo is trying to do what is best for his family while he has to evade the authorities who keep tabs on his gang activities, waiting to pounce on him once they obtain hard evidence of his criminal activities. “What is so evil about being a mobster? It’s all about making a living!” That’s how Tae Soo sees it.(Source: MBC)","['Jung Woong In', 'Yoo  Sun', 'Jung Joon Ho', 'Kim Eung Soo', 'Moon Jung Hee']",달콤살벌 패밀리
1263,Oh My Venus,KBS2,"['Kim Hyoung Seok', 'Lee Na Jung']",['Kim Eun Ji'],2015-11-16,2016-01-05,"Monday, Tuesday",2015,16,225.0,"Kim Yeong Ho is a personal trainer for Hollywood stars. He reluctantly comes back to Korea to face his family after a scandal with an actress. Even though he comes from a wealthy family background, he suffered a devastating injury during his childhood days. Now, he overcomes his problems with living a healthy lifestyle. Kang Joo Eun is a 33-year-old lawyer who was once the beauty of her school, nicknamed ""Daegu's Venus"". Over the years she has become overweight and unhealthy. She gets dumped by her boyfriend of 15 years.Kang Joo Eun meets Kim Yeong Ho, who agrees to be her personal trainer to help her get healthier. As they work on her physical transformation, they both discover they have feelings for each other. As they grow closer, they heal each other's emotional wounds and fall in love.","['Yoo In Young', 'So Ji Sub', 'Shin Min Ah', 'Jung Gyu Woon']",오 마이 비너스
1264,High-end Crush,MBN Naver TV Cast Sohu TV,['Ji Young Soo'],['Shin Yoo Dam'],2015-11-14,2016-01-17,"Saturday, Sunday",2015,20,45.0,"Choi Se Hoon is the head of G.Choi, a chart-topping K-pop entertainment agency with a top-billing roster of star acts. Many think he is blessed with the Midas touch, and he too believes he can make a star out of just about anyone he chooses to. He is rich and successful – but also aloof, arrogant, and conceited.One day, he meets a very unusual individual, Lee Yi Ryung, an innocent and naïve young woman from a humble and conservative countryside family. In almost every way, she is his polar opposite: shy, not brash, and humble, not self-important. He decides to recruit her to become G.Choi’s latest star, but is shocked to discover that she expresses no interest in becoming a K-pop singer.Things get even more complicated when he starts to fall for her – and discovers that winning this young woman’s heart is much harder than manufacturing K-pop success!(Source: Viki)","['Jung Il Woo', 'Jin Se Yeon']",고품격 짝사랑
