Unnamed: 0,drama_name,org_net,director,screenwriter,start_dt,end_dt,aired_on,year,tot_eps,time_per_ep,synopsis,actor_list,kor_title
1265,Beautiful You,MBC,"['Park Sang Hoon', 'Go Dong Sun']",['Park Jung Ran'],2015-11-09,2016-05-06,"Monday, Tuesday, Wednesday, Thursday, Friday",2015,122,17.0,"When her parents disapprove of her boyfriend, Seo Gyung decides to elope with him to America and only when she becomes a mother herself does she understand her parents and how important family is. During her darkest hours, her family was there for her. When she is caught in a love triangle with two suitors, she finds her true self through love, courage and emotional healing.(Source: MBC) ","['Lee Shi Won', 'Kang Eun Tak', 'Lee So Yeon', 'Seo Do Young']",最美是你
1266,Riders: Catch Tomorrow,E-Channel,['Choi Do Hoon'],['Park Sang Hee'],2015-11-08,2016-01-24,Sunday,2015,12,300.0,"Cha Ki Joon is a well-educated young man who begins his career in an enviable entry-level job at a large corporation. But he is not happy with his life. On a whim, Ki Joon decides to quit his job and start up a new business with his two childhood friends, Yoon So Dam and Go Tae Ra. So Dam has been working lots of different part-time jobs while trying to make it as an illustrator. Tae Ra is a former cycling athlete who decides to go in with Ki Joon on his new business idea – because it’s a company that will make rickshaws, of all things. As the three friends deal with the real world, changing friendships and budding relationships, can their crazy business possibly succeed?","['Lee Chung Ah', 'Kim Dong Wook', 'Yoon Jong Hoon', 'Choi Yeo Jin', 'Choi Min']",라이더스: 내일을 잡아라
1267,Reply 1988,tvN,"['Shin Won Ho', 'Yoo Hak Chan']",['Lee Woo Jung'],2015-11-06,2016-01-16,"Friday, Saturday",2015,20,285.0,"Five childhood friends, who all live in the same Ssangmundong neighborhood of Seoul, lean on each other to survive their challenging teen years and set a path for their futures. Sung Deok Sun struggles for attention as the middle child in her poor family while also carrying the burden of her 999th ranking in school. Kim Jung Hwan only has a one-track mind for soccer, even after his family becomes rich overnight. Sung Sun Woo is the perfect student, student council president and a caring and dependable son in his family. Ryu Dong Ryong is a geek who knows more about girls and life than the rest of his friends, but his poor academic score prevents him from being able to go to college. Choi Taek is a genius baduk player who dropped out of school to go professional. As the group of friends gets into and out of mischief around the neighborhood, what experiences from these memorable times together will they carry with them into their future lives? (Source: Viki)","['Lee Dong Hwi', 'Lee Hye Ri', 'Go Kyung Pyo', 'Ryu Joon Yeol', 'Park Bo Gum']",응답하라 1988
1268,Victory For Tomorrow,MBC,['Jung Ji In'],['Hong Seung Hee'],2015-11-02,2016-04-29,"Monday, Tuesday, Wednesday, Thursday, Friday",2015,130,16.0,"The most fragrant of all perfumes in the world is said to be made from roses that grow in a deep, treacherous mountain in the Balkans and plucked during the coldest nights. Beautiful pearls are painfully taken from clams by cracking them open. Han Seung Ri finds her life spiraling out of control after her dad's death that ruins the family finances. The man she loved betrays her and she has a miscarriage not too long afterward. After hitting rock bottom, she climbs out of her misery to take over the family business that her dad ran and marches forward to reach her dreams. Hopeful that tomorrow will be better than yesterday, she endures the pain and anguish to reach an outcome that is sweeter due to the ordeal she had to overcome to attain it.(Source: MBC)","['Jeon So Min', 'Choi Phillip', 'Song Won Geun', 'Yoo Ho Rin']",내일도 승리
1269,"Sweet Home, Sweet Honey",KBS1,['Kim Myung Wook'],['Kang Sung Jin'],2015-11-02,2016-04-29,"Monday, Tuesday, Wednesday, Thursday, Friday",2015,129,16.0,"Even though Oh Bom is in a difficult financial situation, she is still bright and positive. She works part-time work at a factory. Kang Ma Roo is a kind and simple young man. He is naive about the world. An Tae Ho is the section chief of a company. He is an ambitious man. He approaches Choi Ah Ran for his own gain and marries her. Choi Ah Ran is the heiress of a large company. She is smart, but has a painful past. Her younger sister went missing and her parents abandoned her.","['Song Ji Eun', 'Kim Min Soo', 'Lee  Jae Joon', 'Seo Yi Ahn']",우리집 꿀단지
1270,Heroes,QTV,,,2015-11-02,2016-02-22,Monday,2015,16,244.0,"A falling meteor gives a group of 20-something friends a newfound mission in life.Choi Hee Yeol, Park Hae Mil, and their friends love to spend their time playing video games. After a falling meteor gives them strange new powers, the friends establish a gaming company called Meteor Soft to create new video games using their powers.But when the major gaming company Next Media becomes threatened by Meteor Soft’s success, can Hee Yeol and his friends survive the tough corporate challenges they are about to face?(Source: Viki)","['Lee Elijah', 'Choi Jong Hoon', 'Park Doo Shik']",说英雄谁是英雄
1271,Bubblegum,tvN,['Kim Byung Soo'],['Lee Mi Na'],2015-10-26,2015-12-15,"Monday, Tuesday",2015,16,225.0,"Park Ri Hwan and Kim Haeng Ah are childhood friends who couldn’t be more different. As the director of an eastern medicine hospital, Ri Hwan selflessly cares for his patients and his mother, while Haeng Ah charges through her life as a feisty and headstrong radio producer. Yet despite their differences and after all these years, Ri Hwan and Haeng Ah complement each other perfectly. ","['Lee Jong Hyuk', 'Lee Dong Wook', 'Jung Ryeo Won', 'Park Hee Bon']",풍선껌
1272,Awl,jTBC,['Kim Seok Yoon'],"['Kim Soo Jin', 'Lee Nam Gyu']",2015-10-24,2015-11-29,"Saturday, Sunday",2015,12,325.0,"Soo In has a timid personality and is easily frightened, but he stands up for justice and does not cower in fear when he feels that he has been wronged. Early on in his military career, he becomes disillusioned with the falling standards and poor morale in an institution that supposedly practices strict discipline. This leads him to leave the military. In his new civilian life, he gets hired by a foreign retail distribution company and becomes the head manager of a large retail store. The retailer he works for slashes labor costs by firing part-time workers before they can qualify for benefits and higher wages. He cannot tolerate the company's poor and immoral treatment, so he decides to fight against the management. However, as he faces pressure from the company, he is forced to seek help from a labor counseling center and meets Go Shin, the center's manager. His only way to win the case is to utilize the Labor Act like a sword in his mission to fight against corruption and illegal corporate behavior. He boldly 'pierces into' the society that suppresses individual people with tyranny, just like an awl that bores a hole into the stiff wall... Soo In's lone fight to reclaim the labor rights workers have forgotten is about to begin!(Source:JTBC)","['Ahn Nae Sang', 'Ji Hyun Woo']",송곳
1273,The Village: Achiara's Secret,SBS,['Lee Yong Seok'],['Do Hyun Jung'],2015-10-07,2015-12-03,"Wednesday, Thursday",2015,16,244.0,"Achiara is a small, quiet, peaceful village with hardly any crime. But on her first day of school there, English teacher Han So Yoon discovers a buried corpse. As the townspeople speculate on the identity of the dead person and the reason she was killed, So Yoon and Police Officer Woo Jae attempt to find the truth. As they get closer, the ugliness of the village is revealed. ","['Jang Hee Jin', 'Yook Sung Jae', 'Shin Eun Kyung', 'Moon Geun Young', 'Ohn Joo Wan']",마을 - 아치아라의 비밀
1274,Because It's the First Time,On Style,['Lee Jeong Hyo'],['Jung Hyun Jung'],2015-10-07,2015-11-25,,2015,8,412.0,"With a freewheeling personality, Yoon Tae Oh is a 20-year-old freshman in college. He has been friends with Han Song Yi since they were little.  Now, he begins to have feelings for the girl who has a bright and positive personality. Meanwhile, Tae O has a friend, Seo Ji An, who is well-behaved and exemplary. A love triangle brews between these three people. ","['Jung Eugene', 'Kim Min Jae', 'Choi Min Ho', 'Lee Yi Kyung', 'Park So Dam', 'Cho Hye Jung']",처음이라서
1275,Sassy Go Go,KBS2,"['Lee Eun Jin', 'Kim Jung Hyun']","['Jung Chan Mi', 'Yoon Soo Jung']",2015-10-05,2015-11-10,"Monday, Tuesday",2015,12,300.0,"Set in a highly competitive school that emphasizes achievement and scores above all else, the drama will lay bare the absurdities and hypocrisies of the education system while also featuring the growth stories of the students who struggle to move forward, one step at a time. ","['Cha Hak Yeon', 'Chae Soo Bin', 'Jung Eun Ji', 'Lee Won Keun', 'Kim Ji Soo']",발칙하게 고고
1276,Glamorous Temptation,MBC,"['Kim Sang Hyub', 'Kim Hee Won']","['Son Young Mok', 'Cha Yi Young']",2015-10-05,2016-03-22,"Monday, Tuesday",2015,50,76.0,"A young woman learns from her whistleblower Dad that honesty is not the best policy. Soon after her marriage, she is saddled with crushing debt that she has no ability to repay. But through a series of events, she finds herself on track in joining the top wealthiest 1% and makes a deliberate effort to uncover their misdeeds and hypocrisy. Her efforts reveal limitless greed and lust for power fueled by the pursuit of money and profits. Two friends struggle to reach the same goal, which inadvertently forces them to cross paths as rivals that result in anguish, tense relations, betrayal and a love triangle. And through this turmoil, there is a happy ending of forgiveness and rediscovery of family. (Source: MBC)","['Jung Jin Young', 'Cha Ye Ryun', 'Joo Sang Wook', 'Choi Kang Hee']",화려한 유혹
1277,Alchemist,MBC every1,,,2015-10-05,2015-10-22,,2015,12,75.0,"The drama will center on the dating life of a refreshing female college student in her 20's, who falls in love at first sight for an upperclassman, leading her to join a forbidden society. ","['Han Ki Woong', 'Heo Young Ji']",연금술사
1278,Six Flying Dragons,SBS,['Shin Kyung Soo'],"['Kim Young Hyun', 'Park Sang Yeon']",2015-10-05,2016-03-22,"Monday, Tuesday",2015,50,72.0,"A fictional, historical drama about the ambition, rise and fall of real and fictional characters based around Yi Bang Won. Yi Bang Won was the third king of the Joseon Dynasty in Korea and the father of King Se Jong the Great. He helped his father, King Tae Jo, establish the Joseon Dynasty. ","['Chun Ho Jin', 'Yoon Kyun Sang', 'Yoo Ah In', 'Kim Myung Min', 'Shin Se Kyung', 'Byun Yo Han']",육룡이 나르샤
1279,The Merchant: Gaekju 2015,KBS2,['Kim Dong Hwi'],"['Jung Sung Hee', 'Lee Han Ho']",2015-09-23,2016-02-18,"Wednesday, Thursday",2015,41,88.0,"In late Joseon, a poor man named Cheon Bong Sam inherits a decrepit inn and honestly works his way up to becoming a powerful merchant. As tradesmen clash against the bureaucratic powers that attempt to oppress them by rigging bad deals, Bong Sam never loses sight of his humble beginnings as a peddler even after achieving great success and eventually shapes the way that industry and business are done in his time. ","['Jang Hyuk', 'Lee Deok Hwa', 'Han Chae Ah', 'Park Eun Hye', 'Kim Min Jung', 'Yoo Oh Sung']",장사의 신-객주 2015
1280,D-Day,jTBC,['Jang Yong Woo'],['Hwang Eun Kyung'],2015-09-18,2015-11-21,"Friday, Saturday",2015,20,195.0,"An unprecedented 6.5-magnitude earthquake has struck Seoul, destroying roads and buildings, and preventing ambulances from reaching victims. Woefully unprepared for such a massive disaster, Korea can only watch the desperate situation and listen to the pleading cries for help. Hae Sung, a competent surgeon, can’t resist doing everything he can to help the injured people during the emergency. This upsets his hospital and they put him on a blacklist, as his benevolent help is against the hospital's profit. Ddol Mi, beautiful and ambitious, chased money and fame as a doctor, but now wants to become a truly compassionate doctor after meeting Hae Sung. Woo Jin has been building a successful career as Korea’s rising doctor, but secretly, he truly cares about being a genuine doctor, saving the lives of the sick. These three characters team up to rush into emergencies, holding onto hope in the most desperate situations, and taking all sorts of risks for the sake of saving lives.(Source: JTBC)","['Kim Young Kwang', 'Lee Kyung Young', 'Jung So Min', 'Ha Seok Jin']",디데이
1281,She Was Pretty,MBC,['Jeong Dae Yun'],['Jo Sung Hee'],2015-09-16,2015-11-11,"Wednesday, Thursday",2015,16,225.0,"As a young girl, Hye Jin was impossibly cute and lived a comfortable life with her wealthy parents. Since entering her teens, both her looks and fortunes have drastically changed. She currently lives rent-free with a friend and is a part-time clerk at a convenience store. Out-of-the-blue, Sung Joon, her childhood friend, contacts her and suggests they meet. He is unaware that Hye Jin recently spotted him and knows how fit and handsome he had become. Not wanting to disappoint him, she insists her pretty best friend go in her place. What could go wrong?After landing a full-time job, Hye Jin is surprised to find out that Sung Joon is her boss. To add insult to injury, he is treating her with nothing but disdain and contempt. This is not the friend she fondly remembers, so she goes about hiding her true identity from him.  (Source: MBC)","['Choi Si Won', 'Hwang Jung Eum', 'Park Seo Joon', 'Go Joon Hee']",그녀는 예뻤다
1282,Love Cells Season 2,Naver TV Cast Viki,,,2015-09-14,2015-10-01,"Monday, Tuesday",2015,12,50.0,"In this bitter-sweet love story, Ne Bi acts as a navigator of the love relationship. She leads the way for the main characters to piece their long-lost memories of love together. ","['Jo Bo Ah', 'Kim Yoo Jung', 'Im Seul Ong']",연애세포 2
1283,Mobilize! K-Cop,,,,2015-09-07,2015-11-24,"Monday, Tuesday",2015,26,30.0,"By chance, two incumbent policemen rescued Princess Stella from an alien planet. The princess turned them from ordinary policemen into super-powered police officers. The alien villains, who followed the princess to Earth, found that they could use the negative energy of humans (i.e., greed, laziness, timidity, and fear) to awaken the black phoenix and conquer the entire universe. After the transformation, Police Kai needs to assist Princess Stella to find the ""fifth element"" on the earth, so as to defeat the dark forces, protect the earth, and maintain justice.(Source: Namu Wiki, Movie Douban)","['Jung Geun', 'Choi Jong Yoon']",출동! 케이캅
1284,Mom,MBC,"['Jang Joon Ho', 'Oh Kyung Hoon']",['Kim Jung Soo'],2015-09-05,2016-02-21,"Saturday, Sunday",2015,50,90.0,"For a long time, a mother has sacrificed herself to raise her four children but these children are only interested in her fortune and their possible inheritance. Stung by their betrayal and unacceptable behavior, she is determined to live the rest of her life to the fullest and be selfish for a change. This TV series will revolve around family values with themes of generational conflict and reconciliation. The revenge of a mother on her grownup children begins now!(Source: MBC)","['Jang Seo Hee', 'Lee Tae Sung', 'Cha Hwa Yun', 'Kim Suk Hoon', 'Choi Ye Seul']",엄마
1285,My Daughter Geum Sa Wol,MBC,"['Baek Ho Min', 'Lee Jae Jin']",['Kim Soon Ok'],2015-09-05,2016-02-28,"Saturday, Sunday",2015,51,88.0,"Geum Sa Wol is a genius architect who grew up in an orphanage. Despite the hardships she faced while growing up, she always stayed positive and never despaired no matter how tough life became. Her biological mother Deuk-ye had her through an extramarital affair with an ex-boyfriend and plots revenge on her husband and his mother. After a considerable amount of time has passed, Sa Wol meets her mother but both of them do not recognize each other. Instead, they get to know each other as mother-in-law and daughter-in-law.(Source: MBC)","['Yoon Hyun Min', 'Do Sang Woo', 'Son Chang Min', 'Park Se Young', 'Jeon In Hwa', 'Baek Jin Hee']","내 딸, 금사월"
1286,All is Well,KBS2,['Kim Won Yong'],['Lee Seon Hee'],2015-08-31,2016-01-29,"Monday, Tuesday, Wednesday, Thursday, Friday",2015,102,21.0,A drama about people who face hate and conflict while learning to forgive and understand the meaning of love and happiness. ,"['Choi Yoon Young', 'Kwak Shi Yang', 'Uhm Hyun Kyung', 'Han Bo Reum', 'Song  Jae Hee', 'Heo Jung Min']",都挺好
1287,TV Novel: The Stars are Shining,KBS2,['Kwon Gye Hong'],,2015-08-31,2016-02-26,"Monday, Tuesday, Wednesday, Thursday, Friday",2015,128,19.0,Jo Bong Hee's family falls into difficulties after the death of her father. She overcomes obstacles to become the best fashion designer in South Korea. ,"['Go Won Hee', 'Cha Do Jin', 'Lee Ha Yul', 'Seo Yoon Ah']",TV소설 별이 되어 빛나리
1288,Twenty Again,tvN,['Kim Hyung Shik'],['So Hyun Kyung'],2015-08-28,2015-10-17,"Friday, Saturday",2015,16,232.0,"38-year-old Ha No Ra dreamt of becoming a dancer in her high school years but met her husband, Kim Woo Chul, when she was 19. After having a child, she focused on taking care of her family and had to give up her dreams. In hopes of becoming a proud wife and mother to her college professor husband and her son Min Soo, she strives to enter college and ends up getting accepted into the same college as her son.(Source: AsianWiki)","['Lee Sang Yoon', 'Choi Won Young', 'Choi Ji Woo']",두번째 스무살
1289,Cheo Yong Season 2,OCN,['Kang Cheol Woo'],['Hong Seung Hyun'],2015-08-23,2015-10-18,Sunday,2015,10,450.0,Detective Cheo Yong uses his abilities to interact with spirits to solve cases. ,"['Jeon Hyo Sung', 'Oh Ji Ho', 'Ha Yun Joo']",처용2
1290,I Have a Lover,SBS,['Choi Moon Seok'],['Bae Yoo Mi'],2015-08-22,2016-02-28,"Saturday, Sunday",2015,50,78.0,"A coincidental switch of cars leads to a switch of fates for twins who were separated 30 yers ago. Hae Kang, the elder sister is a successful lawyer married to Jin Eon the successor of a top pharmaceutical company. Their love marriage is shattered by the death of their daughter and her husband's affair with Seol Ri, which ultimately leads to their divorce. But before the divorce  is officially declared, Yong Ki switches cars with Hae Kang to avoid being followed by people who are after her life. Yong Ki is the younger sister who is a pregnant widow trying to uncover the secrets behind her husband's sudden death. After the fateful encounter, Hae Kang ends up in a horrible accident (in the switched car) which makes her lose her memories. Baek Seok saves her and allows her to live with his family till she recovers but mistakes her to be his first love Yong Ki.Hae Kang as Yong Ki is no longer a cold and reserved person, instead she's warm, cheerful and caring. As Seol Ri and Jin Eon are in talks for marriage, he accidentally runs into Yong Ki. He is shocked at first but gradually begins suspecting that she's his wife and falls for her newly discovered bright self. She's shaken by his arrival too.(Source: Another Stranger at MyDramaList)","['Ji Jin Hee', 'Kim Hyun Joo', 'Lee Kyu Han', 'Park Han Byul']",애인 있어요
1291,To Be Continued,MBC every1 Naver TV Cast,,,2015-08-18,2015-09-03,Thursday,2015,12,75.0,This web drama is a teen fantasy story that tells the story of a male idol group (ASTRO)  that suddenly slips back in time just one day ahead of their debut stage. ,"['Kim Sae Ron', 'Cha Eun Woo', 'Rocky', 'MJ', 'Moon Bin', 'Jin Jin']",투 비 컨티뉴드
1292,The Eccentric Daughter-in-Law,KBS2,"['Lee Duk Gun', 'Park Man Young']",['Yoo Nam Kyung'],2015-08-17,2015-09-22,"Monday, Tuesday",2015,12,375.0,"Oh In Yeong is a former idol group singer. She belonged to a popular 4 member girl group, but, now, she isn't very popular anymore. In order to boost her flagging popularity, In Yeong agrees to appear in a television reality show that pairs up fake mothers- and daughters-in-law. While filming for the TV show, she meets her scripted mother-in-law Yang Chun Ja, a matriarch of a long-standing traditional clan. They end up hating each other on the show, but as fate would have it, the two later end up becoming mother and daughter-in-law for real.","['Ryu Soo Young', 'Go Doo Shim', 'Kim Da Som']",별난 며느리
1293,All About My Mom,KBS2,['Lee Geon Joon'],['Yoon Kyung Ah'],2015-08-15,2016-02-14,"Saturday, Sunday",2015,54,89.0,"Jin Ae has a love and hate relationship with her mother San Ok. She dreams of becoming independent from her family and especially from her mother. Jin Ae falls in love with Hoon Jae and marries him. Meanwhile, what awaits for Jin Ae is her new mother-in-law. While experiencing difficult times with her mother-in-law, Jin Ae begins to understand her mother San Ok for the first time. ","['Go Doo Shim', 'Lee Sang Woo', 'Oh Min Suk', 'Choi  Tae Joon', 'Kim Mi Sook', 'Eugene']",부탁해요 엄마
1294,Ugly Miss Young Ae Season 14,tvN,['Han Sang Jae'],"['Baek Sun Woo', 'Myung Soo Hyun', 'Choi Bo Rim', 'Han Sul Hee']",2015-08-10,2015-10-20,"Monday, Tuesday",2015,22,164.0,"This drama revolves around Young Ae and the prejudiced portrayal of chubby women and the stress they get from their superiors, colleagues and work. ","['Lee Seung Joon', 'Park Sun Ho', 'Kim Hyun Sook']",막돼먹은 영애씨 시즌14
1295,Yong Pal,SBS,['Oh Jin Suk'],['Jang Hyuk Rin'],2015-08-05,2015-10-01,"Wednesday, Thursday",2015,18,217.0,"Kim Tae Hyeon is a talented surgeon. Desperate for money to pay his sister's medical bills, he adopts the code name Yong Pal and offers his medical skills to those in need of medical attention but who cannot do so publicly, dealing with gangsters and corrupt plutocrats. It is while making such a house call that Tae Hyeon rescues ""sleeping beauty"" Han Yeo Jin, a chaebol heiress, from a medically induced coma, leading to unintended consequences.","['Kim Tae Hee', 'Chae Jung An', 'Joo Won', 'Jo Hyun Jae']",용팔이
1296,Mrs. Cop,SBS,"['Ahn Gil Ho', 'Yoo In Shik']",['Hwang Joo Ha'],2015-08-03,2015-09-29,"Monday, Tuesday",2015,18,217.0,"Choi Yeong Jin is a female detective squad chief. She also raises her daughter Ha Eun. At work, she deals with brutal crimes with her senior detective Park Jong Ho and squad members Min Do Yeong, Han Jin Woo, Jo Jae Deok and Lee Se Won. ","['Kim Hee Ae', 'Lee Da Hee', 'Son Ho Jun', 'Kim Min Jong']",미세스 캅
1297,Webtoon Hero - Tundra Show,MBC every1,,,2015-07-27,2015-10-19,Monday,2015,12,125.0,The drama follows the story of a father and three brothers. ~~ Based on the webtoon of the same name by popular writer Kian84. ,"['Park Jeong Hwa', 'Park Eun Seok', 'Kim Jung Seok', 'Jung Il Hoon', 'Go Hyun', 'Lee Chul Woo']",웹툰히어로-툰드라쇼
1298,Last,jTBC,"['Jo Nam Gook', 'Kim Sang Ho']",['Han Ji Hoon'],2015-07-24,2015-09-12,"Friday, Saturday",2015,16,236.0,"Fund manager Jang Tae Ho is a cocky but skilled stock manipulator, who is used to getting things done his way. But when he fails at a scheme worth 35 billion won, his life is in danger as a notorious moneylender, Mr. Jung, hunts him down for losing his 7 billion won. Broke and in hiding, Tae Ho joins the hungry and homeless on the streets around Seoul Station, dreaming of returning to his normal life, until he unexpectedly discovers its 10 billion Korean Won underground economy. The pecking order among the homeless at Seoul Station is stacked like a pyramid. All the money collected from begging to selling personal identities and organs flows up the 7 levels of ringleaders to “Number One”, Kwak Heung Sam, who reigns at the top. Tae-ho decides to take down each level’s ringleader and conquer the hierarchy at Seoul Station with wit, fists, and guts. Will he be able to recover the 10 billion won and return to normal life again?(Source: JTBC)","['Yoon Kye Sang', 'Lee Bum Soo']",라스트
1299,Assembly,KBS2,['Hwang In Hyuk'],['Jung Hyun Min'],2015-07-15,2015-09-17,"Wednesday, Thursday",2015,20,186.0,"Jin Sang Pil is a welder at a shipyard, but when he and his fellow workers get laid off, he fights for their reinstatement as the spokesman for the labor union. To his surprise, this leads to him becoming a newly elected member of the National Assembly. But because of his idealism and naiveté, Sang Pil finds it difficult to navigate the corridors of politics. Enter whip-smart aide Choi In Gyeong, who shows him the ropes and together they work to accomplish real change within the government.","['Jang Hyun Sung', 'Song Yoon Ah', 'Jung Jae Young', 'Park Young Gyu']",어셈블리
