Unnamed: 0,drama_name,org_net,director,screenwriter,start_dt,end_dt,aired_on,year,tot_eps,time_per_ep,synopsis,actor_list,kor_title
269,Her Bucket List,Daum Kakao TV,,,"Dec 31, 2021","Dec 31, 2021",Friday,2021,10,120.0,"Very much in love with her boyfriend, Cha Ra Ri is devastated when she learns that he has unexpectedly passed away. Unsure how she can ever find the strength to go on living without him, Ra Ri decides to follow her boyfriend in death. But the discovery of a bucket list, which she had written with him ages ago, inspires her to hold off on death for just a while longer. Determined to fulfill every item of their shared bucket list, Ra Ri sets out to do just that. As she begins checking items off their list, she crosses paths with Kang Hansol, an idol trainee with great potential but terrible stage fright. Brought together by fate, Ra Ri and Hansol begin completing items on her bucket list together, their time together giving them the strength to hold on, just a while longer.Working their way through the list, Ra Ri and Hansol begin to realize there are unexpected feelings growing between them. Drawing ever closer, the pain they’ve both endured slowly begins to fade. Will their newfound feelings give them the strength they need to continue living despite everything?(Source: Viki)~~ Adapted from a webtoon of the same name.","['Na In Woo', 'Kim So Hye', 'Kim Woo Rin', 'Lim Se Jun']",그녀의 버킷리스트
270,The Man's Voice,iQiyi Viki,,['Kim Kyung Hee'],"Dec 30, 2021","Dec 30, 2021",Thursday,2021,8,225.0,"A fantasy rom-com about a convenience store part-timer who is searching for a full-time job, a handsome pilot, and his pet cat. The drama tells the story that unfolds when the shy female lead gains the ability to communicate with a cat she coincidentally meets and comes to make some sort of deal with the prickly cat. Baek Tae Hwa is the cat’s owner and an airline co-pilot. He has a good background and handsome looks that would make anyone fall for him. Due to his naturally sweet personality, Baek Tae Hwa has often made women cry without meaning to. The pet hotel he uses suddenly closes before his flight one day, so Baek Tae Hwa ends up entrusting his pet with a woman. Go Mi Rim has an ordinary background and is optimistic by nature. She works part-time at a convenience store while looking for a full-time job. Go Mi Rim agrees to take care of the cat owned by her one-sided love interest, but she starts to hear the cat’s voice after being hit by lightning, setting up the plot for an interesting romance to unfold.(Source: iQiyi)","['Choi  Tae Joon', 'Song Ji Eun', 'Sung Ji Ru']",그 놈 목소리
271,Behind Cut,,['Han Woo Im'],,2021-12-28,2022-01-19,"Tuesday, Wednesday",2021,8,112.0,"Ki Jin is a budding fashion design student who dreams big: He wants to become a world-famous clothing designer. But the journey to the top of South Korea’s fashion tree is not an easy one, and he is struggling to find the right path. One day, on the street, he bumps into Yeong Woo, an ever-optimistic part-time delivery worker. Even though it seems everyone he knows has formulated a grand plan about how their future will unfurl, Yeong Woo doesn’t have a dream. While all others are in a rush to get somewhere in life, it seems that his own life is stuck in first gear.Although things have got off to a decidedly shaky start for Ki Jin and Yeong Woo, they start to develop a fondness for one another, and start to wonder if their seemingly opposing blend of determinedness and acceptance could be a case of “opposites attract.” But when a leading model named Lee Bin arrives on the scene, things get complicated. He starts to develop a crush on Ki Jin. Could this development spell the end for the fledgling romance between Ki Jin and Yeong Woo?(Source: Viki)","['Bum Jun', 'Eom Se Ung']",비하인드 컷
272,Time of Memory,,,,2021-12-28,2022-01-01,,2021,20,30.0,"On the outside it may seem like Jung Woo Jin has everything a person could ever possibly want. With his natural talent, unparalleled looks, and a quick wit, he has become the nation’s fastest rising star. Whatever he touches is guaranteed to become the next big hit, making Woo Jin something of a national phenomenon. But behind this glittering exterior there lies a deeply hidden secret. Afflicted by a disease which makes him remember everything, Woo Jin is constantly bombarded by memories and emotions from the past.Unable to escape the moments in his life he’d give anything to be able to forget, Woo Jin lives in a hellish nightmare that stretches on forever. Unable to escape the past, Woo Jin is intrigued when he happens to cross paths with a woman who seems to be afflicted with an unusual condition of her own. Unable to remember anything that happened more than a month ago, Do Hae Soo lives her life from one moment to the next. With no way to remember anything that has happened in the past, Hae Soo has no choice but to live her life constantly moving forward. Intrigued by a woman who can’t ever seem to remember him, Woo Jin finds himself wanting to know more about her. Finding ways to be near her, Woo Jin and Hae Soo draw ever closer; but what future could they possibly have together when she never remembers and he never forgets?(Source: Viki)","['Lee Sung Yeol', 'Yoo Bin']",기억의 시간
273,Best Mistake Season 3,vLive,,,2021-12-27,2022-02-17,"Tuesday, Thursday",2021,16,94.0,"The new season will take place in a college setting, showing the growth and romance of young people as they prepare to enter the real world.","['Yoon Hyun Suk', 'Kang Hye Won', 'Lee Eun Jae', 'Kang Yul', 'Kim Won Pil']",일진에게 반했을 때
274,Love & Wish,Daum Kakao TV,,['Han Yoon Sun'],2021-12-24,2021-12-25,"Friday, Saturday",2021,9,107.0,"Son Da Eun, 17, is the youngest of three sisters. From an early age, she and her sisters would spend their time reading romance-themed comics and novels, and Son Da Eun would spend her nights dreaming of finding true love. Her family moves to the South Korean capital, Seoul, and she finds herself living next door to a handsome high schooler named Kim Seung Hyu. He is charming and attractive, and she feels that perhaps he might be her first true love.When she discovers that Kim Seung Hyu is actually her new classmate at the high school, she has just transferred to, and everything seems to be falling into place. Surely, she thinks, this is fate, and nothing could stand in the way of love now. But as she starts to get to know him better and settles into life at her new school, she realizes that he is holding something back from her: He has been the victim of cruel and vindictive school bullying that has left him emotionally vulnerable. Can love conquer all, or will the demons of his past derail their fledgling romance?(Source: Viki)~~ Adapted from the webtoon series ""Love & Wish"" (러브 앤 위시) written and illustrated by Inae.","['Choi Ye Bin', 'Choi Young Jae', 'Yoo Jae Sang']",사랑
275,The Silent Sea,Netflix,['Choi Hang Yong'],['Park Eun Kyo'],"Dec 24, 2021","Dec 24, 2021",Friday,2021,8,375.0,"Set in the future, when the planet suffers from a lack of water and food caused by desertification. Yoon Jae is a soldier for the space agency. He is selected for a team, including Ji An, to travel to the moon. A scientist joins the mission to recover mysterious samples from an abandoned lunar space station, where an accident killed everyone including her sister.(Source: AsianWiki; Netflix) ","['Lee Joon', 'Bae Doo Na', 'Gong Yoo']",고요의 바다
276,Tinted With You,Viki,['Ra Ha Na'],,2021-12-23,2022-01-14,"Thursday, Friday",2021,8,90.0,"In Korea’s feudal past, deposed Crown Prince Lee Heon was forced into exile when his cruel older brother usurped the throne. His sibling plans to permanently secure his position, leaving Lee Heon fearing for his life at every turn.  Lee Heon has one ally, Geum, his loyal, kind-hearted guard. Flash forward to the modern-day, where art is high school student Eun Ho’s entire world. He accepts a commission to complete an unfinished canvas despite its mysterious vibe. Inexplicably drawn into the distant past, he meets Lee Heon, with whom he forms a close and romantic bond. Becoming restless, the acting king desires to murder the exiled Crown Prince. Eun Ho now understands that he may be Lee Heon’s best – if not sole – chance of survival.(Source: Viki)","['Jun', 'Yoo Hyun Woo']",물들여
277,Moonshine,KBS2,['Hwang In Hyuk'],['Kim Joo Hee'],2021-12-20,2022-02-22,"Monday, Tuesday",2021,16,262.0,"An extended period of prohibition in the Joseon era proved that the restriction of alcohol was no match for human desire.Laws against imbibing, buying or making alcohol created different challenges for these inhabitants: Inspector Nam Young from The Office of the Inspector-General who left his hometown to achieve fame in Hanyang and restore his family status; Kang Ro Seo, the aristocratic but impoverished lady who makes moonshine to reduce her debt, allowing her to continue buying her mother’s medication and her brother’s books; and even Crown Prince Lee Pyo, who was prone to scaling the palace walls in search of a tipple. This trio has a fateful encounter leading to the discovery of a hidden stash of alcohol. Revealing this secret would only result in certain death.","['Kang Mi Na', 'Lee Hye Ri', 'Yoo Seung Ho', 'Byeon Woo Seok']",꽃 피면 달 생각하고
278,The One and Only,jTBC,['Oh Hyun Jong'],['Moon Jung Min'],2021-12-20,2022-02-08,"Monday, Tuesday",2021,16,262.0,"When Pyo In Sook was a child, her parents abandoned her with her grandmother who raised her. Her life has never been easy or comfortable. She now works at a public bathhouse scrubbing customer's bodies. Her defense mechanism is to not express her feelings to other people. One day, a doctor tells her she has a terminal illness and will die soon. Even coming face-to-face with her own mortality, In Sook remains emotionless. She begins receiving care at a hospice and meets two women with lives very different from her own: Seong Mi Do, a social media influencer, and Kang Se Yeon, an ordinary housewife who feels lonely and taken for granted. One rainy day, In Sook meets Min Woo Cheon, a contract killer who works at a private detective office. Woo Cheon's cool exterior masks a deep sadness. Each of the three women decides to end the life of one person who has done them wrong before they die, but in becoming friends, their anger begins to subside. When In Sook and Woo Cheon develop feelings for each other, though, she begins to rethink her plans.(Source: VIKI, AsianWiki)","['Ahn Eun Jin', 'Joy', 'Kim Kyung Nam', 'Kang Ye Won']",한 사람만
