eng_title,kor_title,genre,org_net,director,screenwriter,start_dt,end_dt,aired_on,year,tot_eps,synopsis,actor_list,Video Count,Total Views,cond,blog_cnt,after_two_months
Convenience Store Junkies,편의점 고인물,['Drama'],,['Kim Joon Mo'],,2022-06-27,2022-07-22,"Monday, Tuesday, Wednesday, Thursday, Friday",2022,20,"""Working part-time is better than being the store manager.""A convenience store drama about Ha Ru who became a part-timer with 9 years of experience with customers and newbie store managers.(Source: HanCinema) ",['Park Eun Woo'],28,81261000,False,742건,2022-08-26
Café Minamdang,미남당,"['Mystery', 'Comedy', 'Romance']",KBS2 Netflix,"['Go Jae Hyun', 'Yoon Ra Young']",['Park Hye Jin'],2022-06-27,2022-08-23,"Monday, Tuesday",2022,18,"Nam Han Joon is a former criminal profiler now working as a conman. To run his scams, he disguises himself as a fortune teller with his shop called Minamdang. Clients are drawn to his attractive appearance and smooth-talking manner.  While he cheats his customers out money, he works to solve their issues, all the while providing excellent customer service. He's partnered up with Gong Soo Cheol, who runs a private detective agency, and his younger sister, Hye Joon, an elite hacker.For the last three years, Detective Han Jae Hee performed her job with enthusiasm and integrity.  Will her involvement with Nam Han Joon jeopardize all of that?  (Source: AsianWiki, edited by Lee C)","['Kang Mi Na', 'Seo In Guk', 'Oh Yeon Seo', 'Kwak Shi Yang', 'Kwon Soo Hyun']",32,3666600,False,"4,198건",2022-08-26
Becoming Witch,마녀는 살아있다,"['Mystery', 'Comedy']",TV Chosun,['Kim Yoon Cheol'],['Park Pa Ran'],2022-06-25,2022-09-10,Saturday,2022,12,"Three friends from different backgrounds each encounter enemies they’d like to kill. Gong Ma Ri is a housewife who has a satisfying life with her husband and daughter. When she discovers her spouse’s affair, she seeks an alternate method of ending her marriage.Chae Hee Soo is the daughter-in-law in a chaebol family. Her married life isn't going well. Not only must she tend to her mother-in-law who ails physically and suffers from Alzheimer's, she must also endure her husband’s cold indifference toward her as she struggles to become pregnant. One day, Hee Soo's mother-in-law makes her a terrifying yet tempting offer.Yang Jin A's husband is a bad person. Upon his death, Jin A collects a significant sum from his life insurance policy. With that money, she is able to enjoy a lifestyle she was unaccustomed to in the past.  Instead. she keeps a watchful eye over her windfall, anxiously fearing that someone will take it from her. (Source: AsianWiki || Edited by MyDramaList)","['Lee Yoo Ri', 'Lee Min Young', 'Yoon So Yi']",32,18751600,False,900건,2022-08-24
Miracle,미라클,"['Romance', 'Youth']",jTBC,['Myung Hyun Woo'],,2022-06-24,2022-08-06,"Friday, Saturday",2022,14,"Having reached a level of fame most young idols can only dream of, there’s no doubt that Luice is at the top of his game. Known throughout the world for his music, Luice has worked hard to make his way to the top. But even as one of the world’s most popular artists, Luice constantly worries about the possibility of some other artist claiming his spot at the top, especially now that the idol group “N/S” is gaining popularity. Once a reluctant participant in an idol audition, Min Si Woo was talked into attending the event by his best friend, Lee Soo Rin, a former trainee hopeful turned content creator for an up-and-coming idol. Having wowed the judges at the audition, Si Woo made a vow to someday become a better singer than Luice as he signed a contract that would change his life forever. Now a member of the popular idol group N/S, he stands poised to make good on his word. While Si Woo’s popularity continues to rise, Soo Rin finds her own life turned upside down after crossing paths with Luice unexpectedly. With Luice now pulling her attention one way and Si Woo pulling it the other, how will Soo Rin find the time to make her own dreams come true? (Source: Viki)","['Kang  Min Ah', 'Chani', 'Hwiyoung']",29,24957200,False,"40,213건",2022-08-23
Money Heist: Korea - Joint Economic Area - Part 1,종이의 집: 공동경제구역 - 파트1,"['Action', 'Thriller', 'Mystery', 'Crime']",Netflix,['Kim Hong Seon'],"['Ryu Yong Jae', 'Kim Hwan Chae', 'Choi Sung Joon']",2022-06-24,2022-06-24,Friday,2022,6,"Thieves overtake the mint of a unified Korea. With hostages trapped inside, the police must stop them — as well as the shadowy mastermind behind it all. (Source: Netflix)~~ Remake of the Spanish TV series ""Money Heist"" (La Casa de Papel) [2017]. ","['Kim Ji Hoon', 'Yoo Ji Tae', 'Park Hae Soo', 'Jeon Jong Seo', 'Lee Won Jong', 'Jang Yoon Ju']",26,14948000,False,"2,022건",2022-08-23
Alchemy of Souls,환혼,"['Action', 'Historical', 'Romance', 'Fantasy']",Netflix tvN,['Park Joon Hwa'],"['Hong Jung Eun', 'Hong Mi Ran']",2022-06-18,2022-08-28,"Saturday, Sunday",2022,20,"Set in a fictional country called Daeho that does not exist in history or on maps, it is about the love and growth of young mages as they overcome their twisted fates due to a forbidden magic spell known as the ""alchemy of souls"", which allows souls to switch bodies.It follows the story of an elite assassin named Naksu, whose soul is accidentally trapped inside the weak body of Mu Deok—Jang Uk's servant from a powerful and noble mage family in the country. The young master of the Jang Family, Jang Uk, holds a dark secret about his scandalous birth. He wants the formidable assassin to help change his destiny.(Source: Soompi; The Korea Herald)","['Lee Jae Wook', 'Hwang Min Hyun', 'Shin Seung Ho', 'Yoo  Joon Sang', 'Oh Na Ra', 'Jung So Min']",32,21676000,False,"8,792건",2022-08-17
Jinxed at First,징크스의 연인,"['Mystery', 'Romance', 'Fantasy', 'Melodrama']",KBS2 Viki,['Yoon Sang Ho'],['Jang Yoon Mi'],2022-06-15,2022-08-04,"Wednesday, Thursday",2022,16,"A fishmonger at a traditional market, Gong Soo Gwang does his best to make an honest living. Unfortunately, he has a reputation for being incredibly unlucky, and as a result, people try to avoid him at all costs. With no one willing to approach him, his business often suffers. No matter how hard Soo Gwang tries, he just can’t seem to find a way to escape his cursed fate, but his life hasn’t always been this bleak.Seven years ago, Soo Gwang had a perfectly normal, happy life, but all that changed when he happened upon Lee Seul Bi, a woman who, despite their brief meeting, changed his life forever. Since that day, every time he dreams of Seul Bi, something terrible happens to him. Though Soo Gwang has no idea why this woman has had such a strange effect on his fortune, Seul Bi does. Having inherited a special ability from their mother, both women can see a person’s future through a single touch. Using this gift to their advantage, a wealthy family has kept Seul Bi and her mother captive for years. When fate allows Seul Bi a rare opportunity to escape, she takes it and runs straight to Soo Gwang.Standing face-to-face with the woman who started his streak of bad luck all those years ago, Soo Gwang isn’t sure whether he should help Seul Bi or run from her. With one desperate for freedom and the other desperate to change their fate, will Soo Gwang and Seul Bi become each other’s greatest ally or worst enemy?(Source: Viki)~~ Adapted from the webtoon “The Jinx’s Lover” (징크스의 연인) by writer Han Ji Hye (한지혜) and illustrator Gu Seul (구슬).","['Yoon  Ji Hye', 'Seo Hyun', 'Na In Woo', 'Jeon Kwang Ryul']",32,10293700,False,"1,893건",2022-08-14
Yumi's Cells Season 2,유미의 세포들2,"['Comedy', 'Romance', 'Life']",TVING,['Lee Sang Yeob'],"['Song Jae Jung', 'Kim Yoon Joo', 'Kim Kyung Ran']",2022-06-10,2022-07-22,Friday,2022,14,"After suffering a painful breakup, Yu Mi’s love cells have shut down completely, but a chance meeting with the emotionally stunted game designer, Goo Woong, changes all of that. Waking up a number of each other’s cells, Yu Mi and Goo Woong find themselves drawing closer, but even with the revival of their long-dormant love cells, their relationship wasn’t destined to last. Now a much wiser and more mature individual, Yu Mi finds herself willing to take on a set of challenges after an unexpected source of inspiration ignites her internal fire. Inspired by her co-worker, Bobby Yoo, Yu Mi and her hard-working cells set out to make all of her dreams come true. (Source: Viki)~~ Adapted from the webtoon ""Yumi's Cells"" (유미의 세포들) by Lee Dong Geon (이동건).","['Kim Go Eun', 'Park Jin Young']",26,12542000,False,"12,362건",2022-08-09
Insider,인사이더,"['Action', 'Thriller', 'Law']",jTBC,['Min Yeon Hong'],['Moon Man Se'],2022-06-08,2022-07-28,"Wednesday, Thursday",2022,16,"Tells the story of a judicial trainee named Kim Yo Han. After going undercover for an investigation, Kim Yo Han experiences a crisis and ends up struggling to try to obtain a hand of cards that will change his fate as he gambles in prison. Kim Yo Han is prudent and always thinking a few moves ahead, and he keeps a poker face on. Although he gets into a dangerous situation when he becomes embroiled in an unexpected incident during the investigation, he’ll continue to fight to survive and manage to grow with his ability to turn a crisis into an opportunity.(Source: Naver, Soompi)","['Kang Ha Neul', 'Lee Yoo Young']",25,33589200,False,"3,632건",2022-08-07
"Link: Eat, Love, Kill","링크: 먹고 사랑하라, 죽이게","['Mystery', 'Romance', 'Drama', 'Fantasy']",tvN,['Hong Jong Chan'],"['Kwon Ki Young', 'Kwon Do Hwan']",2022-06-06,2022-07-26,"Monday, Tuesday",2022,16,"A fantasy mystery drama about a man and woman who share the same emotional state.Eun Gye Hoon is a chef who sets up a restaurant in the town where his twin sister went missing 20 years ago. He finds himself randomly experiencing emotions one day, spontaneously crying and laughing, and it turns out that they are the emotions of a woman named Noh Da Hyun.(Sources: HanCinema, Soompi) ","['Mun Ka Young', 'Yeo Jin Goo']",26,7365600,False,863건,2022-08-05
To My Star Season 2: Our Untold Stories,나의 별에게2 : 우리의 못다 한 이야기,"['Romance', 'Drama']",Viki,['Hwang Da Seul'],['Park Young'],2022-06-05,2022-07-03,Sunday,2022,10,"After his career took a steady turn for the worse, one of South Korea’s brightest stars, Kang Seo Joon, was afraid he might never be happy again. But after a chance meeting brings the talented chef Han Ji Woo into his life, Seo Joon is certain his luck is about to change.Despite their differences in personality, the chef and the celebrity found themselves unable to resist the other’s charms. Head-over-heels for each other, Seo Joon and Ji Woo believed they had finally found their happily ever after. But their happiness turns out to be short-lived when one of them disappears, leaving nothing but a note behind.Lost without the other, will these two star-crossed lovers find a way back to each other or has their fairy tale romance truly come to an end?(Source: Viki)","['Son Woo Hyun', 'Kim Kang Min']",20,475900,False,"1,377,723건",2022-08-04
Cleaning Up,클리닝 업,"['Comedy', 'Crime', 'Drama']",jTBC,['Yoon Sung Shik'],['Choi Kyung Mi'],2022-06-04,2022-07-24,"Saturday, Sunday",2022,16,"Eo Yong Mi, Ahn In Kyung and Maeng Soo Ja work as cleaning ladies at a brokerage company.Eo Yong Mi raises her two daughters by herself and she struggles to make a living. An In Kyung dreams of buying a food truck to run a mobile cafe business. Maeng Soo Ja seems like a very sociable person, but she is only friendly to people when she needs them. These three cleaning ladies happen to overhear insider information at their workplace. They invest their money in a stock, using the insider trading information.(Source: AsianWiki)~~ Remake of the British series ""Cleaning Up"" [2019].","['Kim Jae Hwa', 'Na In Woo', 'Yeom Jung Ah', 'Jeon So Min', 'Lee Moo Saeng']",32,20176500,False,"3,037건",2022-08-03
Doctor Lawyer,닥터 로이어,"['Thriller', 'Law', 'Drama', 'Medical']",MBC,"['Lee Yong Seok', 'Lee Dong Hyun']",['Jang Hong Chul'],2022-06-03,2022-07-23,"Friday, Saturday",2022,16,"Han Yi Han was an elite surgeon. He graduated at the top of the best medical school in South Korea and he specialized in two departments: general surgery and cardiothoracic surgery. One surgery changed his life. Han Yi Han believed he did well in that surgery, but the patient died. He then got his medical license revoked.Four years later, Han Yi Han works as a lawyer, specializing in medical litigation. He also tries to uncover the truth behind the death of his former patient. In his trials, Han Yi Han defends victims and tries to punish those that commit medical malpractice and negligence. He works with a public prosecutor, who lost a family member and a lover due to the surgery Han Yi Han performed.(Source: AsianWiki)","['Im Soo Hyang', 'So Ji Sub', 'Shin Sung Rok']",20,15439000,False,"2,860건",2022-08-02
Why Her?,왜 오수재인가,"['Mystery', 'Law', 'Romance', 'Melodrama']",SBS Viki ViuTV,['Park Soo Jin'],['Kim Ji Eun'],2022-06-03,2022-07-23,"Friday, Saturday",2022,16,"The youngest partner at one of the nation’s most prestigious law offices, Oh Soo Jae has already proven she has what it takes to be one of the country’s best lawyers. Driven by her self-righteous principles and a never-ending desire to win, Soo Jae is well on her way to becoming one of TK Law Firm’s top attorneys. But when one of her cases takes an unexpected turn, Soo Jae is forced to watch as all of her hard work comes crumbling down around her. Demoted at work, Soo Jae is forced to take on the role of adjunct professor at a local law school. Determined to win back her position within the firm, Soo Jae does her best to settle into her new role but the sting of demotion still lingers. Only after meeting Gong Chan, a university student whose path frequently crosses with Soo Jae, does that sting begin to lessen. Despite carrying the burdens of a painful past, Gong Chan’s warm heart remains strong, especially as his affection for Soo Jae grows.Obviously smitten with Soo Jae, Gong Chan stays by her side, even as she struggles to find a way back into the firm’s good graces. Will her determination and Gong Chan’s support be enough to restore her position, or will the powers that be continue to push her down?(Source: Viki)","['Heo Joon Ho', 'Bae In Hyuk', 'Seo Hyun Jin', 'Hwang In Youp']",32,30272400,False,"8,478건",2022-08-02
Eve,이브,"['Romance', 'Drama', 'Melodrama']",tvN,['Park Bong Sub'],['Yoon Young Mi'],2022-06-01,2022-07-21,"Wednesday, Thursday",2022,16,"Lee Ra El was a girl who idolized her loving parents – a highly intelligent father and a strikingly beautiful mother. But when cruel forces beyond their control cause her father’s death, her family crumbles. Embittered by this terrible experience, she vows revenge on the super-rich people who orchestrated this terrible tragedy. Her prime target is Kang Yoon Kyum, the CEO of the lucrative LY Group business empire, and one of the ringleaders of the plot that ultimately destroyed her family.Lee Ra El’s weapon of choice is divorce. By placing herself at the center of a legal battle worth a staggering USD 1.6 billion, she hopes to bring Kang Yoon Kyum and LY Group down once and for all. But in order to do so, she will need to wage a bitter legal struggle and fight powerful forces both inside and outside the courtroom. However, this plan has been in the pipelines for 13 years for Lee Ra El, who believes she will use all of her guile to catch Kang Yoon Kyum out when he least expects it. Can revenge bring her the satisfaction she craves – or will it end up consuming her?(Source: Viki)","['Yoo  Sun', 'Lee Sang Yeob', 'Seo Yea Ji', 'Park Byung Eun']",31,124917200,False,"19,688건",2022-07-31
Hope or Dope 2,소년비행2,"['Youth', 'Drama']",,['Jo Yong Ik'],['Jung Soo Yoon'],2022-05-31,2022-05-31,Tuesday,2022,8,"Having been used as a drug mule by her parents for ages, eighteen-year-old Kyung Da Jung might have been stuck in her old life forever, had not a series of unfortunate events during one of her deliveries forced her to flee. Taking refuge in a small rural village nestled deep in the heart of the South Korean countryside, Da Jung might have had a chance to start a brand new life, but fate, it seemed, would not be so kind.Befriending Gong Yoon Tak and his friends, Gong Yoon Jae, Kim Kook Hee, and Hong Ae Ran, not long after her arrival, Da Jung could have spent her remaining teenage years in relative peace. But when the group discovers a perfectly cultivated field of marijuana growing just outside the village, everything changes. Unable to resist the urge to use this discovery to her advantage, Da Jung quickly pulls Yoon Tak and his friends into her world of drugs and crime. Though able to overcome one set of difficulties, the friends now find themselves forced to overcome an entirely different set of obstacles.With their lives on the line, will Da Jung, Yoon Tak, and their friends be able to find a way out of the mess they’ve gotten themselves into before it’s too late?(Source: Viki)","['Yoon Chan Young', 'Yoon Hyun Soo', 'Won Ji An', 'Han Se Jin', 'Yang Seo Hyun']",25,38540800,False,776건,2022-07-30
Kiss Sixth Sense,키스식스센스,"['Comedy', 'Romance', 'Fantasy', 'Supernatural']",Disney+ Hulu,['Nam Ki Hoon'],['Jeon Yoo Ri'],2022-05-25,2022-06-29,Wednesday,2022,12,"Hong Ye Sool, the best account executive on Planning Team 1 at Zeu Ad is making her way up as a project manager. She has one secret: she can see the future when she kisses someone. One day, after Ye Sool's lips accidentally meet the lips of her evil team chief Min Hoo, she sees herself in bed with him in the future. While Ye Sool is confused with her future, her ex-boyfriend Pil Yo shows up to work on a new project together and offers Yesool to go on a date with him three times. This romantic office comedy revolves around Ye Sool, whose primary focus is work.(Source: Disney+) ~~ Adapted from the web novel ""Kiss Sixth Sense"" (키스식스센스) by Gatnyeo (갓녀).","['Seo Ji Hye', 'Yoon Kye Sang', 'Kim Ji Suk']",32,25795200,False,972건,2022-07-24
Gold Mask,황금 가면,"['Drama', 'Melodrama']",KBS2,['Uh Soo Sun'],['Kim Min Joo'],2022-05-23,2022-10-07,"Monday, Tuesday, Wednesday, Thursday, Friday",2022,100,"A tragedy occurs for three women, caused by greed and desire.Yoo Soo Yeon grew up with ordinary parents. She falls in love with a man from a chaebol family and marries him. Her life seems to mirror that of Cinderella and she is envied by others, but her life isn't easy due to mistreatment from her in-laws.Cha Hwa Young is full of greed and desire. She tries to keep her upper class life.Go Mi Sook is a private moneylender and she owns a franchise restaurant chain. She is a good person.(Source: AsianWiki)","['Cha Ye Ryun', 'Lee Hyun Jin', 'Lee Hwi Hyang', 'Na Young Hee']",31,5942000,False,"1,637건",2022-07-22
Welcome to Wedding Hell,결혼백서,"['Romance', 'Life', 'Drama']",Daum Kakao TV Netflix,"['Seo Joo Wan', 'Song Je Young']",['Choi I Rang'],2022-05-23,2022-06-15,"Monday, Tuesday, Wednesday",2022,12,"A relatable tale about a couple in their30s preparing for marriage. Expecting a fairy tale ending, the reality proves to be somewhat different. From the meeting of their families to finding a house, planning for their big day has the couple facing some realistic issues. (Source: Soompi || Edited by MyDramaList) ","['Lee Yun Hee', 'Lee Jin Wook']",24,21940800,False,"1,195건",2022-07-22
Tutorial,튜토리얼,['Romance'],,['Kim Min Joon'],,2022-05-20,2022-05-31,"Tuesday, Friday",2022,4,An office romance web drama that deals with the small romance that is likely to occur in a relationship of a beginner in society. It deals with the sweet and bitter story of those who start their youth at the beginning of love with a company and a reading group in the background.(Source: Naver) ,"['Lee Su Hyun', 'Park Ji Bin', 'Ham Yeon Ji', 'Kang Yoo Ha']",35,959875000,False,"4,828건",2022-07-19
Love in Spring,춘정지란,"['Historical', 'Drama']",,['Lee Chang Han'],,2022-05-18,2022-07-06,Wednesday,2022,16,"Jin Geum Seong is a poor nobleman who lives with his mother and making ends meet is challenging. While gathering wood on the mountain, he spies a woman swimming nearby. Believing she is about to take her life, he creates a disturbance allowing him to save Choi Hye Seong, the third daughter of Choi Jin Sa. Only things are not as they seem when she turns out to be a man named 'Salbyul,' Love will bloom between Hye Seong and Geum Seong, much like a flower on a warm spring day. (Source: BLupdate2020 Instagram)~~ Adapted from the webtoon of the same title by Noh Myung Hee (노명희).","['Yoo Young Jae', 'Kim Song']",20,1044500,False,200건,2022-07-17
Love Class,수업중입니다,"['Romance', 'Youth']",Viki,,,2022-05-13,2022-05-18,"Monday, Tuesday, Wednesday, Friday, Saturday, Sunday",2022,6,"Cha Ji Woo is a second-year student of Mass Communication and Journalism. He is short in stature and very gentle in nature. He is also besotted with Bae Yu Na, one of his classmates. However, she is being stalked by a mysterious individual and is afraid of all men as a result – except the kind-hearted and non-threatening Ji Woo. The problem is she doesn’t really see him as a man, and this doesn’t help Ji Woo’s cause, although he will stop at nothing to protect her.But one day, a university class requires that students all pair up in “couples” to complete a project about love. Everyone forms heterosexual “couples.” However, Yu Na and a female classmate who is in love with her professor decide to team up as a same-sex “couple.” That means Ji Woo must form a “couple” with a tall, confident senior student he’s never met before named, Lee Ro Ah. After they begin working together, Ji Woo starts to wonder if Ro Ah likes him. And if that is the case, could his feelings for Yu Na be misplaced? And could he, too, develop affection for Ro Ah?(Source: Viki)","['Han Hyun Jun', 'Kim Tae Hwan']",35,655800,False,"305,656건",2022-07-12
Rose Mansion,장미맨션,"['Thriller', 'Mystery']",TVING,['Chang'],['Yoo Kab Yeol'],2022-05-13,2022-05-27,Friday,2022,12,"Set in an apartment scheduled for reconstruction and tells the story of the search for the truth behind a sister’s disappearance. The gradually uncovered secrets will deliver realistic fear and intense suspense, along with suspicious neighbors who hide their greed beneath ordinary looks. Ji Na is a hotel employee who is tracking down her older sister’s disappearance. Although she appears to have a smooth-sailing life, she is a person filled with a great sense of inferiority on the inside. Following the news of her sister Ji Hyun’s disappearance, Ji Na returns to her family’s house, the Rose Mansion, only to be swept up in an unexpected situation. Violent crimes detective Min Soo will be the only one to believe in Ji Na’s words and help her. As a stubborn man of action who has to see through to the end of a case once he gets hooked on it, Min Soo will help Ji Na unearth the truth behind Ji Hyun’s disappearance. Although he appears to be a strong, reliable man, Min Soo also possesses dark secrets that not many know about.","['Im Ji Yeon', 'Yoon Kyun Sang']",32,39472500,False,681건,2022-07-12
Woo Ri the Virgin,우리는 오늘부터,"['Comedy', 'Romance', 'Drama', 'Melodrama']",SBS,,['Jang Ah Mi'],2022-05-09,2022-06-21,"Monday, Tuesday",2022,14,"Oh Woo Ri is the assistant writer of a popular drama series. She has vowed to remain a virgin until she marries, and has shied away from romantic relationships in a bid to remain chaste until she marries. She is dating the devoted police officer Lee Kang Jae, but when she attends a routine medical exam, a terrible mix-up takes place and she is accidentally artificially inseminated. She later discovers her pregnancy, and demands the hospital gets to the bottom of the case.Eventually she discovers that the donor whose child she is now pregnant with is none other than the CEO of a notable cosmetics firm named Diamond Cosmetics. This CEO, named Raphael, is going through a messy divorce with his wife Lee Ma Ri, a beautiful woman who does not want to split with her husband, chiefly for financial reasons. But when Raphael learns he is to be a father, things get very complicated – particularly after he realizes that there is a secret past connection that links him to Oh Woo Ri!(Source: Viki)~~ Remake of American TV series ""Jane the Virgin"" [2014], which in turn, is loosely remade from the Venezuelan telenovela ""Juana la Virgen"" [2002].","['Im Soo Hyang', 'Sung Hoon', 'Shin Dong Wook']",32,71626700,False,"1,227,415건",2022-07-08
The Sound of Magic,안나라수마나라,"['Music', 'Psychological', 'Drama', 'Fantasy']",Netflix,['Kim Seong Yoon'],['Kim Min Jung'],2022-05-06,2022-05-06,Friday,2022,6,"High school student Yoon Ah Yi finances herself and her younger sister by working part-time jobs. She doesn't know where her parents are. Debt collectors drove her father away from home—and then her mother fled too. But even with her poor financial circumstances, Yoon Ah Yi manages to rank near the top of her school academically. Yoon Ah Yi wants to become an adult as soon as possible, to have a stable job. Her classmate Na Il Deung competes with Yoon Ah Yi for the top grade, but they begin to have feelings for each other. One day, Yoon Ah Yi meets magician Lee Eul at an abandoned amusement park. He performs magic shows for people who believe in magic. He is a mysterious person; he comforts Yoon Ah Yi who tells him that she believes in magic.(Source: AsianWiki || Edited by MyDramaList)~~ Adapted from the webtoon ""Annarasumanara” (안나라수마나라) by Ha Il Kwon (하일권).","['Ji Chang Wook', 'Hwang In Youp', 'Choi Sung Eun']",26,5443000,False,"1,708건",2022-07-05
Never Give Up,구필수는 없다,"['Comedy', 'Life', 'Drama']",ENA Genie TV,['Choi Do Hoon'],"['Son Geun Joo', 'Lee Hae Ri']",2022-05-04,2022-06-23,"Wednesday, Thursday",2022,16,"Depicts the bromance of Goo Pil Soo, a breadwinner in his 40s who dreams for his second heyday, and Jung Seok, a genius in his 20s who dreams of his own start-up company. The drama will realistically portray relatable stories, including the recent social and education problems and the employment and start-up wars. At the same time, it will draw a harmony between different generations and create a warm comedy drama that everyone can sympathize with and watch comfortably.","['Yoon Doo Joon', 'Kwak Do Won', 'Han Go Eun', 'Park Won Sook', 'Jung Dong Won']",30,12305000,False,"1,676건",2022-07-03
Bloody Heart,붉은 단심,"['Historical', 'Drama', 'Political']",KBS2,['Yoo Young Eun'],['Park Pil Joo'],2022-05-02,2022-06-21,"Monday, Tuesday",2022,16,"A fictional historical drama that begins when Lee Tae, the eldest legitimate son of King Sunjong who became king after the rebellion, ascends to the throne of Joseon.Lee Tae’s father deposed the king with the help of Park Gye Won and his father became the king of a new dynasty. After succeeding his father, Lee Tae then became the next king. Lee Tae believes any action is justifiable to achieve his goal. He wants to rule as an absolute monarch, but First Vice-Premier Park Gye Won opposes that idea. Park Gye Won is even more powerful than the king.Meanwhile, Yoo Jung is a daughter of a noble family. Lee Tae thinks of her as his wife. Due to that, her family gets involved in a power struggle in the royal court. (Source: AsianWiki)","['Jang Hyuk', 'Lee Joon', 'Kang Han Na']",32,11426000,False,"2,782건",2022-07-01
The Supernatural Agent,특수공인중개사 오덕훈,"['Thriller', 'Mystery', 'Fantasy', 'Supernatural']",,['Oh In Chun'],,2022-04-29,2022-04-29,,2022,8,"Oh Deok Hoon, who majored in psychic science at MIT and served as a researcher at the National Forensic Service, suddenly opened a licensed real estate agent to solve strange and mysterious cases related to his home. What is Deok Hoon's special ability? And why did he start being a licensed real estate agent?(Source: HanCinema) ",['Joo Ei An'],20,46600,False,12건,2022-06-28
Monstrous,괴이,"['Thriller', 'Mystery', 'Horror', 'Supernatural']",TVING,['Jang Kun Jae'],"['Yeon Sang Ho', 'Ryu Yong Jae']",2022-04-29,2022-04-29,Friday,2022,6,"Jung Ki Hoon searches for strange supernatural phenomena as an archaeologist, but an unexpected case causes his life to change. He now publishes the occult magazine Monthly Strange Story and runs the YouTube channel Monthly Strange Story.  Because of his ex-wife, Lee Soo Jin, he goes to Jinyang County to research ""Gwibul"" (a Buddhist statue possessed by an evil spirit). There, he faces an incredibly bizarre and fearful phenomenon. Lee Soo Jin used to decipher letters and symbols as an archaeologist. She was excellent at her work. But, her only child dies, and she then goes to Jinyang County. There, Lee Soo Jin experiences mysterious phenomena, which leads her to search for answers. Meanwhile, the people of Jinyang County, including police substation chief Han Seok Hee, her son Han Do Kyung, governor Kwon Jong Soo, and trouble maker Kwak Yong Joo face incredibly bizarre phenomena.(Source: AsianWiki)","['Koo Kyo Hwan', 'Shin Hyun Bin', 'Kim Ji Young']",32,28904000,False,"3,182건",2022-06-28
The Killer's Shopping List,살인자의 쇼핑목록,"['Thriller', 'Mystery', 'Comedy']",tvN,['Lee Eon Hee'],['Han Ji Wan'],2022-04-27,2022-05-19,"Wednesday, Thursday",2022,8,"Despite having an excellent memory, Ahn Dae Sung has yet to pass his civil service examination. Studying to become a ninth grade public official, Dae Sung has taken the exam three years in a row and failed every single time. Even so, his determination remains strong and with the never ending support of his mother, Myung Sook and his girlfriend, Ah Hee, Dae Sung is convinced that the next time he takes this exam, he won’t fail.Working part-time at the convenience store his mother owns on the outskirts of Seoul, Dae Sung’s life takes an unexpected turn when a murder takes place at an apartment building nearby. As a police officer, Ah Hee feels it’s her duty to solve this case and thus begins an investigation of the murder on her own. Despite not being an official detective, she soon makes a shocking discovery. Finding a receipt from Myung Sook’s store at the scene of the crime, Ah Hee pulls Dae Sung and his mother into the investigation.With no other clues to go on, Ah Hee, Dae Sung, and Myung Sook are determined to find a way to crack this case. But how can a team of rookies catch a murderer when the pros on the job have yet to find a single clue?(Source: Viki)~~ Adapted from the novel ""The Killer's Shopping List"" (살인자의 쇼핑목록) by Kang Ji Young (강지영).","['Kim Seol Hyun', 'Lee Kwang Soo', 'Jin Hee Kyung']",26,17467600,False,"1,471건",2022-06-26
Ocean Likes Me,오션라이크미,"['Food', 'Romance', 'Drama']",,['Lee Su Ji'],['Team Wol Pi Dong'],2022-04-26,2022-05-18,"Tuesday, Wednesday",2022,8,"'Ocean Likes Me' is a healing food romance between Han Ba Da, a young entrepreneur who dreams of starting an udon restaurant with a beach in the background but finds serving customers difficult. Ba Da then meets Tommy, a failed musician who returns to his hometown after wandering and has a new dream. Together, both of them step towards their dreams.(Source: Naver and blupdate2020) ","['Holland', 'Han Gi Chan']",20,552800,False,32건,2022-06-25
"From Now On, Showtime!","지금부터, 쇼타임!","['Mystery', 'Comedy', 'Romance', 'Fantasy']",MBC ViuTV,"['Lee Hyung Min', 'Jung Sang Hee']",['Ha Yoon Ah'],2022-04-23,2022-06-12,"Saturday, Sunday",2022,16,"Cha Cha Woong is a popular if somewhat sardonic stage and TV magician with a taste for the spectacular. His tricks dazzle audiences, but little do most people know – he has a gang of secret helpers! However, these are no ordinary magician’s assistants: They are actually ghosts. But Cha Cha Woong is not afraid of beings from the spirit realm – in fact, he treats them as his employees...and they, in turn, believe him to be their “boss.”One day, his path crosses with that of Go Seul Hae, a young, passionate police officer. He attempts to brush her off when she investigates an incident connected to one of his magic shows. But she soon realizes that the magician’s unusual abilities could be the perfect crime-fighting tool. She manages to convince him to join the police force in its efforts to catch fiendish criminals – and use his ghostly retinue to help foil evil masterminds! But in the course of their unorthodox partnership, could romance also make an appearance on the scene?(Source: Viki)","['Jin Ki Joo', 'Jung Joon Ho', 'Park Hae Jin']",20,11802500,False,"1,786건",2022-06-22
