eng_title,kor_title,genre,org_net,director,screenwriter,start_dt,end_dt,aired_on,year,tot_eps,synopsis,actor_list,Video Count,Total Views,cond,blog_cnt,after_two_months
Bloodhounds,사냥개들,"['Action', 'Thriller', 'Crime', 'Drama']",Netflix,,,2023-06-09,2023-06-09,Friday,2023,8,"When reserved rookie boxer Kim Geon Woo squares off against loquacious southpaw Hong Woo Jin, Geon Woo narrowly prevails — but the two former marines become fast friends. As their friendship grows, so do the financial woes that plague Geon Woo’s mother. To save her quaint café from going under, she signs off on a hefty loan. But when it turns out she’s been targeted by Smile Capital — a ruthless loan shark business — Geon Woo and Woo Jin do everything in their power to make it right. Fate intervenes as the pair end up working for a generous money lender whose foster daughter is dead set on taking down the loan sharks.(Source: Netflix)~~ Adapted from the webtoon ""Bloodhounds"" (사냥개들) by Jeong Chan (정찬).","['Woo Do Hwan', 'Lee Sang Yi', 'Heo Joon Ho', 'Park Sung Woong']",32,33831200,False,"6,828건",2023-08-08
Love Tractor,트랙터는 사랑을 싣고,"['Comedy', 'Romance', 'Life']",,['Yang Kyung Hee'],,2023-06-07,2023-06-21,Wednesday,2023,8,"Seon Yul, a temporarily relocated city man, meets Ye Chan, a rural man who adores the countryside. Seon Yul comes to the countryside to experience life knowing nothing about farming and Ye Chan appears before him. As Seon Yul learns to adapt to rural living and engage in farming activities, he becomes increasingly attracted to Ye Chan's sincerity and enthusiasm. Together, the two embark on a chaotic and romantic countryside journey of healing and love. (Source: iQIYI)~~ Adapted from the webtoon ""Love Tractor"" (트랙터는 사랑을 싣고) written by Hmm Yong Yong (흠념뇸) and illustrated by AngryMonster (앵몬).","['Do Won', 'Yoon Do Jin']",32,1287000,False,156건,2023-08-06
The Villain of Romance,로맨스빌런,['Romance'],MBC Dramanet,,,2023-06-05,2023-06-27,"Monday, Tuesday",2023,10,"A coming-of-age story and realistic romance about young college “villains” who are still learning about love. Kang Hee Jae desperately wants to appear cool to others, but secretly feels smaller than plankton on the inside. While struggling to forgive his girlfriend, Yoo Jin, for her “savage” behavior, he winds up gradually transforming into an obsessive monster.Meanwhile, Ban Yoo Jin is a highly intelligent older student at Kang Hee Jae’s college. Because Yoo Jin can never seem to keep a relationship going for longer than 100 days, she starts to worry that she’ll wind up living a lonely life alone. So when younger student Hee Jae boldly shoots his shot, she decides to put him through some intense “training” as they date.","['Cha Sun Woo', 'Ha Seung Ri']",20,443300,False,"1,226건",2023-08-04
Sound Candy,소리사탕,['Drama'],TVING,['Kang Hee Ju'],,2023-06-03,2023-07-01,Saturday,2023,10,"A group of young individuals with different backgrounds come together at a pension located in Jeju. They rediscover their love and friendship through the mystery of""SoundCandy.""(Source: MyDramaList) ","['Choi Yoo Jung', 'Kim Jong Hyeon']",31,198200,False,"8,670건",2023-08-02
Bitch X Rich,청담국제고등학교,"['Thriller', 'Mystery', 'Youth', 'Drama']",Netflix,,,2023-05-31,2023-06-28,Wednesday,2023,10,Baek Je Na is a third-generation conglomerate and a gold spoon of the highest class at Cheongdam International High School. Kim Hye In grew up in poverty and is offered a chance to study at the Cheongdam International High School in exchange for her silence on a murder she witnessed. Cheongdam International High School is a homicide mystery that follows Je Na’s rivalry with Kim Hye In as they are pitted against each other in mental warfare. (Sources: pinkvilla.com; nme.com),"['Lee Eun Saem', 'Yeri', 'Lee Jong Hyuk', 'Yoo Jung Hoo']",32,21292800,False,796건,2023-07-30
Battle for Happiness,행복배틀,"['Thriller', 'Mystery', 'Drama']",Amazon Prime ENA TVING,['Kim Yoon Cheol'],['Joo Young Ha'],2023-05-31,2023-07-20,"Wednesday, Thursday",2023,16,"A suspense drama depicting mothers engaged in a fierce social media battle to destroy each others' happiness for their own, to free themselves from oppression, hurt, and secrets, and regain their true selves.(Source: HanCinema)~~ Adapted from the novel ""Haengbokbaeteul"" (행복배틀) by Joo Young Ha (주영하). ","['Lee El', 'Jin Seo Yun', 'Cha Ye Ryun', 'Park  Hyo Joo', 'Woo Jeong Won']",35,19260000,False,"5,433건",2023-07-30
Delightfully Deceitful,이로운 사기,"['Comedy', 'Crime', 'Drama']",tvN,['Lee Soo Hyun'],['Han Woo Joo'],2023-05-29,2023-07-18,"Monday, Tuesday",2023,16,"Clever con artist Lee Ro Um suffers from a distinct lack of empathy. One day, she is falsely implicated on charges of killing her estranged parents. She is exonerated after 10 years with the help of a passionate, highly empathetic lawyer, Han Moo Young.The two come to form an unlikely alliance to fight against wrongdoers and exact revenge on them.(Source: The Korea Times) ","['Chun Woo Hee', 'Kim Dong Wook', 'Yoon Park', 'Park So Jin']",20,9658900,False,"3,102건",2023-07-28
One Day Off,박하경 여행기,"['Food', 'Life', 'Drama']",,['Lee Jong Pil'],['Son Mi'],2023-05-24,2023-05-31,Wednesday,2023,8,"Set in the 1990's, Park Ha Kyung teaches Korean literature at a high school. To escape her ordinary days, Park Ha Kyung decides to take one day trips on Saturdays. During her one day trip, she walks around, eats different foods, and meets various people. She realizes she receives comfort and empathy through her travels.(Source: AsianWiki) ",['Lee Na Young'],32,3534200,False,"1,437건",2023-07-23
Star Struck,스타스트럭,"['Romance', 'Youth']",,"['Park Sun Jae', 'Kim Hoon Gwang']",['Jung Hyun Woo'],2023-05-18,2023-06-08,Thursday,2023,8,"When love is kept for a long time...will that feeling blossom?Seo Han Joon has been in love with his childhood friend, Jo Yoo Jae, for a long time. He knew his feelings wouldn’t be reciprocated, and it didn’t matter because he never even dreamed of confessing to him. But this time, he wanted to express his love...(Source: blupdate2020 at Twitter; edited by Khai at MyDramaList)~~ Adapted from the novel ""Star Struck"" (스타스트럭) by Ha Tae Jin (하태진).","['Zuho', 'Kim In Sung']",25,690800,False,113건,2023-07-17
Oh! Youngsim,오! 영심이,"['Comedy', 'Romance']",ENA Genie TV,"['Kim Eun Kyung', 'Oh Hwan Min']",['Jeon Seon Young'],2023-05-15,2023-06-13,"Monday, Tuesday",2023,10,"Oh Young Sim is single and in her 30s. She has worked as a TV variety show PD for 8 years. She wanted to make people laugh with her TV shows, which were always cancelled due to low popularity ratings. Her career is now in a crisis. She has a chance to produce a love entertainment show as a pilot program. For the show, Oh Young Sim casts famous start-up founder Mark Wang as a guest. She is surprised that Mark Wang is Wang Kyung Tae. When they were little, Wang Kyung Tae had a crush on Oh Young Sim, and he always let her know how he felt about her. Oh Young Sim did not feel the same way towards Wang Kyung Tae at the time. He then suddenly moved to the United States with his family. They lost contact with each other afterward.Now, 20 years after they were last together, Wang Kyung Tae appears in front of her as CEO Mark Wang. Meanwhile, PD Lee Chae Dong works with PD Oh Young Sim in the same variety show department. He is always on her side. Also, around Oh Young Sim is her friend Goo Wol Sook. She runs the popular YouTube video channel ""Ku's Date"".(Source: AsianWiki)~~ Adapted from the animated series ""Yeongsimi"" (영심이), which in turn is adapted from the comic series ""14-year-old Yeongsimi"" (열네 살 영심이) by Bae Geum Teak (배금택).","['Song  Ha Yoon', 'Lee Dong Hae', 'Lee Min Jae', 'Jung Woo Yeon']",32,6537800,False,400건,2023-07-14
