Unnamed: 0,drama_name,org_net,director,screenwriter,start_dt,end_dt,aired_on,year,tot_eps,time_per_ep,synopsis,actor_list,kor_title
254,First Love Again,KBS2,['Yoon Chang Bum'],['Park Pil Joo'],2016-11-28,2017-04-21,"Monday, Tuesday, Wednesday, Thursday, Friday",2016,104,20.0,"Lee Ha-Jin and Cha Do-Yoon were deeply in love and planned to marry, but, because of circumstances standing in their way, she broke up with him cruelly. Eight years later the two of them meet again. Ha Jin has ""erased"" memories of her first love and is now enthusiastic about cooking. On the contrary, Do Yoon is still trapped in the past, full of vengeance and hatred toward her. To complicate matters, enter Jeong Woo, a good man with ulterior motives, and Min Hee, an evil woman who will do anything to stay on top and in her mother's graces","['Myung Se Bin', 'Kim Seung Soo', 'Park Jung Chul', 'Wang Bit Na']",첫사랑만 세번째
1146,My Runway,MBC Dramanet,,,"Dec 31, 2016","Dec 31, 2016",,2016,6,220.0,"Han Seo Yeon is a bright, healthy, and outgoing high school student who dreams of becoming a model. Jin Wook is one of the top models in Korea. Han Seo Yeon and Jin Wook end up meeting each other at a casting, where Jin Wook is one of the judges. The casting does not go Seo Yeon's way, and she leaves disappointed: then an incident occurs where the top model, and the aspiring model switch bodies.","['Park Ji Yeon', 'Kang  Dong Ho']",마이 런웨이
1147,I'm Sorry Kang Nam Goo,SBS,,['Ahn Hong Ran'],2016-12-19,2017-06-09,"Monday, Tuesday, Wednesday, Thursday, Friday",2016,120,18.0,A lethal but innocent love story of a man who only pursued success for his family towards a woman who lost everything after finding her husband's rich parents. ,"['Park Sun Ho', 'Kim Min Seo', 'Na Ya', 'Heo Young Ran', 'Lee In']",아임 쏘리 강남구
1148,Hwarang,KBS2,"['Yoon Sung Shik', 'Kim Young Jo']",['Park Eun Young'],2016-12-19,2017-02-21,"Monday, Tuesday",2016,20,180.0,"The names of just a few Hwarangs are recorded in history. Not many people these days truly know about Hwarangs. How did they start? How did beautiful looking young men become at the center of unifying old Korea's Three Kingdoms? To these countless questions, we look forward to finding the answers. Let's imagine how life must have been for young people of Silla back in the 6th century. Let us tell you a story about their friendships and love.(Source: KBS Wold)","['Park Hyung Sik', 'Go Ah Ra', 'Park Seo Joon']",화랑
1149,Between Friendship and Love,Naver TV Cast vLive,['Han Soo Ji'],,2016-12-17,2016-12-24,"Friday, Monday, Tuesday, Wednesday, Thursday, Saturday, Sunday",2016,8,45.0,"Composed of 8 episodes that are each about 6 minutes long, the drama tells interesting stories of a couple in an office-dating relationship. Even though each clip is short, the web drama as a whole offers various sides of office dating, such as heart-throbbing moments before the relationship blooms and little misunderstanding and difficulties arise in a relationship. ","['Baek Soo Hee', 'Jo Hye Won', 'Seo Jae Woo']",사당보다 먼 의정부보다 가까운
1150,Solomon's Perjury,jTBC,"['Kang Il Soo', 'Han Hyun Hee']",['Kim Ho Soo'],2016-12-16,2017-01-28,"Friday, Saturday",2016,12,300.0,"Solomon's Perjury is a murder mystery that digs into what really happened regarding the death of a student and deals with the growing pains of teenagers. On a Christmas night, a student fell off the school’s rooftop and died. The police concluded that he committed a suicide, and the school immediately tried to hold a memorial ceremony to quickly move on. A couple of days later, a mysterious statement from a witness who saw the student being murdered was delivered to Seo Yeon, a classmate of the dead student. While the school, the police, and the press fight over who is right, many students get hurt. The only thing the adults care about is closing the case. Seo Yeon and some of her friends declare that they can’t stand by quietly and let this unfair process continue, so they decide to hold a school trial in order to uncover the truth, saying “we’re not going to just let this go.” Students act as counselors, judges, and jurors in the school trial. The trial reveals ugly secrets about the murder case and the hypocrisy of the adults involved in the students' fight for the truth.(Source: JTBC)","['Jang Dong Yoon', 'Seo Ji Hoon', 'Kim Hyun Soo', 'Jo Jae Hyun', 'Seo Young Joo']",솔로몬의 위증
1151,Deux Yeoza Season 2,,,,2016-12-12,2016-12-28,,2016,8,30.0,,"['Kim Min Ha', 'Lee Seol']",두여자 시즌2
1152,The Birth of a Married Woman,SBS Plus,['Lee Jung Hoon'],,2016-12-09,2017-02-10,Friday,2016,10,90.0,The drama tells stories about wedding planning with a great deal of details that nobody has told you so far. ,"['Lee Joon Hyuk', 'Yoon Seung Ah']",유부녀의 탄생
1153,Goblin,tvN,['Lee Eung Bok'],['Kim Eun Sook'],2016-12-02,2017-01-21,"Friday, Saturday",2016,16,308.0,"Kim Shin was once an unbeatable general in Goryeo's military who died a tragic death. He now possesses immortality but is tired of living while everyone else around him dies. For 900 years, Kim Shin has searched for his bride, a mortal who can pull out the sword and end his life. One day, he encounters Ji Eun Tak, a positive, upbeat high school student who can see the dead and has gone through tragic events, yet still stays strong. She claims to be the Goblin's bride who can end his immortal life, but what appears to be an easy task, only gets complicated, as the two fall in love.(Source: AJ at MyDramaList)","['Lee Dong Wook', 'Yoo In Na', 'Yook Sung Jae', 'Kim Go Eun', 'Gong Yoo']",도깨비
1154,Love Is Drop by Drop,SBS,['Kim Jung Min'],['Kim Young In'],2016-11-28,2017-06-02,"Monday, Tuesday, Wednesday, Thursday, Friday",2016,120,18.0,Eun Bang Wool falls in love with the man who received a heart transplant from her ex-boyfriend. She faces secrets around her. ,"['Wang Ji Hye', 'Kang Eun Tak', 'Gong Hyun Joo', 'Kim Min Soo']",사랑은 방울방울
