Unnamed: 0,drama_name,kor_title,genre,org_net,director,screenwriter,actor_list,year,aired_on,tot_eps,time_per_ep,start_dt,end_dt,synopsis,month,youtube_cnt,tot_views,org_terrestrial_TV,org_cable_TV,org_OTT,org_etc,org_broad_num,director_drama_num,screenwriter_drama_num,daily_views,man_cnt,woman_cnt,play_actor,child_actor,singer_actor,drama_cnt_naver,season_Spring,season_Summer,season_Winter,week_of_weekend,Romance,Drama,Comedy,Mystery,Thriller,Life,Fantasy,Action,Youth,Business,Family,Historical,Supernatural,Law,Political,Psychological,Crime,Medical,etc
412,Love with Flaws,하자있는 인간들,"['Comedy', 'Romance', 'Life', 'Drama']",MBC,['Oh Jin Suk'],['Ahn Shin Yoo'],"['Kim Seul Gi', 'Oh Yeon Seo', 'Ahn Jae Hyun', 'Gu Won', 'Heo Jung Min']",2019,"Wednesday, Thursday",32,56,2019-11-27,2020-01-16,"This romantic comedy follows a woman who has an aversion to flower boys and a man who has an obsession with appearance. The female lead, Joo Seo Yeon, is a hot-tempered physical education high school teacher who always wears sneakers, jeans and training uniforms.  The death of her parents helped instill a deep sense of compassion, a generous heart and an outspoken objection for anyone who drinks and drives. Living in a house with three irascible and very attractive brothers, she loathes flower boys. Her ideal type is someone who is “not handsome.” In contrast, the male lead, Lee Kang Woo, is a handsome chaebol who focuses primarily on outer appearance. Initially, he craved attention, oozed arrogance and loved his looks--despite the strict diet and exercise regimen required to maintain it. While he appears flawless, he (like everyone else) was wounded while growing up. And those flaws--along with everyone else's--drive the story.  Sparks fly when they meet and struggle to overcome their biases for and against people with flaws. Throughout the drama they learn to see beyond appearances to the tragic backstories and scars that motivate themselves and the people around them.(Source: Kpopmap)",11,708,7683000,1,0,0,0,1,6.0,1.0,5535,3,2,0,0,0,23.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413,Yeonnam Family,연남동 패밀리,['Romance'],Genie TV,,,"['Na In Woo', 'Chae Seo Jin']",2019,"Friday, Saturday",8,120,2019-11-22,2019-12-14,"The father of Joo Dong, Joo Nam, and Joo Yeon plans to give all his accumulated fortune back to society, except for the three story house, whose price has skyrocketed. He promises to leave the house to the one who gets married first in 6 months among the siblings. But when their father, Mr. Jeong, makes this unexpected announcement, Joo Dong, Joo Nam, and Joo Yeon who are beyond their best age to get married, start their search for a partner. Joo Yeon, 29, who has chosen to stay single, starts to also actively look for a partner to inherit the house. She gets a chance to think about marriage and reflect on her past relationships in this delightful romantic drama.(Source: HanCinema)",11,712,88137300,0,0,1,0,1,1.0,1.0,63272,1,1,0,1,0,12.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
414,Fall In Mulberry,뽕당 빠지다,"['Food', 'Comedy', 'Romance', 'Youth']",Genie TV,,,"['Kim Soo An', 'Lee Shi Kang', 'Jo A Young']",2019,Monday,9,53,2019-11-20,2019-12-08,About a fusion restaurant and three people who find work and love in there.,11,622,2006100,0,0,1,0,1,1.0,1.0,1438,1,2,0,1,2,8.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
415,Psychopath Diary,싸이코패스 다이어리,"['Thriller', 'Mystery', 'Comedy', 'Crime']",tvN,['Lee Jong Jae'],"['Ryu Yong Jae', 'Kim Hwan Chae', 'Choi Sung Joon']","['Park Sung Hoon', 'Yoon Shi Yoon', 'Jung In Sun']",2019,"Wednesday, Thursday",16,300,2019-11-20,2020-01-09,"Yook Dong Shik is a 34-year-old office worker who is so weak and timid that he is used by everybody around him. After an incident, he becomes the scapegoat of his company, and so facing losing his job and his family turning their back on him, he decides to commit suicide. While doing so, he unexpectedly stumbles across a murder scene, but gets into an accident while running from the murderer. He wakes up with amnesia with the psychopath's diary in his possession. With no clues to his true nature other than the diary, and his fragmented memory lining up with the diary entry, he begins to believe that he is in fact a psychopath serial killer.30-year-old neighborhood police officer, Shim Bo Kyung is investigating a suspected serial homicide. After a few run-ins with Dong Shik, she believes that he is an extremely kind man. However, after one too many coincidences, she starts to suspect Dong Shik might be more involved in the case than she thought.36-year-old Seo In Woo is a cold and meticulous psychopath. On the day of his 7th crime, things go wrong and he loses his diary where he writes of all his daily life and detailed description of his murders.(Source: MyDramaList)",11,712,42637300,0,1,0,0,1,5.0,6.0,30564,2,1,0,1,0,21.0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
416,Chief of Staff Season 2,보좌관 2 - 세상을 움직이는 사람들,"['Drama', 'Political']",jTBC,['Kwak Jung Hwan'],['Lee Dae II'],"['Jung Woong In', 'Lee Elijah', 'Kim Gab Soo', 'Shin Min Ah', 'Lee Jung Jae', 'Kim Dong Jun']",2019,"Monday, Tuesday",10,390,2019-11-11,2019-12-10,"The real political players behind the spotlight take a dangerous gamble. Now an assemblyman, Jang Tae Joon, heads towards the peak of power and fiercely struggles for survival.(Source: MyDramaList) ",11,772,7804600,0,1,1,0,2,6.0,4.0,5559,4,2,0,0,0,31.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
417,"I Love You, Loser!","사랑해, 찐따!","['Comedy', 'Romance', 'Life', 'Drama']",Channel A,,,"['Jung Shin Hye', 'Kim Hyung Suk']",2019,"Tuesday, Friday",6,100,2019-11-05,2019-11-22,A web drama about a dark history that you were embarrassed about resurfacing with the arrival of a new recruit.,11,596,559000500,0,1,0,0,1,1.0,1.0,396454,1,1,0,0,0,8.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418,Gracious Revenge,우아한 모녀,"['Romance', 'Drama', 'Melodrama']",KBS2,['Uh Soo Sun'],['Oh Sang Hee'],"['Cha Ye Ryun', 'Choi Myung Gil', 'Kim Heung Soo', 'Oh Chae Yi', 'Lee Hae Woo']",2019,"Monday, Tuesday, Wednesday, Thursday, Friday",103,19,2019-11-04,2020-03-27,"A story of a woman who was raised as a tool for her mother’s revenge and her dangerous love life will be introduced.Carrie Jung lost her husband and child. She now lives only take revenge on those responsible for their deaths. Carrie Jung raises Han Yoo Jin as a tool in her revenge plan. Han Yoo Jin is a smart and beautiful woman, but she falls in love with a man who she should not love.(Source: AsianWiki)",11,730,7535300,1,0,0,0,1,5.0,2.0,5340,2,3,0,0,0,17.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
419,Never Twice,두 번은 없다,"['Comedy', 'Romance', 'Drama', 'Family']",MBC,"['Choi Won Seok', 'Park Sang Woo']",['Goo Hyun Sook'],"['Park Se Wan', 'Oh Ji Ho', 'Ye Ji Won', 'Kwak Dong Yeon', 'Youn Yuh Jung', 'Song Won Seok']",2019,Saturday,72,22,2019-11-02,2020-03-07,"The series follows the story of the long-term guests at Paradise Inn, located in the heart of Seoul.From the first room to the sixth room, all the guests are different in age, gender, and even where they grew up.Bok Mak Rye is the owner of Paradise Inn. Gam Poong Ki stays in room 5 at the Paradise Inn. He has an attractive appearance and a good sense of humor. Bang Eun Ji stays in room 6. She is single and a beautiful appearance. She is honest and has a warm heart. Geum Bak Ha stays in room 4. She came from a small village by the sea. She has a bright personality. Meanwhile, Na Hae Joon is the successor of the Koosung Hotel, a five-star hotel. He is the grandson of the hotel's chairman. Koosung Hotel is located across the street from the Paradise Inn.(Source: AsianWiki)",11,730,14607200,1,0,0,0,1,3.0,2.0,10338,3,3,0,0,0,33.0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
420,V.I.P,브이아이피,"['Mystery', 'Business', 'Romance', 'Melodrama']",SBS,['Lee Jung Rim'],['Cha Hye Won'],"['Lee Chung Ah', 'Jang Na Ra', 'Lee Sang Yoon', 'Pyo Ye Jin', 'Shin Jae Ha', 'Kwak Sun Young']",2019,"Monday, Tuesday",32,56,2019-10-28,2019-12-24,"VIP is a drama that seeks to find an answer in the secretive relationships we hold in today’s society. Jung Sun is a competent and successful career woman who works as a deputy manager at Sung Woon Department Store. Her job as a member of the VIP Management Team is to satisfy their top one percent of customers who are the special VIPs and VVIPs. Not only is she professional at work, but she has a happy household with a wonderful husband, Sung Jun. However, one day she receives an anonymous text message. It says that her romantic husband is having an affair with someone at the office. Anxious to lose everything she has, she desperately studies the office and her co-workers to find out the woman Sung Jun is seeing. In the course of events, secrets behind each of the workers at the VIP Management Team are revealed. Will Jung Sun find out the truth behind the anonymous text message?(Source: Viu)",10,708,215060400,1,0,0,0,1,2.0,2.0,151665,2,4,1,0,1,20.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
421,Catch the Ghost,유령을 잡아라,"['Thriller', 'Mystery', 'Comedy', 'Romance']",tvN,['Shin Yoon Sub'],"['So Won', 'Lee Young Joo']","['Jung Eugene', 'Ki Do Hoon', 'Kim Seon Ho', 'Moon Geun Young']",2019,"Monday, Tuesday",16,244,2019-10-21,2019-12-10,"""Catch the Ghost” is a romantic investigative drama about a woman named Yoo Ryung who solves cases with her overflowing sense of justice and exceptional spatial perception but always gets herself into trouble because of her rash actions. She meets the Wangsimni station constabulary chief, a man who avoids cases and seeks stability. However, he always ends up cleaning up after the problems caused by Yoo Ryung and holds the key to solving the cases.",10,682,14305400,0,1,0,0,1,2.0,1.0,10039,2,2,0,1,0,12.0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
