Unnamed: 0,drama_name,kor_title,genre,org_net,director,screenwriter,actor_list,year,aired_on,tot_eps,time_per_ep,start_dt,end_dt,synopsis,month,youtube_cnt,tot_views,org_terrestrial_TV,org_cable_TV,org_OTT,org_etc,org_broad_num,director_drama_num,screenwriter_drama_num,daily_views,man_cnt,woman_cnt,play_actor,child_actor,singer_actor,drama_cnt_naver,season_Spring,season_Summer,season_Winter,week_of_weekend,Romance,Drama,Comedy,Mystery,Thriller,Life,Fantasy,Action,Youth,Business,Family,Historical,Supernatural,Law,Political,Psychological,Crime,Medical,etc
0,D.P. Season 2,디피 시즌2,"['Action', 'Military', 'Drama']",Netflix,['Han Jun Hee'],['Kim Bo Tong'],"['Jung Hae In', 'Koo Kyo Hwan', 'Kim Sung Kyun', 'Son Suk Ku']",2023,Friday,6,500,2023-07-28,2023-07-28,"This unfolding story ensues when military desertion arrest squad members (DP), Jun Ho and Ho Yeol, run across absurdities and unchangeable reality on a regular basis.(Source: Namuwiki; Edited by Krystale Mitaesa at MyDramaList)~~ Adapted from the webtoon ""D.P Dog Day"" (D.P 개의 날) by Kim Bo Tong (김보통). ",7,662,106628600,0,0,1,0,1,1.0,2.0,2176094,4,0,3,0,0,13.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,Shadow Detective Season 2,형사록 시즌2,"['Mystery', 'Drama']",Disney+,['Han Dong Hwa'],"['Song Jung Woo', 'Hwang Seol Hun']","['Lee Sung Min', 'Jung Jin Young', 'Kyung Soo Jin', 'Lee Hak Joo', 'Kim Shin Rok']",2023,Wednesday,8,412,2023-07-05,2023-07-26,"Unfolds the ultimate counterattack of veteran homicide detective Kim Taek Rok, who has returned to investigate the secret mastermind behind the blackmailer 'Friend'.(Source: Sports Chosun; edited by Krystale Mitaesa at MyDramaList) ",7,630,131316100,0,0,2,0,2,6.0,1.0,1823835,3,2,3,0,0,21.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Celebrity,셀러브리티,"['Thriller', 'Mystery', 'Drama']",Netflix,['Kim Chul Gyu'],['Kim Yi Young'],"['Park Gyu Young', 'Kang Min Hyuk', 'Lee Chung Ah', 'Lee Dong Gun', 'Jeon Hyo Sung']",2023,Friday,12,225,2023-06-30,2023-06-30,Fame. Money. Power. One young woman fights to become the next hottest celebrity in the glamorous yet scandalous world of influencers in Seoul.(Source: Netflix),6,640,340285100,0,0,1,0,1,7.0,3.0,4419287,2,3,0,0,3,23.0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Numbers,넘버스: 빌딩숲의 감시자들,"['Action', 'Thriller', 'Mystery', 'Drama']",MBC,['Kim Chil Bong'],"['Oh Hye Seok', 'Jung An']","['Kim Myung Soo', 'Choi Jin Hyuk', 'Choi Min Soo', 'Yeonwoo', 'Kim Yoo Ri']",2023,"Friday, Saturday",12,300,2023-06-23,2023-07-29,"Ho Woo is the first and only high school graduate accountant to join the top accounting firm in the country. With his outstanding memory, observation, adaptation, and sense of justice that ordinary accountants rarely have, he is more than a perfect employee. Je Kyun and Seung Jo are father and son, and Je Kyun is the Vice President of the accounting firm. Despite the fact that he is well-known for his generous personality, he is a man who does not hesitate to get what he wants. Seung Jo is the ace accountant of the firm who's quite the opposite of Ho Woo. These two work together with numbers to achieve their own goals. Their goals are different, but they are headed towards the same target. Will they be able to serve justice in this accounting firm?(Source: Viu)",6,598,20862700,1,0,0,0,1,3.0,1.0,248365,3,2,1,0,2,20.0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,Revenant,악귀,"['Thriller', 'Mystery', 'Horror', 'Supernatural']",SBS,"['Lee Jung Rim', 'Kim Jae Hong']",['Kim Eun Hee'],"['Kim Tae Ri', 'Oh Jung Se', 'Hong Kyung']",2023,"Friday, Saturday",12,350,2023-06-23,2023-07-29,"When the door to another world opens, demons exist there. Ku San Young is possessed by one of those demons. Yeom Hae Sang can see the demon which has possessed Ku San Young. They try to figure out the truth behind the mysterious deaths related to the five sacred objects.Ku San Young is busy working part-time during the day and studying to become a low-ranking public officer at night. One day, she receives some articles left behind by her late father. Since then, mysterious deaths take place around her. She also finds herself slowly changing.Yeom Hae Sang comes from a rich background. He teaches Korean folklore at a university. Since he was a child, he has had the special ability to see demons in this world. He even saw his mother get killed by a demon in front of him when he was young. Yeom Hae Sang meets Ku San Young and he faces the demon which killed his mother.Lee Hong Sae is a lieutenant in the violent crimes investigation team. He only cares about advancing his career in the police department. Due to Ku San Young and Yeom Hae Sang, he gets involved in mysterious cases.(Source: AsianWiki)",6,578,54737700,1,0,0,0,1,5.0,8.0,651639,2,1,1,0,0,15.0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5,Lies Hidden in My Garden,마당이 있는 집,"['Thriller', 'Mystery', 'Psychological', 'Drama']",ENA,['Jung Ji Hyun'],['Ji Ah Nee'],"['Kim Tae Hee', 'Im Ji Yeon', 'Kim Sung Oh', 'Choi Jae Rim']",2023,"Monday, Tuesday",8,450,2023-06-19,2023-07-11,"Moon Joo Ran grew up in a wealthy family. She is now a housewife and married to Jae Ho, who works as a doctor. They live in a house with a yard. Her peaceful daily life is abruptly shaken when she notices a strange smell in her backyard. This leads to Moon Joo Ran eventually investigating her husband and meeting Chu Sang Eun. Chu Sang Eun lives a completely different life from Moon Joo Ran. She grew up in a poor environment and, even now, suffers from financial difficulties. She lives in a shabby rented apartment with her husband, Kim Yun Beom. Kim Yun Beom works for a pharmaceutical company. Sang Eun is subject to domestic violence by her husband, Kim Yun Beom. Her life is completely miserable. One day, she receives a phone call that Kim Yun Beom is dead.(Source: AsianWiki)~~ Adapted from the novel ""Lies Hidden in My Backyard"" (마당이 있는 집) by Kim Jin Yeong (김진영).",6,566,101206600,0,0,2,0,2,5.0,1.0,1150075,2,2,2,0,0,15.0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,King the Land,킹더랜드,"['Comedy', 'Romance']",jTBC,"['Im Hyun Wook', 'Choi Sun Min']",['Choi Rom'],"['Lee Jun Ho', 'Im Yoon Ah']",2023,"Saturday, Sunday",16,300,2023-06-17,2023-08-06,"Heir Goo Won cannot stand fake smiles. When he meets Cheon Sa Rang, her sincere smile is at the ready. The pair seek to create happy moments where they can smile brightly at each other. King of the Land is a VVIP business lounge, a paradise catering to wealthy hoteliers. It is owned by The King Group, with hotels, distribution companies, and an airline in its portfolio. Now Goo Won has been thrown into an inheritance tug-of-war. With his brilliant mind,innate grace, and captivating charm, he has everything but lacks common sense when dating.Cheon Sa Rang makes the world brighter with just her smile. She is thrilled to land a job at the King Hotel, where she had some of her happiest times as a child. She must now put those sweet memories away and mature quickly to face the frequent workplace prejudices and misunderstandings that come her way. ",6,574,180572400,0,1,2,0,3,4.0,1.0,2006360,1,1,0,0,2,18.0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,See You in My 19th Life,이번 생도 잘 부탁해,"['Comedy', 'Romance', 'Drama', 'Fantasy']",Netflix,['Lee Na Jung'],"['Han Ah Reum', 'Choi Young Rim']","['Shin Hye Sun', 'Ahn Bo Hyun', 'Ha Yoon Kyung', 'Ahn Dong Goo']",2023,"Saturday, Sunday",12,350,2023-06-17,2023-07-23,"Ban Ji Eum has an extraordinary ability: she can remember the memories of all her past lives. Repeating her reincarnation for nearly a thousand years, Ban Ji Eum has been living all her lives diligently. After her previous life is cut short by a tragic accident, she sets out to reconnect with the people of her past life in her current one, and decides to find a man named Moon Seo Ha, whom she met in her 18th life. Will memories of her 18th life sabotage romance in her 19th? Or will love endure across different lives?On the other side, there is also Yoon Cho Won, a landscape architect and the younger sister of Yoon Joo Won, whose life collapsed after her older sister's death. She is courageous and kind, even after facing the death of her beloved sister, but she struggles to maintain her brightness. When Yoon Cho Won meets Ban Ji Eum by chance and sees her older sister in her, she wonders about Ban Ji Eum’s identity.Then there's Ha Do Yoon, Moon Seo Ha’s secretary and best friend since childhood. Although they come from completely different backgrounds, Ha Do Yoon feels some kind of affinity for him. (Source: Soompi; Webtoon.com)~~ Adapted from the webtoon ""See You in My 19th Life"" (이번 생도 잘 부탁해) by Lee Hye (이혜).",6,550,28503200,0,1,2,0,3,6.0,1.0,316702,2,2,1,0,0,13.0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,Bloodhounds,사냥개들,"['Action', 'Thriller', 'Crime', 'Drama']",Netflix,['Kim Ju Hwan'],['Kim Ju Hwan'],"['Woo Do Hwan', 'Lee Sang Yi', 'Heo Joon Ho', 'Park Sung Woong']",2023,Friday,8,450,2023-06-09,2023-06-09,"When reserved rookie boxer Kim Geon Woo squares off against loquacious southpaw Hong Woo Jin, Geon Woo narrowly prevails — but the two former marines become fast friends. As their friendship grows, so do the financial woes that plague Geon Woo’s mother. To save her quaint café from going under, she signs off on a hefty loan. But when it turns out she’s been targeted by Smile Capital — a ruthless loan shark business — Geon Woo and Woo Jin do everything in their power to make it right. Fate intervenes as the pair end up working for a generous money lender whose foster daughter is dead set on taking down the loan sharks.(Source: Netflix)~~ Adapted from the webtoon ""Bloodhounds"" (사냥개들) by Jeong Chan (정찬).",6,552,174195500,0,0,1,0,1,1.0,1.0,1777505,4,0,1,0,0,22.0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
9,The Villain of Romance,로맨스빌런,['Romance'],MBC Dramanet,['Kwak Bong Chul'],['Wol Pi Dong'],"['Cha Sun Woo', 'Ha Seung Ri']",2023,"Monday, Tuesday",10,270,2023-06-05,2023-06-27,"A coming-of-age story and realistic romance about young college “villains” who are still learning about love. Kang Hee Jae desperately wants to appear cool to others, but secretly feels smaller than plankton on the inside. While struggling to forgive his girlfriend, Yoo Jin, for her “savage” behavior, he winds up gradually transforming into an obsessive monster.Meanwhile, Ban Yoo Jin is a highly intelligent older student at Kang Hee Jae’s college. Because Yoo Jin can never seem to keep a relationship going for longer than 100 days, she starts to worry that she’ll wind up living a lonely life alone. So when younger student Hee Jae boldly shoots his shot, she decides to put him through some intense “training” as they date.",6,616,39530300,0,1,0,0,1,1.0,1.0,387552,1,1,0,1,1,24.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Sound Candy,소리사탕,['Drama'],TVING,['Kang Hee Ju'],['Kim Eun Ye'],"['Choi Yoo Jung', 'Kim Jong Hyeon']",2023,Saturday,10,90,2023-06-03,2023-07-01,"A group of young individuals with different backgrounds come together at a pension located in Jeju. They rediscover their love and friendship through the mystery of""SoundCandy.""(Source: MyDramaList) ",6,706,218200300,0,0,1,0,1,3.0,1.0,2098080,1,1,0,0,2,14.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Bitch X Rich,청담국제고등학교,"['Thriller', 'Mystery', 'Youth', 'Drama']",Netflix,['Min Ji Young'],['Jung Sung Eun'],"['Lee Eun Saem', 'Yeri', 'Lee Jong Hyuk', 'Yoo Jung Hoo']",2023,Wednesday,10,210,2023-05-31,2023-06-28,Baek Je Na is a third-generation conglomerate and a gold spoon of the highest class at Cheongdam International High School. Kim Hye In grew up in poverty and is offered a chance to study at the Cheongdam International High School in exchange for her silence on a murder she witnessed. Cheongdam International High School is a homicide mystery that follows Je Na’s rivalry with Kim Hye In as they are pitted against each other in mental warfare. (Sources: pinkvilla.com; nme.com),5,738,130923300,0,0,1,0,1,1.0,1.0,1223582,2,2,0,1,1,8.0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,Battle for Happiness,행복배틀,"['Thriller', 'Mystery', 'Drama']",Amazon Prime,['Kim Yoon Cheol'],['Joo Young Ha'],"['Lee El', 'Jin Seo Yun', 'Cha Ye Ryun', 'Park  Hyo Joo', 'Woo Jeong Won']",2023,"Wednesday, Thursday",16,262,2023-05-31,2023-07-20,"A suspense drama depicting mothers engaged in a fierce social media battle to destroy each others' happiness for their own, to free themselves from oppression, hurt, and secrets, and regain their true selves.(Source: HanCinema)~~ Adapted from the novel ""Haengbokbaeteul"" (행복배틀) by Joo Young Ha (주영하). ",5,768,69583500,0,0,3,0,3,5.0,1.0,650313,0,4,1,0,0,18.0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Delightfully Deceitful,이로운 사기,"['Comedy', 'Crime', 'Drama']",tvN,['Lee Soo Hyun'],['Han Woo Joo'],"['Chun Woo Hee', 'Kim Dong Wook', 'Yoon Park', 'Park So Jin']",2023,"Monday, Tuesday",16,262,2023-05-29,2023-07-18,"Clever con artist Lee Ro Um suffers from a distinct lack of empathy. One day, she is falsely implicated on charges of killing her estranged parents. She is exonerated after 10 years with the help of a passionate, highly empathetic lawyer, Han Moo Young.The two come to form an unlikely alliance to fight against wrongdoers and exact revenge on them.(Source: The Korea Times) ",5,776,23012200,0,1,0,0,1,5.0,1.0,211121,2,2,0,0,1,22.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,Oh! Youngsim,오! 영심이,"['Comedy', 'Romance']",ENA,"['Kim Eun Kyung', 'Oh Hwan Min']",['Jeon Seon Young'],"['Song  Ha Yoon', 'Lee Dong Hae', 'Lee Min Jae', 'Jung Woo Yeon']",2023,"Monday, Tuesday",10,300,2023-05-15,2023-06-13,"Oh Young Sim is single and in her 30s. She has worked as a TV variety show PD for 8 years. She wanted to make people laugh with her TV shows, which were always cancelled due to low popularity ratings. Her career is now in a crisis. She has a chance to produce a love entertainment show as a pilot program. For the show, Oh Young Sim casts famous start-up founder Mark Wang as a guest. She is surprised that Mark Wang is Wang Kyung Tae. When they were little, Wang Kyung Tae had a crush on Oh Young Sim, and he always let her know how he felt about her. Oh Young Sim did not feel the same way towards Wang Kyung Tae at the time. He then suddenly moved to the United States with his family. They lost contact with each other afterward.Now, 20 years after they were last together, Wang Kyung Tae appears in front of her as CEO Mark Wang. Meanwhile, PD Lee Chae Dong works with PD Oh Young Sim in the same variety show department. He is always on her side. Also, around Oh Young Sim is her friend Goo Wol Sook. She runs the popular YouTube video channel ""Ku's Date"".(Source: AsianWiki)~~ Adapted from the animated series ""Yeongsimi"" (영심이), which in turn is adapted from the comic series ""14-year-old Yeongsimi"" (열네 살 영심이) by Bae Geum Teak (배금택).",5,786,69446100,0,0,2,0,2,1.0,2.0,564602,2,1,0,0,1,14.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Black Knight,택배기사,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",Netflix,['Cho Eui Seok'],['Cho Eui Seok'],"['Kim Woo Bin', 'Song Seung Heon', 'Kang Yoo Seok', 'Esom']",2023,Friday,6,420,2023-05-12,2023-05-12,"In 2071, toxic air pollution had devastated the world, leaving only 1% of the population alive. People rarely leave their homes without gas masks, and delivery drivers known as knights protect and deliver packages. One legendary knight, Knight 5-8, meets a young refugee named Sa Wol who dreams of becoming a knight. With the help of Seol A, an officer in the Defense Intelligence Command, Knight 5-8 trains and mentors Sa Wol, helping him achieve his dream in a dangerous and harsh world.(Source: CK Warrior at MyDramaList) ~~ Adapted from the webtoon ""Black Knight” (택배기사) by Lee Yoon Kyun (이윤균).",5,736,120843500,0,0,1,0,1,1.0,1.0,959075,3,1,0,0,0,14.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
16,Race,레이스,"['Business', 'Romance', 'Drama', 'Melodrama']",Disney+,['Lee Dong Yoon'],['Kim Roo Ri'],"['Lee Yun Hee', 'Hong Jong Hyun', 'Moon So Ri', 'U-Know']",2023,Wednesday,12,290,2023-05-10,2023-06-14,"Office politics take center stage for marketer Park Yoon Jo, whose lack of an academic background won’t deter her dedication to her work, and the smart and just Ryu Jae Min, who lacks any expectations towards their company.(Source: Korean = Naver || Translation = MyDramaList) ",5,772,75172400,0,0,2,0,2,4.0,2.0,587284,2,2,0,0,1,20.0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,It Was Spring,시작은 첫키스,"['Comedy', 'Romance', 'Youth', 'Drama']",KBS1,['Park Joon Sik'],['Choi Min Ji'],"['Cha Sun Woo', 'Kim Jong Hyeon', 'Lee Hyun Joo']",2023,Monday,8,128,2023-05-08,2023-06-26,"Set in a high school in Mokpo, this webdrama perfectly reproduces various cultures and youth sensibilities such as music, dramas, movies, and fashion at a time, letting viewers to empathise and think about their memories.(Source: Korean = Naver || Translation = Xavier Ng at MyDramaList) ",5,742,84268000,1,0,0,0,1,1.0,1.0,648215,2,1,0,0,3,13.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,Tale of the Nine-Tailed 1938,구미호뎐 1938,"['Historical', 'Horror', 'Romance', 'Fantasy']",tvN,"['Kang Shin Hyo', 'Jo Nam Hyung']",['Han Woo Ri'],"['Lee Dong Wook', 'Kim So Yeon', 'Kim Bum', 'Ryu Kyung Soo']",2023,"Saturday, Sunday",12,350,2023-05-06,2023-06-11,"An unexpected case leads Lee Yeon back in time to 1938, where he reencounters Ryu Hong Joo. Once a guardian spirit of the mountain in the west, she's now the owner of a high-end restaurant in the capital city of Gyeongseong. He also meets his younger brother Lee Rang. Meanwhile, another former guardian spirit and ex-friend Cheon Moo Young has become hostile. Lee Yeon struggles to return to the present, to his loved one.(Source: AsianWiki; edited by MyDramaList)",5,768,102277400,0,1,0,0,1,3.0,3.0,774829,3,1,0,0,0,24.0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
19,All That We Loved,우리가 사랑했던 모든 것,"['Romance', 'Youth']",TVING,['Kim Jin Sung'],['Kang Yoon'],"['Oh Se Hun', 'Jang Yeo Bin', 'Jo Joon Young']",2023,Friday,8,262,2023-05-05,2023-05-26,"Depicts the solid friendship and sincere love story of 18-year-old youths who cannot give up love or friendship. The drama deals with the unique subject of cellular memory, which hypothesizes that memory is transferred to organ transplant recipients.Go Yoo is an 18-year-old student inhis second year of Hara High School. Go Yoo grows taller everyday, and he is often praised as a genius at basketball, which he originally started in order to grow taller. He’s also a charming student who manages to at least do averagely in school despite not studying. Go Yoo is too busy to date, and he’s preoccupied with protecting Joon Hee, but after he donates his kidney to Joon Hee, he becomes rivals in love with Joon Hee for the school’s No. 1 student and his first love So Yeondue tocellular memory syndrome.(Source: Naver; Soompi)",5,718,71079300,0,0,1,0,1,1.0,1.0,534431,2,1,0,0,1,7.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,My Perfect Stranger,"어쩌다 마주친, 그대","['Mystery', 'Romance', 'Drama', 'Sci-Fi']",KBS2,"['Kang Soo Yeon', 'Lee Woong Hee']",['Baek So Yeon'],"['Kim Dong Wook', 'Jin Ki Joo']",2023,"Monday, Tuesday",16,262,2023-05-01,2023-06-20,"Yoon Hae Joon is the youngest anchor to ever work at his broadcasting station. He is calm and straightforward as a journalist and kind in his personal life. On the other hand, Baek Yoon Young dreamed of becoming a writer but wound up working at a publishing company. The two somehow travel back in time to the year 1987. There, Yoon Hae Joon tries to find the truth behind a serial murder case while Baek Yoon Young attempts to prevent her parents from marrying. They soon realize that their objectives are connected. (Source: AsianWiki; edited by MyDramaList)",5,776,27518600,1,1,0,0,2,4.0,2.0,200866,1,1,0,0,0,15.0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,Dr. Romantic Season 3,낭만닥터 김사부3,"['Romance', 'Drama', 'Medical']",SBS,['Yoo In Shik'],['Kang Eun Kyung'],"['Han Seok Kyu', 'Lee Sung Kyung', 'Ahn Hyo Seop', 'Kim Joo Heon']",2023,"Friday, Saturday",16,262,2023-04-28,2023-06-17,"At Doldam Hospital, Dr. Kim Sa Bu and his team are committed to saving lives. After three years, a state-of-the-art trauma centre is set to open, equipped with the latest in medical technology.Prior to the centre's official opening, however, a crisis unfolds on a North Korean ship that's drifted into South Korean waters. Doctors from Doldam Hospital fly out to help the critically injured aboard the ship. However, the patients need to be transported to the hospital. To complicate matters, the South Korean government wants the North Korean patients returned to their country as part of diplomatic efforts with their neighbouring country.Amidst the chaos, Cha Jin Man—the father of Cha Eun Jae and a former rival of Dr. Kim Sa Bu—is brought on board to run the new trauma centre. (Source: AsianWiki; edited by MyDramaList)",4,762,93692800,1,0,0,0,1,7.0,4.0,669234,2,2,0,0,0,13.0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,The Good Bad Mother,나쁜엄마,"['Comedy', 'Life', 'Drama', 'Family']",jTBC,['Shim Na Yeon'],['Bae Se Young'],"['Ra Mi Ran', 'Lee Do Hyun', 'Ahn Eun Jin', 'Yoo In Soo']",2023,"Wednesday, Thursday",14,300,2023-04-26,2023-06-08,"Young Soon is a single mother and pig farmer who raised her son Kang Ho alone. Despite her love for him, her strict parenting caused Kang Ho to view her as a bad mother. As an adult, Kang Ho became a cold-hearted prosecutor and kept his distance from his mother. However, an unexpected accident caused him to return to his hometown and start over with Young Soon. Kang Ho's childhood friend Mi Joo, known for her warm heart and strong sense of justice, also reconnected with him after his accident, leading to a transformative experience for her.(Source: CK Warrior at MyDramaList)",4,768,51377100,0,1,2,0,3,4.0,2.0,361811,2,2,0,0,0,18.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,Queen of Masks,가면의 여왕,"['Thriller', 'Mystery', 'Drama', 'Melodrama']",Channel A,['Kang Ho Jun'],['Im Do Wan'],"['Kim Sun Ah', 'Oh Yoon Ah', 'Shin Eun Jung', 'Yoo  Sun']",2023,"Monday, Tuesday",16,300,2023-04-24,2023-06-13,"Do Jae Yi is a human rights lawyer who has built up a large following on social media. She has a reputation for defending the vulnerable and victims of sexual crime. Ten years ago, she was the victim of a terrible, haunting crime. Now, she has become a veritable “queen of masks.” To most of the world, she is a paragon of justice. But behind closed doors, she is exploiting a corrupt politician. And she is secretly helping the current mayor to get out of messy situations – as part of her own plan to become the next mayor.Do Jae Yi is friends with two powerful women. The first is Joo Yoo Jung, the director of an influential arts foundation. The second is the hard-working and ambitious Yoon Hae Mi, who worked her way up from the bottom at a prestigious hotel to the position of Vice President. The three women’s former friend, Go Yoo Na feels she was betrayed by the rest of the women. She moved to the USA in a bid to start her life again. But when she returns to South Korea in search of her missing daughter, her path crosses with those of her former friends. Could revenge be in the cards when they reunite?(Source: Viki)",4,760,20900800,0,1,0,0,1,1.0,1.0,145144,0,3,0,0,0,32.0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Family: The Unbreakable Bond,패밀리,"['Action', 'Thriller', 'Comedy', 'Drama']",TVING,"['Jang Jung Do', 'Lee Jung Mook']",['Jung Yoo Sun'],"['Jang Hyuk', 'Jang Na Ra', 'Chae Jung An', 'Kim Nam Hee']",2023,"Monday, Tuesday",12,400,2023-04-17,2023-05-23,"Kwon Do Hoon is an expert sniper and a secret agent working for the National Intelligence Service. To conceal his true identity, he lives a double life as a regular trading company employee, keeping even his wife Kang Yoo Ra in the dark. Though he is occupied with his work, Kwon Do Hoon cherishes his wife deeply. Meanwhile, Kang Yoo Ra, a dedicated homemaker, harbors a secret. Their tranquil existence is thrown into turmoil when Tae Koo emerges, posing a threat to their carefully crafted façade.(Source: CK Warrior at MyDramaList)",4,722,38902200,0,1,1,0,2,2.0,2.0,257630,2,2,0,0,3,28.0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,Doctor Cha,닥터 차정숙,"['Comedy', 'Life', 'Drama', 'Medical']",jTBC,"['Kim Dae Jin', 'Kim Jung Wook']",['Jung Yeo Rang'],"['Uhm Jung Hwa', 'Kim Byung Chul', 'Myung Se Bin', 'Min Woo Hyuk']",2023,"Saturday, Sunday",16,225,2023-04-15,2023-06-04,"Cha Jung Sook is married to Seo In Ho, who works as a chief surgeon at a university hospital. He has a strict, sensitive, and thoroughgoing personality. Cha Jung Sook has been a full-time housewife for 20 years, giving up her career as a doctor during her medical resident years. After all those years, she decides to restart her medical resident course.(Source: AsianWiki) ",4,760,64211700,0,1,1,0,2,5.0,1.0,419684,2,2,0,0,4,16.0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,Queenmaker,퀸 메이커,"['Business', 'Drama', 'Political']",Netflix,['Oh Jin Suk'],['Moon Ji Young'],"['Moon So Ri', 'Kim Hee Ae']",2023,Friday,11,365,2023-04-14,2023-04-14,"After a tragic accident, a powerful fixer uses her skills to transform a civil rights lawyer into the next mayor — and take down her former employer.Hwang Do Hee is a skilled career woman who hasn’t come down from her 12 centimeter (approximately 4.7 inch) high stilettos for the past 12 years. She’s the best in her field of President Identity (PI) consulting and is the leader of the Strategic Planning Office at Eunsung Group, the third largest domestic business. By analyzing the appearance, voice tone, habits, preferences, rumors, and fatal weaknesses of the Eunsung Group’s owner’s family, she is able to perfectly present them in a way that reduces owner risk. Despite all her hard work in this field, she overcomes adversity to work towards making Oh Kyung Sook the mayor of Seoul.Oh Kyung Sook is a labor rights lawyer nicknamed “crazy rhinoceros.” For the past 20 years, Oh Kyung Sook hasplowed through like a “rhino’s horn” for common people and workers and is a self-proclaimed Korean Lady of Justice. She is the president of the Women’s Worker Association, Korean Women’s Human Rights Wave, and leader of the Worker’s Solidarity with Rights foundation, proving her charm as a powerful female lead who stops at nothing to protect the weak. As a current labor rights lawyer and a popular YouTuber, Oh Kyung Sook has no interest in authority, but thanks to the help of “Queen Maker” Hwang Do Hee, she becomes determined to become the mayor of Seoul.These two women who used to lead starkly different lives leave everything they know behind to combine forces and create a just and truthful world.(Source: Soompi, Netflix)",4,642,34629000,0,0,1,0,1,6.0,1.0,224864,0,2,0,0,1,24.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
27,Stealer: The Treasure Keeper,스틸러: 일곱 개의 조선통보,"['Action', 'Adventure', 'Mystery', 'Comedy']",tvN,"['Choi Joon Bae', 'Min Jung Ah']",['Shin Kyung Il'],"['Kim Jae Won', 'Jo Han Chul', 'Joo Won', 'Lee Joo Woo', 'Choi Hwa Jung', 'Lee Deok Hwa']",2023,"Wednesday, Thursday",12,300,2023-04-12,2023-05-18,"Throughout history, the treasures of an old empire have always been the best items for thievery. A professional thief called ""Skunk"" forms an unofficial cultural heritage assets redemption team called ""Team Karma"" with a group of officials to pull off a heist to retrieve the stolen assets, a mission that is informal and illegal yet righteous in a sense. In front of them is a mission of massive proportion. Buried somewhere in Korea is a large number of cultural assets worth 30 trillion won as well as spiritual beads believed to provide eternal life. Against a group with a conscienceless purpose, Team Karma’s thrill-filled retribution starts.""Skunk"", his real name Hwang Dae Myung, is no ordinary thief. Dae Myung is an official with the Cultural Heritage Administration living a double life, a pathetic civil servant by day and a daring thief by night. When the Seoul Metropolitan Police Agency’s cultural property team recovers some of the country’s missing cultural assets, both of his lives start to unravel.  (Source: Viu, ShingetsuNews, MyDramaList)",4,744,6183100,0,1,0,0,1,4.0,1.0,39635,4,2,1,0,3,34.0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
