,daily_views,director_drama_num,screenwriter_drama_num,tot_eps,duration,season_Spring,season_Summer,season_Winter,week_of_weekend,org_terrestrial_TV,org_cable_TV,org_OTT,man_cnt,woman_cnt,play_actor,child_actor,singer_actor,drama_cnt_naver,Romance,Drama,Comedy,Mystery,Thriller,Life,Fantasy,Action,Youth,Business,Family,Historical,Supernatural,Law,Political,Psychological,Crime,Medical,etc
94,14487,4,3,16,70,0,0,0,0,0,1,0,3,2,0,0,0,15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
96,90265,4,1,16,63,0,0,0,0,1,2,0,1,1,0,1,1,34,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
97,224353,7,2,12,75,0,0,0,1,0,1,1,1,3,0,2,0,13,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
98,22338,5,1,12,60,0,1,0,0,0,1,1,1,1,0,0,1,27,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
101,27295,2,1,16,70,0,1,0,0,1,1,0,2,1,1,1,1,37,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
102,15524,6,2,12,75,0,1,0,0,0,1,0,2,1,0,1,0,18,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
103,142689,2,4,16,70,0,1,0,0,0,1,1,1,2,0,1,0,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,75346,5,4,16,70,0,1,0,1,0,1,1,3,1,1,0,0,27,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
105,38826,6,1,16,70,0,1,0,1,1,2,0,2,1,0,0,1,15,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
107,67410,6,1,16,70,0,1,0,0,0,1,0,1,2,0,0,0,27,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,132515,8,1,16,20,0,1,0,0,0,1,0,2,2,0,0,3,10,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
110,235722,10,3,8,60,0,1,0,0,0,0,1,2,3,1,0,0,15,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,58881,1,1,10,30,0,1,0,0,0,0,1,1,2,0,0,1,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,97782,4,2,12,70,0,1,0,0,1,1,0,3,3,0,1,2,11,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
114,13159,5,2,18,63,0,1,0,0,1,0,1,3,2,0,0,2,17,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,63436,5,1,12,70,0,1,0,1,0,1,0,0,3,0,0,0,33,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,118564,9,6,6,70,0,1,0,0,0,0,1,4,2,0,0,0,24,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
119,8850,6,3,16,70,0,1,0,0,1,1,0,2,1,0,0,1,29,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
120,181500,6,4,14,65,0,1,0,0,0,0,1,1,1,0,0,1,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,94048,6,2,16,64,0,1,0,0,0,1,0,1,1,0,0,0,14,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
122,22886,8,3,16,70,0,1,0,0,0,1,0,1,1,0,2,0,29,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
124,88232,5,2,16,70,0,1,0,1,0,1,0,2,3,0,0,0,22,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
125,34875,5,2,16,63,0,1,0,1,1,0,0,2,1,1,0,0,23,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
126,114319,5,3,16,70,0,1,0,1,1,2,0,3,1,0,0,0,18,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
